ah_full_company,ah_full_current_away_or_under,ah_full_current_home_or_over,ah_full_current_line_or_draw,ah_full_live_away_or_under,ah_full_live_home_or_over,ah_full_live_line_or_draw,ah_full_open_away_or_under,ah_full_open_home_or_over,ah_full_open_line_or_draw,ah_half_current_away_or_under,ah_half_current_home_or_over,ah_half_current_line_or_draw,ah_half_live_away_or_under,ah_half_live_home_or_over,ah_half_live_line_or_draw,ah_half_open_away_or_under,ah_half_open_home_or_over,ah_half_open_line_or_draw,away_cn,away_rank_or_stage,away_score,away_tw,bj_time,euro_full_company,euro_full_current_away_or_under,euro_full_current_home_or_over,euro_full_current_line_or_draw,euro_full_live_away_or_under,euro_full_live_home_or_over,euro_full_live_line_or_draw,euro_full_open_away_or_under,euro_full_open_home_or_over,euro_full_open_line_or_draw,euro_half_current_away_or_under,euro_half_current_home_or_over,euro_half_current_line_or_draw,euro_half_live_away_or_under,euro_half_live_home_or_over,euro_half_live_line_or_draw,euro_half_open_away_or_under,euro_half_open_home_or_over,euro_half_open_line_or_draw,future_ah_line_hint,future_total_line_hint,home_cn,home_rank_or_stage,home_score,home_tw,initial_ah_hint,initial_total_hint,latest_snapshot_stamp,league_cn,league_tw,list_date,list_lock_source,list_source,match_id,odds_frozen_from_snapshot,refresh_status,snapshot_stamp,source_page,state,total_full_company,total_full_current_away_or_under,total_full_current_home_or_over,total_full_current_line_or_draw,total_full_live_away_or_under,total_full_live_home_or_over,total_full_live_line_or_draw,total_full_open_away_or_under,total_full_open_home_or_over,total_full_open_line_or_draw,total_half_current_away_or_under,total_half_current_home_or_over,total_half_current_line_or_draw,total_half_live_away_or_under,total_half_live_home_or_over,total_half_live_line_or_draw,total_half_open_away_or_under,total_half_open_home_or_over,total_half_open_line_or_draw,xml_ah_away_water,xml_ah_home_water,xml_ah_line,xml_euro_away,xml_euro_draw,xml_euro_home,xml_total_line,xml_total_over_water,xml_total_under_water
Crow*,1.04,0.84,-0.5,,,,0.8,1.08,-0.25,,,,,,,,,,阿根廷青年人,2,0,小阿根廷人,9-8 06:00,Titan007百家欧赔均值,2.09,3.92,2.91,,,,2.06,4.1,2.91,,,,,,,,,,,,巴拉卡斯中央队,20,0,巴拉卡斯中央隊,-0.25,2026,20260908_072956,阿甲,阿甲,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,2962609,20260907_072747,,20260908_072956,,3,Crow*,1.02,0.85,1.75,,,,1.02,0.85,1.75,,,,,,,,,,1.56,0.52,-0.25,3.85,1.48,7,0.5,1.35,0.60
,0.97,0.73,1.0,0.79,0.91,0.25,0.96,0.74,0.75,0.75,0.95,0.5,0.03,3.03,0.25,0.99,0.71,0.25,梅里达大学生,秋6,0,艾斯圖第安特,9-8 06:00,,5.5,1.4,3.95,17.0,1.09,5.8,4.45,1.54,3.65,5.5,1.95,2.18,13.5,1.01,11.0,4.9,2.07,2.16,,,卡拉波波,秋8,1,卡拉波波,0.75,2026,,委内超秋,委内超秋,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,3084782,,,20260908_072956,,3,,0.87,0.83,2.5,0.84,0.86,1.75,0.85,0.85,2.5,0.93,0.77,1.0,0.01,3.22,1.5,0.91,0.79,1.0,0.79,0.91,0.25,17.00,5.80,1.09,1.75,0.86,0.84
,0.95,0.75,0.5,0.63,1.23,0.25,0.94,0.76,0.5,0.82,0.88,0.25,1.58,0.45,0.0,0.79,0.91,0.25,蒙特维迪奥,,0,蒙特维迪奥,9-8 06:00,,3.7,1.75,3.25,23.0,1.08,6.6,4.1,1.76,3.25,4.45,2.29,2.04,16.5,12.0,1.02,4.95,2.42,1.98,,,佩莱扎,,1,高隆尼亞,0.5,2026,,乌拉乙,烏拉乙,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,3083912,,,20260908_072956,,3,,0.9,0.8,2.25,0.81,0.99,1.5,0.94,0.76,2.0,0.74,0.96,1.0,0.03,4.34,0.5,0.99,0.71,0.75,0.63,1.23,0.25,23.00,6.60,1.08,1.5,0.99,0.81
,,,,,,,,,,,,,,,,,,,斐济U19,,0,斐濟U19,9-8 06:00,,,,,,,,,,,,,,,,,,,,,,塔希提U19,,1,大溪地U19,,2026,,大洋冠U19,大洋冠U19,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,3074399,,,20260908_072956,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crow*,1.05,0.83,0.25,,,,1.0,0.88,0.25,,,,,,,,,,格雷米奥,15,0,甘美奧,9-8 07:00,Titan007百家欧赔均值,3.44,2.08,3.27,,,,3.45,2.11,3.27,,,,,,,,,,,,维多利亚,14,0,維多利亞,0.25,2026,20260908_072956,巴西甲,巴西甲,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,2910886,20260907_072747,,20260908_072956,,1,Crow*,0.95,0.92,2.25,,,,0.95,0.92,2.25,,,,,,,,,,1.02,0.86,0.25,3.60,2.92,2.17,1.75,0.82,1.04
Crow*,0.95,0.93,0.75,,,,0.82,1.0,0.75,,,,,,,,,,科布雷索,15,0,科布雷索,9-8 07:00,Titan007百家欧赔均值,4.21,1.69,3.78,,,,4.29,1.66,3.94,,,,,,,,,,,,利马切颜色,7,0,利馬切,0.75,2026,20260908_072956,智利甲,智利甲,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,2921238,20260907_072747,,20260908_072956,,1,Crow*,0.89,0.97,3.0,,,,0.89,0.91,2.75,,,,,,,,,,1.03,0.85,1.5,5.20,4.00,1.56,2.75,0.83,1.03
Crow*,0.85,1.03,0.0,,,,0.92,0.9,0.0,,,,,,,,,,托利马体育,秋3,1,杜利馬,9-8 07:00,Titan007百家欧赔均值,2.54,2.75,2.97,,,,2.48,2.82,3.0,,,,,,,,,,,,拉尼洛斯,秋6,1,拉尼洛斯,0,2026,20260908_072956,哥伦甲秋,哥倫甲秋,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,3011803,20260907_072747,,20260908_072956,,1,Crow*,0.79,1.07,2.25,,,,0.77,1.03,2.25,,,,,,,,,,0.88,1.00,0,2.71,2.62,2.87,3.5,0.98,0.88
,0.93,0.77,-0.25,0.95,0.75,-0.25,0.9,0.8,-0.25,0.61,1.09,0.0,0.64,1.06,0.0,0.65,1.05,0.0,卡贝略港学院,秋4,0,卡貝略港學院,9-8 07:00,,2.07,2.87,3.15,2.24,3.05,2.66,2.12,2.8,3.1,2.73,3.55,1.99,4.45,5.4,1.34,2.8,3.5,1.98,,,委内瑞拉中央大学,秋10,0,委內瑞拉中央大學,-0.25,2026,,委内超秋,委内超秋,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,3084783,,,20260908_072956,,1,,0.88,0.82,2.25,0.73,0.97,1.75,0.85,0.85,2.25,0.7,1.0,1.0,0.42,1.38,0.5,0.68,1.02,1.0,0.95,0.75,-0.25,2.24,2.66,3.05,1.75,0.97,0.73
,1.0,0.7,1.25,0.73,0.97,1.25,0.82,0.88,1.5,0.89,0.81,0.5,0.74,0.96,0.25,0.98,0.72,0.5,意杜萨高,秋22,1,意杜薩高,9-8 07:00,,8.0,1.27,4.2,2.76,2.22,2.97,8.3,1.24,4.55,7.5,1.81,2.15,1.37,9.4,3.2,7.8,1.72,2.27,,,伊希库斯尼斯塔史,秋6,0,伊希庫斯尼斯塔史,1.5,2026,,阿乙曼特秋,阿乙曼特秋,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,2934786,,,20260908_072956,,1,,0.87,0.83,2.25,0.76,0.94,3.0,0.8,0.9,2.5,0.75,0.95,1.0,0.57,1.14,1.5,0.91,0.79,1.0,0.73,0.97,1.25,2.76,2.97,2.22,3,0.94,0.76
,,,,,,,,,,,,,,,,,,,巴斯庄园,,0,巴斯莊園,9-8 07:30,,,,,,,,,,,,,,,,,,,,,,强大复仇者,,0,強大復仇者,,2026,,多米联,多米聯,,,,3087765,,,20260908_072956,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
