match_id,home_team,away_team,titan_home_handicap_signed,giving_team,receiving_team,candidate_side,candidate_team,candidate_water,parity
3003884,利兹联,纽卡斯尔联,0.25,利兹联,纽卡斯尔联,giving,利兹联,0.99,PASS
2993788,国际米兰,乌迪内斯,2.0,国际米兰,乌迪内斯,giving,国际米兰,0.93,PASS
2924129,第比利斯迪纳摩,葛吉拉,0.75,第比利斯迪纳摩,葛吉拉,giving,第比利斯迪纳摩,0.84,PASS
2912890,博德闪耀,桑德菲杰,2.5,博德闪耀,桑德菲杰,giving,博德闪耀,0.91,PASS
3068925,德黑兰独立<font color=#880000>(中)</font>,萨德,-0.5,萨德,德黑兰独立<font color=#880000>(中)</font>,giving,萨德,0.94,PASS
2993786,科莫,帕尔马,1.75,科莫,帕尔马,giving,科莫,0.84,PASS
3030150,开塞利体育,伊斯坦堡士邦,1.25,开塞利体育,伊斯坦堡士邦,giving,开塞利体育,0.99,PASS
3046024,托卢卡女足,蒂华纳女足,1.25,托卢卡女足,蒂华纳女足,giving,托卢卡女足,0.86,PASS
3017156,赫巴,伊塔尔,0.5,赫巴,伊塔尔,giving,赫巴,1.02,PASS
2962633,科尔多瓦学院,里奥夸尔托学生队,1.0,科尔多瓦学院,里奥夸尔托学生队,giving,科尔多瓦学院,0.82,PASS
3001608,基尔史莫纳夏普尔,海法马卡比,-0.5,海法马卡比,基尔史莫纳夏普尔,receiving,基尔史莫纳夏普尔,1.05,PASS
3074449,独立FBC,恩卡纳西翁,0.25,独立FBC,恩卡纳西翁,receiving,恩卡纳西翁,0.95,PASS
3021987,韦莱斯,索契,-0.25,索契,韦莱斯,receiving,韦莱斯,1.02,PASS
2940178,保地花高SP,戈伊亚斯,0.25,保地花高SP,戈伊亚斯,receiving,戈伊亚斯,0.86,PASS
3046025,帕丘卡女足,莱昂女足,1.5,帕丘卡女足,莱昂女足,receiving,莱昂女足,0.8,PASS
2924132,古泰斯鱼雷,萨古拉利,0.5,古泰斯鱼雷,萨古拉利,receiving,萨古拉利,0.81,PASS
2996485,乌德勒支青年队,阿贾克斯青年队,0.25,乌德勒支青年队,阿贾克斯青年队,receiving,阿贾克斯青年队,0.83,PASS
3048490,麦加统一,阿科多,0.25,麦加统一,阿科多,receiving,阿科多,1.14,PASS
3001609,特拉维夫马卡比,特拉维夫夏普尔,0.25,特拉维夫马卡比,特拉维夫夏普尔,receiving,特拉维夫夏普尔,0.92,PASS
3031201,斯奥利艾B队,考纳斯,-1.0,考纳斯,斯奥利艾B队,receiving,斯奥利艾B队,0.79,PASS
