list_date,intent,n,giving,receiving,neutral,unknown,ABC,N
2026-09-07,平衡盘/等待临场确认,55,0,0,55,0,0,0
2026-09-07,真实示弱/阻下,1,0,1,0,0,0,1
2026-09-07,阻上/诱下,2,2,0,0,0,0,2
2026-09-07,降温保护/诱下,3,3,0,0,0,0,3
2026-09-08,平衡盘/等待临场确认,106,0,0,106,0,0,0
2026-09-08,真实示弱/阻下,7,0,6,1,0,0,6
2026-09-08,诱上/阻下,5,0,5,0,0,0,5
2026-09-08,阻上/诱下,13,12,0,1,0,0,12
2026-09-08,降温保护/诱下,46,44,0,2,0,0,44
2026-09-09,平衡盘/等待临场确认,110,0,0,110,0,0,0
2026-09-09,真实示弱/阻下,4,0,4,0,0,0,4
2026-09-09,诱上/阻下,3,0,2,1,0,0,2
2026-09-09,阻上/诱下,15,14,0,1,0,0,14
2026-09-09,降温保护/诱下,41,37,0,4,0,0,37
2026-09-10,平衡盘/等待临场确认,84,0,0,84,0,0,0
2026-09-10,真实示弱/阻下,6,0,6,0,0,0,6
2026-09-10,诱上/阻下,3,0,1,2,0,0,1
2026-09-10,阻上/诱下,8,7,0,1,0,0,7
2026-09-10,降温保护/诱下,30,25,0,5,0,0,25
2026-09-11,平衡盘/等待临场确认,189,0,0,189,0,0,0
2026-09-11,真实示弱/阻下,9,0,6,3,0,0,6
2026-09-11,诱上/阻下,3,0,3,0,0,0,3
2026-09-11,阻上/诱下,10,10,0,0,0,0,10
2026-09-11,降温保护/诱下,55,52,0,3,0,0,52
2026-09-12,平衡盘/等待临场确认,488,0,0,488,0,0,0
2026-09-12,真实示弱/阻下,1,0,1,0,0,0,1
2026-09-12,诱上/阻下,1,0,1,0,0,0,1
2026-09-12,阻上/诱下,2,1,0,1,0,0,1
2026-09-12,降温保护/诱下,4,3,0,1,0,0,3
