日期,北京时间,赛事,比赛,状态,比分,盘口档位,候选标签,正向球队,反向球队,上盘球队,下盘球队,正向水位,反向水位,亚盘,欧赔,大小球,微观板块,亚盘已读,欧赔已读,大小球已读,最终动作
2026-09-02,2026-9-2 17:30 北京时间（东8区）,日联杯,SC相模原 vs 磐田喜悦,未开赛,待赛,平手/半球,阻上/降温保护,磐田喜悦,SC相模原,磐田喜悦,SC相模原,1.05,0.77,开 0.77/-0.25/1.05 → 即 0.77/-0.25/1.05,开 2.83/3.12/2.38 → 即 2.73/3.19/2.4,开 0.9/2.25/0.9 → 即 0.85/2.25/0.95,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 17:30 北京时间（东8区）,日联杯,八户云罗里 vs 枥木市FC,未开赛,待赛,平手/半球,阻上/降温保护,枥木市FC,八户云罗里,枥木市FC,八户云罗里,1.04,0.78,开 0.78/-0.25/1.04 → 即 0.78/-0.25/1.04,开 2.87/3.33/2.26 → 即 3.3/3.54/1.98,开 0.98/2.5/0.82 → 即 0.98/2.5/0.82,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日职联,东京绿茵 vs 神户胜利船,未开赛,待赛,平手/半球,降温保护/诱下,神户胜利船,东京绿茵,神户胜利船,东京绿茵,0.81,1.07,开 0.8/-0.5/1.08 → 即 1.07/-0.25/0.81,开 3.88/3.06/2.06 → 即 3.92/3.07/2.0,开 0.94/2.0/0.93 → 即 0.94/2.0/0.93,日韩系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日职联,清水鼓动 vs FC东京,未开赛,待赛,半球,阻上/降温保护,FC东京,清水鼓动,FC东京,清水鼓动,1.05,0.83,开 0.83/-0.5/1.05 → 即 0.83/-0.5/1.05,开 3.61/3.34/2.02 → 即 3.28/3.29/2.13,开 0.81/2.25/1.06 → 即 0.81/2.25/1.06,日韩系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日职联,福冈黄蜂 vs 浦和红钻,未开赛,待赛,平手,降温保护/诱下,福冈黄蜂,浦和红钻,福冈黄蜂,浦和红钻,0.78,1.11,开 0.96/0.25/0.92 → 即 0.78/0.0/1.11,开 2.41/3.12/2.96 → 即 2.33/3.04/3.1,开 1.08/2.25/0.79 → 即 1.05/2.25/0.82,日韩系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日职联,长崎成功丸 vs 大阪钢巴,未开赛,待赛,半球,阻上/诱下,大阪钢巴,长崎成功丸,大阪钢巴,长崎成功丸,1.06,0.82,开 1.04/-0.25/0.84 → 即 0.82/-0.5/1.06,开 3.42/3.5/2.03 → 即 3.3/3.41/2.07,开 0.86/2.5/1.01 → 即 0.86/2.5/1.01,日韩系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日联杯,FC岐阜 vs 德岛漩涡,未开赛,待赛,平手,诱上/阻下,德岛漩涡,FC岐阜,FC岐阜,德岛漩涡,1.03,0.79,开 0.79/0.0/1.03 → 即 0.79/0.0/1.03,开 2.38/3.24/2.72 → 即 2.28/3.34/2.79,开 0.82/2.25/0.98 → 即 0.82/2.25/0.98,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日联杯,FC爱媛 vs 秋田蓝色闪电,未开赛,待赛,平手/半球,阻上/降温保护,FC爱媛,秋田蓝色闪电,FC爱媛,秋田蓝色闪电,1.06,0.76,开 1.06/0.25/0.76 → 即 1.06/0.25/0.76,开 2.4/3.16/2.79 → 即 2.61/3.18/2.53,开 0.96/2.25/0.84 → 即 0.96/2.25/0.84,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日联杯,北九州向日葵 vs 磐城FC,未开赛,待赛,平手/半球,诱上/阻下,北九州向日葵,磐城FC,磐城FC,北九州向日葵,1.03,0.79,开 1.03/-0.25/0.79 → 即 1.03/-0.25/0.79,开 3.34/3.3/2.04 → 即 3.68/3.47/1.88,开 0.82/2.25/0.98 → 即 0.82/2.25/0.98,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日联杯,大阪俱乐部 vs 甲府风林,未开赛,待赛,平手,阻上/降温保护,甲府风林,大阪俱乐部,甲府风林,大阪俱乐部,1.05,0.77,开 0.77/0.0/1.05 → 即 0.77/0.0/1.05,开 2.39/3.18/2.76 → 即 2.54/3.31/2.51,开 0.85/2.25/0.95 → 即 0.85/2.25/0.95,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日联杯,山口雷法 vs 藤枝MYFC,未开赛,待赛,半球,降温保护/诱下,藤枝MYFC,山口雷法,藤枝MYFC,山口雷法,0.9,0.92,开 0.84/-0.75/0.98 → 即 0.92/-0.5/0.9,开 3.8/3.75/1.79 → 即 4.84/3.95/1.58,开 1.0/2.75/0.8 → 即 1.0/2.75/0.8,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日联杯,熊本深红 vs 大分三神,未开赛,待赛,平手/半球,降温保护/诱下,大分三神,熊本深红,大分三神,熊本深红,0.81,1.01,开 0.79/-0.5/1.03 → 即 1.01/-0.25/0.81,开 3.47/3.27/2.01 → 即 4.04/3.42/1.82,开 1.02/2.25/0.78 → 即 1.02/2.25/0.78,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日联杯,群马草津温泉 vs 新泻天鹅,未开赛,待赛,一球/球半,降温保护/诱下,新泻天鹅,群马草津温泉,新泻天鹅,群马草津温泉,0.91,0.91,开 0.97/-1.5/0.85 → 即 0.91/-1.25/0.91,开 6.66/4.58/1.39 → 即 8.5/4.81/1.3,开 0.93/2.75/0.87 → 即 0.93/2.75/0.87,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日联杯,金泽 vs 今治,未开赛,待赛,平手/半球,降温保护/诱下,今治,金泽,今治,金泽,0.86,0.96,开 0.97/-0.5/0.85 → 即 0.96/-0.25/0.86,开 3.05/3.47/2.1 → 即 3.94/3.83/1.74,开 0.9/2.5/0.9 → 即 0.9/2.5/0.9,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日联杯,鸟取飞翔 vs RB大宫松鼠,未开赛,待赛,半球/一球,诱上/阻下,鸟取飞翔,RB大宫松鼠,RB大宫松鼠,鸟取飞翔,1.02,0.8,开 1.02/-0.75/0.8 → 即 1.02/-0.75/0.8,开 4.7/3.84/1.62 → 即 6.02/3.9/1.49,开 0.8/2.5/1.0 → 即 0.8/2.5/1.0,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日联杯,鹿儿岛联 vs 札幌冈萨多,未开赛,待赛,平手/半球,诱上/阻下,札幌冈萨多,鹿儿岛联,鹿儿岛联,札幌冈萨多,1.03,0.79,开 0.79/0.25/1.03 → 即 0.79/0.25/1.03,开 2.07/3.33/3.23 → 即 2.31/3.26/2.83,开 0.79/2.25/1.01 → 即 0.79/2.25/1.01,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 20:00 北京时间（东8区）,中协杯,云南玉昆 vs 重庆铜梁龙,未开赛,待赛,半球/一球,真实示强/阻上,云南玉昆,重庆铜梁龙,云南玉昆,重庆铜梁龙,0.9,0.8,开 0.93/0.5/0.77 → 即 0.9/0.75/0.8,开 1.73/3.77/4.0 → 即 1.83/3.65/3.67,开 0.73/2.5/0.97 → 即 0.95/3.0/0.75,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 21:15 北京时间（东8区）,俄杯,奥伦堡加索维克 vs 喀山红宝石,未开赛,待赛,平手,诱下/上盘降温,喀山红宝石,奥伦堡加索维克,喀山红宝石,奥伦堡加索维克,0.98,0.84,开 0.84/0.0/0.98 → 即 0.84/0.0/0.98,开 2.55/3.18/2.69 → 即 2.81/3.08/2.48,开 0.8/2.25/1.0 → 即 0.8/2.25/1.0,欧洲非五大系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 23:30 北京时间（东8区）,俄杯,圣彼得堡泽尼特 vs 马哈奇卡拉,未开赛,待赛,球半,阻上/降温保护,圣彼得堡泽尼特,马哈奇卡拉,圣彼得堡泽尼特,马哈奇卡拉,1.02,0.8,开 1.02/1.5/0.8 → 即 1.02/1.5/0.8,开 1.33/4.75/8.77 → 即 1.3/4.69/9.47,开 0.83/2.5/0.97 → 即 0.83/2.5/0.97,欧洲非五大系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 00:00 北京时间（东8区）,捷甲,布尔诺 vs 赫拉德茨克拉洛韦,未开赛,待赛,平手/半球,阻上/降温保护,布尔诺,赫拉德茨克拉洛韦,布尔诺,赫拉德茨克拉洛韦,1.03,0.73,开 1.03/0.25/0.73 → 即 1.03/0.25/0.73,开 2.28/3.29/2.94 → 即 2.28/3.29/2.92,开 0.95/2.5/0.81 → 即 0.95/2.5/0.81,欧洲非五大系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 01:00 北京时间（东8区）,土甲,锡瓦斯体育 vs 马兰迪BB,未开赛,待赛,平手/半球,诱下/上盘降温,锡瓦斯体育,马兰迪BB,锡瓦斯体育,马兰迪BB,0.96,0.8,开 0.99/0.25/0.77 → 即 0.96/0.25/0.8,开 2.23/3.18/2.99 → 即 2.28/3.17/2.88,开 0.84/2.25/0.92 → 即 0.84/2.25/0.92,欧洲非五大系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 01:45 北京时间（东8区）,俄杯,加里宁格勒巴蒂卡 vs 苏维埃之翼,未开赛,待赛,半球/一球,阻上/降温保护,加里宁格勒巴蒂卡,苏维埃之翼,加里宁格勒巴蒂卡,苏维埃之翼,1.02,0.8,开 1.02/0.75/0.8 → 即 1.02/0.75/0.8,开 1.79/3.48/4.32 → 即 1.75/3.47/4.42,开 0.8/2.25/1.0 → 即 0.8/2.25/1.0,欧洲非五大系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 02:30 北京时间（东8区）,瑞士超,图恩 vs 洛桑,未开赛,待赛,半球,阻上/诱下,图恩,洛桑,图恩,洛桑,1.06,0.82,开 0.81/0.25/1.01 → 即 1.06/0.5/0.82,开 2.02/3.59/3.31 → 即 2.09/3.42/3.22,开 0.84/3.0/0.96 → 即 1.06/3.25/0.8,欧洲非五大系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 02:45 北京时间（东8区）,英冠,西布罗姆维奇 vs 查尔顿,未开赛,待赛,半球/一球,阻上/降温保护,西布罗姆维奇,查尔顿,西布罗姆维奇,查尔顿,1.04,0.84,开 1.0/0.75/0.88 → 即 1.04/0.75/0.84,开 1.77/3.59/4.52 → 即 1.73/3.56/4.64,开 0.85/2.25/1.02 → 即 0.78/2.25/1.09,欧洲五大系列,True,True,True,仅模拟/非主单
