序号,日期,开赛时间,比赛ID,赛事,比赛,比赛分类,微观板块,盘口意图标签,盘口档位,正向水位,反向水位,已结算
1,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2908719-赛况更新-不新建赛前模拟,美职业,奥斯汀FC vs 费城联合,成年联赛T1,北美,真实示强/阻上,半球/一球,0.9500,0.9300,是
2,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2908720-赛况更新-不新建赛前模拟,美职业,纳什威尔SC vs 哥伦布机员,成年联赛T1,北美,诱上/阻下,半球/一球,1.0700,0.8100,是
4,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2908722-赛况更新-不新建赛前模拟,美职业,温哥华白浪 vs 达拉斯FC,成年联赛T1,北美,真实示强/阻上,球半,0.8900,0.9900,是
5,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2908723-赛况更新-不新建赛前模拟,美职业,洛杉矶FC vs 波特兰伐木者,成年联赛T1,北美,阻下/上盘保护,半球/一球,0.8600,1.0200,是
6,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2908724-赛况更新-不新建赛前模拟,美职业,圣地亚哥 vs 科罗拉多急流,成年联赛T1,北美,降温保护/诱下,平手/半球,0.8500,1.0300,是
7,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2908725-赛况更新-不新建赛前模拟,美职业,圣何塞地震 vs 明尼苏达联,成年联赛T1,北美,真实示弱/阻下,平手,0.9500,0.9300,是
10,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2912246-盘口快照-不形成模拟,瑞典超,哈马比 vs 哥德堡盖斯,成年联赛T1,欧洲非五大,阻下/上盘保护,一球/球半,0.8600,1.0300,是
11,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2912250-赛况更新-不新建赛前模拟,瑞典超,瓦斯特拉斯 vs 卡尔马,成年联赛T1,欧洲非五大,阻下/上盘保护,平手,0.8600,1.0200,是
12,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2916611-赛况更新-不新建赛前模拟,阿乙,北索尔塔中央 vs 卡塞罗斯学生队,成年联赛T2,拉美,诱上/阻下,平手,1.2100,0.6400,是
13,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2920950-赛况更新-不新建赛前模拟,澳维超,南墨尔本 vs 黑德堡,成年联赛T2,其他,阻下/上盘保护,平手,0.8600,1.0200,是
14,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2925514-赛况更新-不新建赛前模拟,韩K2联,忠南牙山 vs 龙仁FC,成年联赛T2,东亚,阻上/降温保护,半球,,,否
16,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2925516-赛况更新-不新建赛前模拟,韩K2联,全南天龙 vs 华城FC,成年联赛T2,东亚,真实示强/阻上,半球,0.9300,0.9300,是
18,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2929697-赛况更新-不新建赛前模拟,韩K联,大田市民 vs 江原FC,成年联赛T1,东亚,真实示强/阻上,平手/半球,0.9900,0.9000,是
19,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2929698-赛况更新-不新建赛前模拟,韩K联,光州FC vs 仁川联队,成年联赛T1,东亚,真实示弱/阻下,半球,0.9000,0.9900,是
23,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2942567-赛况更新-不新建赛前模拟,美冠联,伯明翰军团 vs 运动Jax,成年联赛T2,北美,诱下/上盘降温,一球,1.0100,0.8100,是
24,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2942570-赛况更新-不新建赛前模拟,美冠联,科罗拉多跃泉 vs 埃尔帕索机车,成年联赛T2,北美,真实示弱/阻下,平手/半球,1.1100,0.7200,是
25,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2942575-赛况更新-不新建赛前模拟,美冠联,奥兰治县布鲁斯 vs 塔尔萨FC,成年联赛T2,北美,真实示弱/阻下,平手,0.9900,0.8300,是
27,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2942578-赛况更新-不新建赛前模拟,美冠联,圣安东尼奥 vs 奥克兰根,成年联赛T2,北美,真实示弱/阻下,平手/半球,1.0300,0.7900,是
28,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2944796-赛况更新-不新建赛前模拟,中超,辽宁铁人 vs 河南队,成年联赛T1,东亚,真实示弱/阻下,平手,1.0600,0.8000,是
29,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2944797-赛况更新-不新建赛前模拟,中超,上海海港 vs 青岛海牛,成年联赛T1,东亚,真实示强/阻上,球半/两球,0.9100,0.9500,是
31,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2951626-赛况更新-不新建赛前模拟,中甲,深圳青年人 vs 南京城市,成年联赛T2,其他,真实示弱/阻下,半球,0.7300,1.0900,是
32,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2951627-赛况更新-不新建赛前模拟,中甲,长春亚泰 vs 佛山南狮,成年联赛T2,其他,真实示弱/阻下,半球,0.8400,0.9800,是
33,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2962584-赛况更新-不新建赛前模拟,阿甲,飓风队 vs 利斯特雷,成年联赛T1,拉美,真实示弱/阻下,平手/半球,0.8900,0.9900,是
34,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2962587-赛况更新-不新建赛前模拟,阿甲,纽维尔老男孩 vs 班菲尔德,成年联赛T1,拉美,阻上/诱下,半球,1.0800,0.8100,是
