分组类型,分组,已结算投注数,胜率,负率,盈亏Unit,ROI,红,红半,走水,黑半,黑
比赛分类,国内杯赛,20,0.6316,0.3684,3.0750,0.1839,11,1,1,1,6
微观板块,拉美,14,0.6923,0.3077,2.4000,0.1618,6,3,1,0,4
微观板块+标签,拉美 / 诱上/阻下,11,0.7000,0.3000,2.0650,0.2003,5,2,1,0,3
比赛分类+标签,国内杯赛 / 诱上/阻下,13,0.5833,0.4167,1.5900,0.1604,7,0,1,0,5
盘口意图标签,诱下/上盘降温,12,0.5000,0.5000,-0.2650,-0.1038,5,1,0,2,4
盘口档位+标签,半球/一球 / 诱上/阻下,8,0.6250,0.3750,-0.4375,-0.1787,1,4,0,0,3
比赛分类,成年联赛T1,15,0.5714,0.4286,-0.4625,-0.0495,5,3,1,1,5
微观板块+标签,欧洲非五大 / 诱下/上盘降温,9,0.4444,0.5556,-0.6000,-0.1862,4,0,0,2,3
盘口档位,半球/一球,10,0.6000,0.4000,-0.9725,-0.1983,1,5,0,0,4
盘口意图标签,阻上/诱下,10,0.4000,0.6000,-1.3100,-0.1284,4,0,0,2,4
微观板块+标签,欧洲五大 / 阻上/诱下,8,0.3750,0.6250,-1.3500,-0.1527,3,0,0,2,3
微观板块,欧洲非五大,37,0.5135,0.4865,-1.5875,-0.0899,16,3,0,2,16
盘口档位+标签,半球 / 诱上/阻下,8,0.3750,0.6250,-1.5900,-0.2805,3,0,0,0,5
微观板块+标签,欧洲非五大 / 诱上/阻下,21,0.5238,0.4762,-2.1675,-0.1777,8,3,0,0,10
微观板块+标签,欧洲五大 / 诱上/阻下,8,0.4286,0.5714,-2.2300,-0.3890,1,2,1,0,4
盘口档位,半球,13,0.3846,0.6154,-2.7900,-0.2648,5,0,0,0,8
盘口档位+标签,平手 / 诱上/阻下,8,0.2857,0.7143,-2.9400,-0.4243,2,0,1,0,5
盘口档位,平手/半球,22,0.4091,0.5909,-3.0750,-0.1741,9,0,0,4,9
盘口意图标签,诱上/阻下,41,0.5385,0.4615,-3.3325,-0.1339,14,7,2,0,18
盘口档位,平手,9,0.2500,0.7500,-3.4400,-0.4589,2,0,1,0,6
比赛分类+标签,成年联赛T2 / 诱上/阻下,14,0.4286,0.5714,-4.7450,-0.4861,2,4,0,0,8
微观板块,欧洲五大,21,0.4000,0.6000,-4.8400,-0.2531,6,2,1,2,10
比赛分类,成年联赛T3,8,0.1250,0.8750,-5.1000,-0.7167,1,0,0,1,6
比赛分类,成年联赛T2,26,0.4231,0.5769,-5.4200,-0.2910,7,4,0,1,14
比赛分类,洲际杯赛,4,1.0000,0.0000,2.8800,0.8229,4,0,0,0,0
比赛分类+标签,洲际杯赛 / 诱上/阻下,4,1.0000,0.0000,2.8800,0.8229,4,0,0,0,0
赛事,欧罗巴杯,3,1.0000,0.0000,2.4700,0.8233,3,0,0,0,0
赛事+标签,欧罗巴杯 / 诱上/阻下,3,1.0000,0.0000,2.4700,0.8233,3,0,0,0,0
盘口档位,球半/两球,4,1.0000,0.0000,2.0450,0.7002,2,2,0,0,0
盘口档位+标签,球半/两球 / 诱上/阻下,4,1.0000,0.0000,2.0450,0.7002,2,2,0,0,0
微观板块+盘口档位+标签,欧洲非五大 / 球半/两球 / 诱上/阻下,4,1.0000,0.0000,2.0450,0.7002,2,2,0,0,0
微观板块+盘口档位+标签,拉美 / 半球 / 诱上/阻下,4,0.7500,0.2500,1.9100,0.4824,3,0,0,0,1
微观板块+标签,欧洲五大 / 降温保护/诱下,2,1.0000,0.0000,1.7400,0.8700,2,0,0,0,0
赛事,委内杯,3,1.0000,0.0000,1.6500,0.5500,2,0,1,0,0
盘口意图标签,降温保护/诱下,5,0.6000,0.4000,1.5900,0.4369,3,0,0,0,2
盘口档位,一球,7,0.6667,0.3333,1.5750,0.3645,4,0,1,0,2
赛事,法乙,2,1.0000,0.0000,1.5050,0.7795,1,1,0,0,0
比赛分类+标签,国内杯赛 / 诱下/上盘降温,7,0.7143,0.2857,1.4850,0.2418,4,1,0,1,1
赛事,德乙,2,1.0000,0.0000,1.3950,0.9503,2,0,0,0,0
盘口意图标签,阻下/下盘保护,2,1.0000,0.0000,1.2900,0.8600,2,0,0,0,0
微观板块+标签,欧洲非五大 / 阻下/下盘保护,2,1.0000,0.0000,1.2900,0.8600,2,0,0,0,0
比赛分类+标签,成年联赛T1 / 阻下/下盘保护,2,1.0000,0.0000,1.2900,0.8600,2,0,0,0,0
赛事+标签,欧女杯 / 诱下/上盘降温,4,0.7500,0.2500,1.1500,0.5750,3,0,0,1,0
赛事+标签,法乙 / 阻上/诱下,1,1.0000,0.0000,1.0800,1.0800,1,0,0,0,0
盘口档位,两球/两球半,2,1.0000,0.0000,0.9950,1.0008,2,0,0,0,0
赛事,德丙,1,1.0000,0.0000,0.9000,0.9000,1,0,0,0,0
盘口档位+标签,一球 / 降温保护/诱下,1,1.0000,0.0000,0.9000,0.9000,1,0,0,0,0
赛事+标签,德丙 / 降温保护/诱下,1,1.0000,0.0000,0.9000,0.9000,1,0,0,0,0
比赛分类+标签,成年联赛T3 / 降温保护/诱下,1,1.0000,0.0000,0.9000,0.9000,1,0,0,0,0
微观板块+盘口档位+标签,欧洲五大 / 一球 / 降温保护/诱下,1,1.0000,0.0000,0.9000,0.9000,1,0,0,0,0
盘口档位,球半,2,1.0000,0.0000,0.8950,0.8950,2,0,0,0,0
赛事+标签,委内杯 / 诱下/上盘降温,1,1.0000,0.0000,0.8700,0.8700,1,0,0,0,0
