日期,国家,层级,赛事,比赛,比分,状态,盘口档位,候选标签,赛事级样本,赛事级正向胜率,赛事级反向胜率,赛事级胜率高方,盘口标签样本,盘口标签正向胜率,盘口标签反向胜率,盘口标签胜率高方,HTML最终方向,HTML正期望方球队,HTML选中胜率,HTML选中水位,水位阈值,HTML是否可投,HTML原因
2026-08-23,英格兰,次级,英冠,西布罗姆维奇 vs 伯恩利,3-1,已结算,平手,诱上/阻下,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-23,法国,顶级,法甲,昂热 vs 里尔,进行中 0-2,进行中,半球/一球,平衡盘/等待临场确认,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-23,英格兰,顶级,英超,布莱顿 vs 阿斯顿维拉,进行中 4-0,进行中,平手/半球,诱上/阻下,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-23,英格兰,顶级,英超,曼彻斯特城 vs 伯恩茅斯,进行中 0-1,进行中,一球/球半,平衡盘/等待临场确认,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-23,西班牙,次级,西乙,埃瓦尔 vs 巴拉多利德,埃瓦尔0-3巴拉多利德,已结算,半球,阻上/诱下,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-23,西班牙,顶级,西甲,马德里竞技 vs 比利亚雷亚尔,马德里竞技0-3比利亚雷亚尔,已结算,半球/一球,阻上/诱下,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-23,法国,顶级,法甲,勒阿弗尔 vs 摩纳哥,勒阿弗尔0-3摩纳哥,已结算,半球,平衡盘/等待临场确认,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-23,英格兰,顶级,英超,纽卡斯尔联 vs 利物浦,纽卡斯尔联0-3利物浦,已结算,半球,真实示强/阻上,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-24,德国,杯赛,德国杯,SC维尔 vs 汉堡,SC维尔0-3汉堡,已结算,球半,阻上/诱下,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-24,德国,杯赛,德国杯,维尔茨堡踢球者 vs 科隆,维尔茨堡踢球者1-2科隆,已结算,球半,诱上/阻下,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-24,德国,杯赛,德国杯,艾尔格里尼克(中) vs 沃尔夫斯堡,艾尔格里尼克(中)2-2沃尔夫斯堡,已结算,两球半,真实示强/阻上,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-24,意大利,顶级,意甲,博洛尼亚 vs 拉齐奥,博洛尼亚0-1拉齐奥,已结算,平手/半球,真实示弱/阻下,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-24,西班牙,次级,西乙,塞尔塔B队 vs 安道尔FC,塞尔塔B队4-2安道尔FC,已结算,平手/半球,阻下/上盘保护,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
