日期,赛事,比赛分类,比赛,赛果,比分来源,模拟ID,市场框架,即时亚盘,盘口线,盘口档位,上盘方,候选标签,候选依据,候选映射方向,意图水位,意图结算,意图盈亏单位,意图均注盈亏,反向方向,反向水位,反向结算,反向盈亏单位,反向均注盈亏,有真实投注量,Polymarket/交易所情绪,流动性,开赛时间,比赛ID,赛事原始,国家,层级,五大地区筛选,是否有效亚盘结算
2026-08-23,法甲,成年联赛T1,昂热 vs 里尔,0-2,Titan007完场快照:20260824_075622_titan007_odds_snapshot.csv,20260823-TITAN-2995308-赛况更新-不新建赛前模拟,赛况更新-不新建赛前模拟,0.9/-0.75/0.99,-0.75,半球/一球,客队,平衡盘/等待临场确认,客队上盘，让球基本稳定，上盘水位0.99，下盘水位0.90，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995308,法甲,法国,顶级,是,False
2026-08-23,法甲,成年联赛T1,勒阿弗尔 vs 摩纳哥,0-1,Titan007完场快照:20260824_075622_titan007_odds_snapshot.csv,20260823-TITAN-2995309-盘口快照-不形成模拟,盘口快照-不形成模拟,0.89/-0.5/1.0,-0.5,半球,客队,平衡盘/等待临场确认,客队上盘，让球基本稳定，上盘水位1.00，下盘水位0.89，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995309,法甲,法国,顶级,是,False
2026-08-23,英超,成年联赛T1,布莱顿 vs 阿斯顿维拉,4-0,Titan007完场快照:20260824_075622_titan007_odds_snapshot.csv,20260823-TITAN-3003855-赛况更新-不新建赛前模拟,赛况更新-不新建赛前模拟,0.78/0.25/1.12,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.78，下盘水位1.12，欧赔支持上盘,下盘,1.12,输,-1.0,-1.0,上盘,0.78,赢,1.0,0.78,否,缺失,Titan价格流；PM/必发/BTTS缺,,3003855,英超,英格兰,顶级,是,True
2026-08-23,英超,成年联赛T1,曼彻斯特城 vs 伯恩茅斯,2-1,Titan007完场快照:20260824_075622_titan007_odds_snapshot.csv,20260823-TITAN-3003856-赛况更新-不新建赛前模拟,赛况更新-不新建赛前模拟,0.98/1.25/0.91,1.25,一球/球半,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位0.98，下盘水位0.91，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3003856,英超,英格兰,顶级,是,False
2026-08-23,英超,成年联赛T1,纽卡斯尔联 vs 利物浦,2-2,Titan007完场快照:20260824_075622_titan007_odds_snapshot.csv,20260823-TITAN-3003857-盘口快照-不形成模拟,盘口快照-不形成模拟,0.99/-0.5/0.9,-0.5,半球,客队,真实示强/阻上,客队上盘，让球加深，上盘水位0.90，下盘水位0.99，欧赔支持上盘,上盘,0.9,输,-1.0,-1.0,下盘,0.99,赢,1.0,0.99,否,缺失,Titan价格流；PM/必发/BTTS缺,,3003857,英超,英格兰,顶级,是,True
2026-08-23,英冠,成年联赛T2,西布罗姆维奇 vs 伯恩利,3-1,Titan007完场快照:20260824_075622_titan007_odds_snapshot.csv,20260823-TITAN-3008171-赛况更新-不新建赛前模拟,赛况更新-不新建赛前模拟,0.82/0.0/1.07,0.0,平手,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.82，下盘水位1.07，欧赔支持上盘,下盘,1.07,输,-1.0,-1.0,上盘,0.82,赢,1.0,0.82,否,缺失,Titan价格流；PM/必发/BTTS缺,,3008171,英冠,英格兰,次级,是,True
2026-08-23,西甲,成年联赛T1,马德里竞技 vs 比利亚雷亚尔,2-2,Titan007完场快照:20260824_075622_titan007_odds_snapshot.csv,20260823-TITAN-3013653-盘口快照-不形成模拟,盘口快照-不形成模拟,1.07/0.75/0.82,0.75,半球/一球,主队,阻上/诱下,主队上盘，让球加深，上盘水位1.07，下盘水位0.82，欧赔变化不大,上盘,1.07,输,-1.0,-1.0,下盘,0.82,赢,1.0,0.82,否,缺失,Titan价格流；PM/必发/BTTS缺,,3013653,西甲,西班牙,顶级,是,True
2026-08-23,西乙,成年联赛T2,埃瓦尔 vs 巴拉多利德,1-0,Titan007完场快照:20260824_075622_titan007_odds_snapshot.csv,20260823-TITAN-3014037-盘口快照-不形成模拟,盘口快照-不形成模拟,1.05/0.5/0.84,0.5,半球,主队,阻上/诱下,主队上盘，让球加深，上盘水位1.05，下盘水位0.84，欧赔支持上盘,上盘,1.05,赢,1.0,1.05,下盘,0.84,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3014037,西乙,西班牙,次级,是,True
2026-08-24,意甲,成年联赛T1,罗马 vs 佛罗伦萨,4-0,ledger赛果兜底,20260824-TITAN-2993755-盘口快照-不形成模拟,盘口快照-不形成模拟,0.95/0.75/0.94,0.75,半球/一球,主队,真实示弱/阻下,主队上盘，让球退盘，上盘水位0.95，下盘水位0.94，欧赔削弱上盘,下盘,0.94,输,-1.0,-1.0,上盘,0.95,赢,1.0,0.95,否,缺失,Titan价格流；PM/必发/BTTS缺,,2993755,意甲,意大利,顶级,是,True
2026-08-24,意甲,成年联赛T1,博洛尼亚 vs 拉齐奥,0-1,ledger赛果兜底,20260824-TITAN-2993757-盘口快照-不形成模拟,盘口快照-不形成模拟,1.02/0.25/0.87,0.25,平手/半球,主队,真实示弱/阻下,主队上盘，让球退盘，上盘水位1.02，下盘水位0.87，欧赔削弱上盘,下盘,0.87,赢,1.0,0.87,上盘,1.02,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,2993757,意甲,意大利,顶级,是,True
2026-08-24,德国杯,国内杯赛,艾尔格里尼克<font color=#880000>(中)</font> vs 沃尔夫斯堡,2-2,ledger赛果兜底,20260824-TITAN-2995126-盘口快照-不形成模拟,盘口快照-不形成模拟,1.0/-2.5/0.88,-2.5,两球半,客队,真实示强/阻上,客队上盘，让球加深，上盘水位0.88，下盘水位1.00，欧赔变化不大,上盘,0.88,输,-1.0,-1.0,下盘,1.0,赢,1.0,1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995126,德国杯,德国,杯赛,是,True
2026-08-24,德国杯,国内杯赛,SC维尔 vs 汉堡,0-3,ledger赛果兜底,20260824-TITAN-2995127-盘口快照-不形成模拟,盘口快照-不形成模拟,0.88/-1.5/1.0,-1.5,球半,客队,阻上/诱下,客队上盘，让球加深，上盘水位1.00，下盘水位0.88，欧赔支持上盘,上盘,1.0,赢,1.0,1.0,下盘,0.88,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995127,德国杯,德国,杯赛,是,True
2026-08-24,德国杯,国内杯赛,哈雷斯彻 vs 沙尔克04,2-2,ledger赛果兜底,20260824-TITAN-2995139-盘口快照-不形成模拟,盘口快照-不形成模拟,0.97/-1.75/0.91,-1.75,球半/两球,客队,真实示强/阻上,客队上盘，让球加深，上盘水位0.91，下盘水位0.97，欧赔支持上盘,上盘,0.91,输,-1.0,-1.0,下盘,0.97,赢,1.0,0.97,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995139,德国杯,德国,杯赛,是,True
2026-08-24,德国杯,国内杯赛,维尔茨堡踢球者 vs 科隆,1-2,ledger赛果兜底,20260824-TITAN-2995148-盘口快照-不形成模拟,盘口快照-不形成模拟,1.08/-1.5/0.8,-1.5,球半,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.80，下盘水位1.08，欧赔变化不大,下盘,1.08,赢,1.0,1.08,上盘,0.8,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995148,德国杯,德国,杯赛,是,True
2026-08-24,法乙,成年联赛T2,兰斯 vs 阿纳西,3-1,ledger赛果兜底,20260824-TITAN-2997696-盘口快照-不形成模拟,盘口快照-不形成模拟,1.06/0.75/0.82,0.75,半球/一球,主队,阻上/降温保护,主队上盘，让球基本稳定，上盘水位1.06，下盘水位0.82，欧赔变化不大,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2997696,法乙,法国,次级,是,False
