类型,赛事,口径,方向,样本,有效胜率,均注盈亏,红,红半,走,黑半,黑
原始意图,德丙,五大非顶级/杯赛,原始反向,5,0.5556,-0.1,2,1,0,0,2
原始意图,德丙,五大非顶级/杯赛,原始正向,5,0.4444,-0.64,2,0,0,1,2
原始意图,德乙,五大非顶级/杯赛,原始反向,2,0.0,-2.0,0,0,0,0,2
原始意图,德乙,五大非顶级/杯赛,原始正向,2,1.0,1.95,2,0,0,0,0
七重漏斗,德国杯,五大非顶级/杯赛,通过后实际,3,0.6667,0.485,2,0,0,0,1
原始意图,德国杯,五大非顶级/杯赛,原始反向,4,0.5,-0.03,2,0,0,0,2
原始意图,德国杯,五大非顶级/杯赛,原始正向,4,0.5,0.08,2,0,0,0,2
七重漏斗,意丙,五大非顶级/杯赛,通过后实际,2,0.5,-0.015,1,0,0,0,1
原始意图,意丙,五大非顶级/杯赛,原始反向,17,0.4516,-3.025,6,2,0,1,8
原始意图,意丙,五大非顶级/杯赛,原始正向,17,0.5484,1.245,8,1,0,2,6
原始意图,意乙,五大非顶级/杯赛,原始反向,3,0.5,-0.1,1,0,1,0,1
原始意图,意乙,五大非顶级/杯赛,原始正向,3,0.5,-0.07,1,0,1,0,1
原始意图,法丙,五大非顶级/杯赛,原始反向,3,0.0,-3.0,0,0,0,0,3
原始意图,法丙,五大非顶级/杯赛,原始正向,3,1.0,3.16,3,0,0,0,0
原始意图,法乙,五大非顶级/杯赛,原始反向,5,0.4286,-0.555,1,1,1,0,2
原始意图,法乙,五大非顶级/杯赛,原始正向,5,0.5714,0.44,2,0,1,1,1
七重漏斗,英冠,五大非顶级/杯赛,通过后实际,1,1.0,0.82,1,0,0,0,0
原始意图,英冠,五大非顶级/杯赛,原始反向,6,0.8182,3.165,4,1,0,0,1
原始意图,英冠,五大非顶级/杯赛,原始正向,6,0.1818,-3.53,1,0,0,1,4
原始意图,英甲,五大非顶级/杯赛,原始反向,6,0.5556,0.03,2,1,1,0,2
原始意图,英甲,五大非顶级/杯赛,原始正向,6,0.4444,-0.52,2,0,1,1,2
原始意图,英联杯,五大非顶级/杯赛,原始反向,13,0.4783,-1.375,5,1,1,0,6
原始意图,英联杯,五大非顶级/杯赛,原始正向,13,0.5217,0.53,6,0,1,1,5
七重漏斗,西乙,五大非顶级/杯赛,通过后实际,3,0.0,-2.0,0,0,0,0,3
原始意图,西乙,五大非顶级/杯赛,原始反向,4,0.5,-0.19,2,0,0,0,2
原始意图,西乙,五大非顶级/杯赛,原始正向,4,0.5,0.11,2,0,0,0,2
原始意图,西协甲,五大非顶级/杯赛,原始反向,6,0.75,1.39,2,2,1,0,1
原始意图,西协甲,五大非顶级/杯赛,原始正向,6,0.25,-2.07,1,0,1,2,2
原始意图,德甲,五大顶级联赛,原始反向,3,0.5,-0.03,1,0,1,0,1
原始意图,德甲,五大顶级联赛,原始正向,3,0.5,0.03,1,0,1,0,1
七重漏斗,意甲,五大顶级联赛,通过后实际,1,0.0,-0.5,0,0,0,0,1
原始意图,意甲,五大顶级联赛,原始反向,5,0.2,-3.05,1,0,0,0,4
原始意图,意甲,五大顶级联赛,原始正向,5,0.8,2.79,4,0,0,0,1
原始意图,法甲,五大顶级联赛,原始反向,3,0.6667,0.87,2,0,0,0,1
原始意图,法甲,五大顶级联赛,原始正向,3,0.3333,-0.89,1,0,0,0,2
七重漏斗,英超,五大顶级联赛,通过后实际,3,0.3333,-0.72,1,0,0,0,2
原始意图,英超,五大顶级联赛,原始反向,6,0.6,0.63,3,0,1,0,2
原始意图,英超,五大顶级联赛,原始正向,6,0.4,-1.27,2,0,1,0,3
原始意图,西甲,五大顶级联赛,原始反向,9,0.4667,-1.08,3,1,0,2,3
原始意图,西甲,五大顶级联赛,原始正向,9,0.5333,0.365,3,2,0,1,3
