类型,国家,层级,赛事,方向,样本,红,红半,走水,黑半,黑,红/红半/走/黑半/黑,红半折算胜率,红单命中率,负率,均注盈亏,ROI
当时盘口意图,德国,杯赛,德国杯,当时意图正向,4,2,0,0,0,2,2/0/0/0/2,50.0%,50.0%,50.0%,+0.0800,2.0%
当时盘口意图,德国,杯赛,德国杯,当时意图反向,4,2,0,0,0,2,2/0/0/0/2,50.0%,50.0%,50.0%,-0.0300,-0.8%
当时盘口意图,德国,次次级,德丙,当时意图正向,5,2,0,0,1,2,2/0/0/1/2,40.0%,40.0%,60.0%,-0.6400,-12.8%
当时盘口意图,德国,次次级,德丙,当时意图反向,5,2,1,0,0,2,2/1/0/0/2,50.0%,60.0%,40.0%,-0.1000,-2.0%
当时盘口意图,德国,次级,德乙,当时意图正向,2,2,0,0,0,0,2/0/0/0/0,100.0%,100.0%,0.0%,+1.9500,97.5%
当时盘口意图,德国,次级,德乙,当时意图反向,2,0,0,0,0,2,0/0/0/0/2,0.0%,0.0%,100.0%,-2.0000,-100.0%
当时盘口意图,德国,顶级,德甲,当时意图正向,3,1,0,1,0,1,1/0/1/0/1,50.0%,50.0%,50.0%,+0.0300,1.0%
当时盘口意图,德国,顶级,德甲,当时意图反向,3,1,0,1,0,1,1/0/1/0/1,50.0%,50.0%,50.0%,-0.0300,-1.0%
当时盘口意图,意大利,次次级,意丙,当时意图正向,17,8,1,0,2,6,8/1/0/2/6,50.0%,52.9%,47.1%,+1.2450,7.3%
当时盘口意图,意大利,次次级,意丙,当时意图反向,17,6,2,0,1,8,6/2/0/1/8,41.2%,47.1%,52.9%,-3.0250,-17.8%
当时盘口意图,意大利,次级,意乙,当时意图正向,3,1,0,1,0,1,1/0/1/0/1,50.0%,50.0%,50.0%,-0.0700,-2.3%
当时盘口意图,意大利,次级,意乙,当时意图反向,3,1,0,1,0,1,1/0/1/0/1,50.0%,50.0%,50.0%,-0.1000,-3.3%
当时盘口意图,意大利,顶级,意甲,当时意图正向,5,4,0,0,0,1,4/0/0/0/1,80.0%,80.0%,20.0%,+2.7900,55.8%
当时盘口意图,意大利,顶级,意甲,当时意图反向,5,1,0,0,0,4,1/0/0/0/4,20.0%,20.0%,80.0%,-3.0500,-61.0%
当时盘口意图,法国,次次级,法丙,当时意图正向,3,3,0,0,0,0,3/0/0/0/0,100.0%,100.0%,0.0%,+3.1600,105.3%
当时盘口意图,法国,次次级,法丙,当时意图反向,3,0,0,0,0,3,0/0/0/0/3,0.0%,0.0%,100.0%,-3.0000,-100.0%
当时盘口意图,法国,次级,法乙,当时意图正向,5,2,0,1,1,1,2/0/1/1/1,50.0%,50.0%,50.0%,+0.4400,8.8%
当时盘口意图,法国,次级,法乙,当时意图反向,5,1,1,1,0,2,1/1/1/0/2,37.5%,50.0%,50.0%,-0.5550,-11.1%
当时盘口意图,法国,顶级,法甲,当时意图正向,3,1,0,0,0,2,1/0/0/0/2,33.3%,33.3%,66.7%,-0.8900,-29.7%
当时盘口意图,法国,顶级,法甲,当时意图反向,3,2,0,0,0,1,2/0/0/0/1,66.7%,66.7%,33.3%,+0.8700,29.0%
当时盘口意图,英格兰,杯赛,英联杯,当时意图正向,13,6,0,1,1,5,6/0/1/1/5,50.0%,50.0%,50.0%,+0.5300,4.1%
当时盘口意图,英格兰,杯赛,英联杯,当时意图反向,13,5,1,1,0,6,5/1/1/0/6,45.8%,50.0%,50.0%,-1.3750,-10.6%
当时盘口意图,英格兰,次次级,英甲,当时意图正向,6,2,0,1,1,2,2/0/1/1/2,40.0%,40.0%,60.0%,-0.5200,-8.7%
当时盘口意图,英格兰,次次级,英甲,当时意图反向,6,2,1,1,0,2,2/1/1/0/2,50.0%,60.0%,40.0%,+0.0300,0.5%
当时盘口意图,英格兰,次级,英冠,当时意图正向,6,1,0,0,1,4,1/0/0/1/4,16.7%,16.7%,83.3%,-3.5300,-58.8%
当时盘口意图,英格兰,次级,英冠,当时意图反向,6,4,1,0,0,1,4/1/0/0/1,75.0%,83.3%,16.7%,+3.1650,52.8%
当时盘口意图,英格兰,顶级,英超,当时意图正向,6,2,0,1,0,3,2/0/1/0/3,40.0%,40.0%,60.0%,-1.2700,-21.2%
当时盘口意图,英格兰,顶级,英超,当时意图反向,6,3,0,1,0,2,3/0/1/0/2,60.0%,60.0%,40.0%,+0.6300,10.5%
当时盘口意图,西班牙,次次级,西协甲,当时意图正向,6,1,0,1,2,2,1/0/1/2/2,20.0%,20.0%,80.0%,-2.0700,-34.5%
当时盘口意图,西班牙,次次级,西协甲,当时意图反向,6,2,2,1,0,1,2/2/1/0/1,60.0%,80.0%,20.0%,+1.3900,23.2%
当时盘口意图,西班牙,次级,西乙,当时意图正向,4,2,0,0,0,2,2/0/0/0/2,50.0%,50.0%,50.0%,+0.1100,2.8%
当时盘口意图,西班牙,次级,西乙,当时意图反向,4,2,0,0,0,2,2/0/0/0/2,50.0%,50.0%,50.0%,-0.1900,-4.8%
当时盘口意图,西班牙,顶级,西甲,当时意图正向,9,3,2,0,1,3,3/2/0/1/3,44.4%,55.6%,44.4%,+0.3650,4.1%
当时盘口意图,西班牙,顶级,西甲,当时意图反向,9,3,1,0,2,3,3/1/0/2/3,38.9%,44.4%,55.6%,-1.0800,-12.0%
