类型,国家,层级,赛事,口径,方向,样本,红,红半,走,黑半,黑,红/红半/走/黑半/黑,有效胜率,均注盈亏,ROI
当时盘口意图,德国,杯赛,德国杯,德国-杯赛,当时意图正向,4,2,0,0,0,2,2/0/0/0/2,0.5000,+0.0800,0.0200
当时盘口意图,德国,杯赛,德国杯,德国-杯赛,当时意图反向,4,2,0,0,0,2,2/0/0/0/2,0.5000,-0.0300,-0.0080
当时盘口意图,德国,次次级,德丙,德国-次次级,当时意图正向,5,2,0,0,1,2,2/0/0/1/2,0.4000,-0.6400,-0.1280
当时盘口意图,德国,次次级,德丙,德国-次次级,当时意图反向,5,2,1,0,0,2,2/1/0/0/2,0.5000,-0.1000,-0.0200
当时盘口意图,德国,次级,德乙,德国-次级,当时意图正向,2,2,0,0,0,0,2/0/0/0/0,1.0000,+1.9500,0.9750
当时盘口意图,德国,次级,德乙,德国-次级,当时意图反向,2,0,0,0,0,2,0/0/0/0/2,0.0000,-2.0000,-1.0000
当时盘口意图,德国,顶级,德甲,德国-顶级,当时意图正向,3,1,0,1,0,1,1/0/1/0/1,0.5000,+0.0300,0.0100
当时盘口意图,德国,顶级,德甲,德国-顶级,当时意图反向,3,1,0,1,0,1,1/0/1/0/1,0.5000,-0.0300,-0.0100
当时盘口意图,意大利,次次级,意丙,意大利-次次级,当时意图正向,17,8,1,0,2,6,8/1/0/2/6,0.5000,+1.2450,0.0730
当时盘口意图,意大利,次次级,意丙,意大利-次次级,当时意图反向,17,6,2,0,1,8,6/2/0/1/8,0.4120,-3.0250,-0.1780
当时盘口意图,意大利,次级,意乙,意大利-次级,当时意图正向,3,1,0,1,0,1,1/0/1/0/1,0.5000,-0.0700,-0.0230
当时盘口意图,意大利,次级,意乙,意大利-次级,当时意图反向,3,1,0,1,0,1,1/0/1/0/1,0.5000,-0.1000,-0.0330
当时盘口意图,意大利,顶级,意甲,意大利-顶级,当时意图正向,5,4,0,0,0,1,4/0/0/0/1,0.8000,+2.7900,0.5580
当时盘口意图,意大利,顶级,意甲,意大利-顶级,当时意图反向,5,1,0,0,0,4,1/0/0/0/4,0.2000,-3.0500,-0.6100
当时盘口意图,法国,次次级,法丙,法国-次次级,当时意图正向,3,3,0,0,0,0,3/0/0/0/0,1.0000,+3.1600,1.0530
当时盘口意图,法国,次次级,法丙,法国-次次级,当时意图反向,3,0,0,0,0,3,0/0/0/0/3,0.0000,-3.0000,-1.0000
当时盘口意图,法国,次级,法乙,法国-次级,当时意图正向,5,2,0,1,1,1,2/0/1/1/1,0.5000,+0.4400,0.0880
当时盘口意图,法国,次级,法乙,法国-次级,当时意图反向,5,1,1,1,0,2,1/1/1/0/2,0.3750,-0.5550,-0.1110
当时盘口意图,法国,顶级,法甲,法国-顶级,当时意图正向,3,1,0,0,0,2,1/0/0/0/2,0.3330,-0.8900,-0.2970
当时盘口意图,法国,顶级,法甲,法国-顶级,当时意图反向,3,2,0,0,0,1,2/0/0/0/1,0.6670,+0.8700,0.2900
当时盘口意图,英格兰,杯赛,英联杯,英格兰-杯赛,当时意图正向,13,6,0,1,1,5,6/0/1/1/5,0.5000,+0.5300,0.0410
当时盘口意图,英格兰,杯赛,英联杯,英格兰-杯赛,当时意图反向,13,5,1,1,0,6,5/1/1/0/6,0.4580,-1.3750,-0.1060
当时盘口意图,英格兰,次次级,英甲,英格兰-次次级,当时意图正向,6,2,0,1,1,2,2/0/1/1/2,0.4000,-0.5200,-0.0870
当时盘口意图,英格兰,次次级,英甲,英格兰-次次级,当时意图反向,6,2,1,1,0,2,2/1/1/0/2,0.5000,+0.0300,0.0050
当时盘口意图,英格兰,次级,英冠,英格兰-次级,当时意图正向,6,1,0,0,1,4,1/0/0/1/4,0.1670,-3.5300,-0.5880
当时盘口意图,英格兰,次级,英冠,英格兰-次级,当时意图反向,6,4,1,0,0,1,4/1/0/0/1,0.7500,+3.1650,0.5280
当时盘口意图,英格兰,顶级,英超,英格兰-顶级,当时意图正向,6,2,0,1,0,3,2/0/1/0/3,0.4000,-1.2700,-0.2120
当时盘口意图,英格兰,顶级,英超,英格兰-顶级,当时意图反向,6,3,0,1,0,2,3/0/1/0/2,0.6000,+0.6300,0.1050
当时盘口意图,西班牙,次次级,西协甲,西班牙-次次级,当时意图正向,6,1,0,1,2,2,1/0/1/2/2,0.2000,-2.0700,-0.3450
当时盘口意图,西班牙,次次级,西协甲,西班牙-次次级,当时意图反向,6,2,2,1,0,1,2/2/1/0/1,0.6000,+1.3900,0.2320
当时盘口意图,西班牙,次级,西乙,西班牙-次级,当时意图正向,4,2,0,0,0,2,2/0/0/0/2,0.5000,+0.1100,0.0280
当时盘口意图,西班牙,次级,西乙,西班牙-次级,当时意图反向,4,2,0,0,0,2,2/0/0/0/2,0.5000,-0.1900,-0.0480
当时盘口意图,西班牙,顶级,西甲,西班牙-顶级,当时意图正向,9,3,2,0,1,3,3/2/0/1/3,0.4440,+0.3650,0.0410
当时盘口意图,西班牙,顶级,西甲,西班牙-顶级,当时意图反向,9,3,1,0,2,3,3/1/0/2/3,0.3890,-1.0800,-0.1200
