version,match_id,change_state,changed_fields,old_action,new_action,old_team,new_team,old_side,new_side,old_line,new_line,old_water,new_water,old_grade,new_grade,old_ev_mean,new_ev_mean,change_reason
V3,2916693,WATER_CHANGED,water,不投,不投,新芝加哥（上盘）,新芝加哥（上盘）,upper,upper,平手/半球,平手/半球,0.93,1.01,,,,,water
V3,2916698,DIRECTION_OR_ACTION_CHANGED,side,不投,不投,无，不投,无，不投,,upper,半球,半球,0,0,,,,,side
V3,2933154,LINE_CHANGED,"line,water",不投,不投,花刺子模乌尔根奇（上盘）,花刺子模乌尔根奇（上盘）,upper,upper,半球,平手/半球,1.01,0.81,,,,,line;water
V3,2940187,UNCHANGED,,不投,不投,无，不投,无，不投,,,半球/一球,半球/一球,0,0,,,,,UNCHANGED
V3,2940188,WATER_CHANGED,water,不投,不投,库亚巴（上盘）,库亚巴（上盘）,upper,upper,半球,半球,1.04,1.05,,,,,water
V3,2962638,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,平手/半球,平手/半球,0,0,,,,,UNCHANGED
V3,2962639,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,平手/半球,平手/半球,0,0,,,,,UNCHANGED
V3,2962645,WATER_CHANGED,water,不投,不投,拉努斯（反向=上盘）,拉努斯（反向=上盘）,upper,upper,平手/半球,平手/半球,0.82,0.84,,,,,water
V3,2971092,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
V3,2971094,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water",不投,不投,无，不投,洛钦（反向=上盘）,,upper,,半球/一球,0,0.74,,,,,team;side;line;water
V3,2971096,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water",不投,不投,无，不投,休尔坦古佐（反向=上盘）,,upper,,一球,0,0.66,,,,,team;side;line;water
V3,2971097,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
V3,2971098,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
V3,2998120,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water",不投,不投,无，不投,霍布罗（反向=下盘）,upper,lower,平手/半球,平手,0,1.05,,,,,team;side;line;water
V3,3012196,WATER_CHANGED,water,不投,不投,卡达根拿（上盘）,卡达根拿（上盘）,upper,upper,半球/一球,半球/一球,0.93,0.95,,,,,water
V3,3012197,WATER_CHANGED,water,不投,不投,波哥塔（反向=上盘）,波哥塔（反向=上盘）,upper,upper,半球,半球,0.8,0.74,,,,,water
V3,3012198,UNCHANGED,,不投,不投,索阿查（上盘）,索阿查（上盘）,upper,upper,平手/半球,平手/半球,0.9,0.9,,,,,UNCHANGED
V3,3017162,DIRECTION_OR_ACTION_CHANGED,"action,team,side,line,water",不投,可投,无，不投,多布鲁察（反向=下盘）,,lower,半球,平手/半球,0,0.93,,,,,action;team;side;line;water
V3,3017165,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water",可投,可投,FC蒙塔纳（反向=上盘）,赫巴（反向=下盘）,upper,lower,半球,平手/半球,0.82,0.93,,,,,team;side;line;water
V3,3017168,WATER_CHANGED,water,不投,不投,卢多戈雷茨B队（反向=下盘）,卢多戈雷茨B队（反向=下盘）,lower,lower,平手/半球,平手/半球,0.75,0.78,,,,,water
V3,3017169,LINE_CHANGED,"line,water",不投,不投,斯夫格（反向=下盘）,斯夫格（反向=下盘）,lower,lower,一球,半球/一球,0.75,0.81,,,,,line;water
V3,3035654,UNCHANGED,,不投,不投,FC维多尼古拉耶夫卡（反向=上盘）,FC维多尼古拉耶夫卡（反向=上盘）,upper,upper,半球,半球,0.74,0.74,,,,,UNCHANGED
V3,3044271,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
