统计日期,数据源,日期,开赛时间,比赛ID,赛事,比赛,比赛分类,微观板块,国家,赛事层级,盘口,水位分层,倾向意图,动作,选择方向,投注盘向,投注球队,选中水位,综合胜率,盈亏平衡胜率,通过阈值,同档样本,同档选中胜率,风控状态,仓位系数,下注金额,已结算,结算标签,实际盈亏Unit,实际盈亏金额,赛果,比分来源,即时亚盘,盘口线,上盘方,候选映射方向,反向方向,候选依据
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3061692-盘口快照-不形成模拟,丹麦杯,布隆索伊 vs AB格莱萨克瑟,国内杯赛,欧洲非五大,丹麦,杯赛,半球/一球,0.81-0.90,诱上/阻下,反向,反向,上盘,AB格莱萨克瑟,0.8400,0.5778,0.5435,0.5635,5.0,0.4000,状态A-正常态,1.0000,5.0000,是,红,0.8400,4.2000,2-4,ledger赛果兜底,0.92/-0.75/0.84,-0.75,客队,下盘,上盘,客队上盘，让球基本稳定，上盘水位0.84，下盘水位0.92，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3061702-盘口快照-不形成模拟,丹麦杯,欧科斯 vs 米德法特,国内杯赛,欧洲非五大,丹麦,杯赛,两球半,0.81-0.90,诱上/阻下,反向,反向,上盘,米德法特,0.8200,0.5957,0.5495,0.5695,0.0,,状态A-正常态,1.0000,5.0000,是,黑,-1.0000,-5.0000,0-1,Titan007完场快照:20260826_080626_titan007_odds_snapshot.csv,0.94/-2.5/0.82,-2.5,客队,下盘,上盘,客队上盘，让球基本稳定，上盘水位0.82，下盘水位0.94，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062772-盘口快照-不形成模拟,英联杯,诺丁汉森林 vs 利兹联,国内杯赛,欧洲五大,英格兰,杯赛,平手/半球,0.81-0.90,诱上/阻下,反向,反向,上盘,诺丁汉森林,0.8100,0.5792,0.5525,0.5725,7.0,0.1429,状态A-正常态,1.0000,5.0000,是,黑,-1.0000,-5.0000,0-2,ledger赛果兜底,0.81/0.25/1.01,0.25,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.81，下盘水位1.01，欧赔支持上盘
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2913115-盘口快照-不形成模拟,挪甲,海于格松 vs 埃格尔森德,成年联赛T2,欧洲非五大,挪威,非顶级联赛,一球,0.81-0.90,诱上/阻下,反向,反向,上盘,海于格松,0.8100,0.5926,0.5525,0.5725,3.0,0.3333,状态B-预警/降半仓,0.5000,2.3550,是,红,0.4050,1.9076,3-0,ledger赛果兜底,0.81/1.0/0.95,1.0,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.81，下盘水位0.95，欧赔支持上盘
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2913121-盘口快照-不形成模拟,挪甲,斯托姆加斯特 vs 禾特,成年联赛T2,欧洲非五大,挪威,非顶级联赛,球半/两球,<=0.70,诱上/阻下,反向,反向,上盘,斯托姆加斯特,0.7000,0.6207,0.5882,0.6082,3.0,1.0000,状态B-预警/降半仓,0.5000,2.3550,是,红半,0.1750,0.8242,3-1,ledger赛果兜底,0.7/1.75/1.06,1.75,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.70，下盘水位1.06，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2934762-盘口快照-不形成模拟,阿乙曼特秋,梅洛 vs 多科苏德体育会,成年联赛T2,拉美,阿根廷,非顶级联赛,平手,0.71-0.80,诱上/阻下,反向,反向,上盘,梅洛,0.7200,0.6267,0.5814,0.6014,14.0,1.0000,状态A-正常态,1.0000,4.7100,是,黑,-1.0000,-4.7100,1-2,ledger赛果兜底,0.72/0.0/0.98,0.0,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.72，下盘水位0.98，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2934765-盘口快照-不形成模拟,阿乙曼特秋,利涅尔斯 vs 阿梅尼奥,成年联赛T2,拉美,阿根廷,非顶级联赛,平手,0.81-0.90,诱上/阻下,反向,反向,上盘,利涅尔斯,0.8400,0.5990,0.5435,0.5635,15.0,0.9000,状态A-正常态,1.0000,4.7100,是,红,0.8400,3.9564,3-1,ledger赛果兜底,0.84/0.0/0.86,0.0,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.84，下盘水位0.86，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3006376-盘口快照-不形成模拟,委内杯,祖利亚诺 vs 乌勒纳,国内杯赛,拉美,未识别,杯赛,半球,0.71-0.80,诱上/阻下,反向,反向,上盘,祖利亚诺,0.7800,0.6115,0.5618,0.5818,5.0,0.8000,状态A-正常态,1.0000,4.7100,是,红,0.7800,3.6738,3-0,ledger赛果兜底,0.78/0.5/0.92,0.5,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.78，下盘水位0.92，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3006377-盘口快照-不形成模拟,委内杯,图积兰奴斯 vs 拉腊体育,国内杯赛,拉美,未识别,杯赛,平手,0.71-0.80,诱上/阻下,反向,反向,上盘,图积兰奴斯,0.7100,0.6262,0.5848,0.6048,18.0,0.8333,状态A-正常态,1.0000,4.7100,是,走水,0.0000,0.0000,0-0,ledger赛果兜底,0.71/0.0/0.99,0.0,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.71，下盘水位0.99，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3006389-盘口快照-不形成模拟,委内杯,麦尼拉斯 vs 波多港,国内杯赛,拉美,未识别,杯赛,平手/半球,0.81-0.90,诱下/上盘降温,正向,正向,上盘,麦尼拉斯,0.8700,0.6786,0.5348,0.5548,5.0,0.6000,状态A-正常态,1.0000,4.7100,是,红,0.8700,4.0977,6-0,ledger赛果兜底,0.87/0.25/0.83,0.25,主队,上盘,下盘,主队上盘，让球基本稳定，上盘水位0.87，下盘水位0.83，欧赔变化不大
