统计日期,数据源,日期,开赛时间,比赛ID,赛事,比赛,比赛分类,微观板块,国家,赛事层级,盘口,水位分层,倾向意图,阻诱目标侧,理论资金主队占比,理论资金客队占比,实际资金主队占比,实际资金客队占比,资金偏离主队,资金偏离客队,资金过热侧,过热阈值,理论占比依据,实际资金流向,目标侧水位甜头,意图成败,资金流修正方向,资金流修正球队,资金流来源,资金流时间戳,动作,选择方向,投注盘向,投注球队,选中水位,综合胜率,盈亏平衡胜率,通过阈值,同档样本,同档选中胜率,风控状态,仓位系数,下注金额,已结算,结算标签,实际盈亏Unit,实际盈亏金额,赛果,比分来源,即时亚盘,盘口线,上盘方,候选映射方向,反向方向,候选依据
2026-09-03,frozen-from-git-6d6327f-20260903-1836,2026-09-03,2026-9-3 22:00,3030129,土甲,厄德尔 vs 文尼沙BB,非顶级联赛,欧洲非五大,土耳其,非顶级联赛,平手/半球,0.81-0.90,诱上/阻下,未接入/待核,,,,,,,,5pct,未接入/待核,资金流缺口-只有盘口价格流,,,,,未接入/待核,,反向,反向,上盘,厄德尔,0.8400,0.6070,0.5435,0.5635,33,50.8%,状态B-预警/降半仓,0.5000,2.5000,是,红,0.4200,2.1000,4-2,Titan007赔率已匹配,0.84/0.25/1.02,0.25,厄德尔,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.84，下盘水位1.02，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。
2026-09-03,frozen-from-git-6d6327f-20260903-1836,2026-09-03,2026-9-3 22:30,3074148,罗杯,FC贝卡 vs 克拉约瓦大学,杯赛,欧洲非五大,罗马尼亚,杯赛,一球/球半,0.71-0.80,诱上/阻下,未接入/待核,,,,,,,,5pct,未接入/待核,资金流缺口-只有盘口价格流,,,,,未接入/待核,,反向,反向,上盘,克拉约瓦大学,0.7500,0.6070,0.5714,0.5914,3,100.0%,状态B-预警/降半仓,0.5000,2.5000,是,黑半,-0.2500,-1.2500,1-2,Titan007赔率已匹配,1.07/-1.25/0.75,-1.25,克拉约瓦大学,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：客队上盘，让球基本稳定，上盘水位0.75，下盘水位1.07，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。
2026-09-03,frozen-from-git-6d6327f-20260903-1836,2026-09-03,2026-9-3 23:55,3046967,沙特联,费哈 vs 拉斯永恒,顶级联赛,西亚/中亚,沙特,顶级联赛,平手/半球,1.01-1.10,阻上/诱下,未接入/待核,,,,,,,,5pct,未接入/待核,资金流缺口-只有盘口价格流,,,,,未接入/待核,,正向,正向,上盘,拉斯永恒,1.0600,0.5490,0.4854,0.5054,13,50.0%,状态A-正常态,1.0000,5.0000,是,黑半,-0.5000,-2.5000,2-2,Titan007赔率已匹配,0.82/-0.25/1.06,-0.25,拉斯永恒,上盘,下盘,亚盘意图候选：阻上 / 诱下（低证据）。依据：客队上盘，让球加深，上盘水位1.06，下盘水位0.82，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。
2026-09-03,frozen-from-git-6d6327f-20260903-1836,2026-09-03,2026-9-4 00:00,3072750,意杯,巴勒莫 vs 曼托瓦,杯赛,欧洲五大,意大利,杯赛,半球/一球,0.81-0.90,诱上/阻下,未接入/待核,,,,,,,,5pct,未接入/待核,资金流缺口-只有盘口价格流,,,,,未接入/待核,,反向,反向,上盘,巴勒莫,0.8200,0.5960,0.5495,0.5695,25,40.0%,状态A-正常态,1.0000,5.0000,是,红,0.8200,4.1000,5-2,Titan007赔率已匹配,0.82/0.75/1.07,0.75,巴勒莫,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.82，下盘水位1.07，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。
2026-09-03,frozen-from-git-6d6327f-20260903-1836,2026-09-03,2026-9-4 00:30,3046968,沙特联,新未来城体育 vs 塞哈特海湾,顶级联赛,西亚/中亚,沙特,顶级联赛,半球/一球,0.81-0.90,诱上/阻下,未接入/待核,,,,,,,,5pct,未接入/待核,资金流缺口-只有盘口价格流,,,,,未接入/待核,,反向,反向,上盘,新未来城体育,0.8500,0.6120,0.5405,0.5605,25,40.0%,状态A-正常态,1.0000,5.0000,是,红,0.8500,4.2500,3-0,Titan007赔率已匹配,0.85/0.75/1.03,0.75,新未来城体育,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球加深，上盘水位0.85，下盘水位1.03，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。
2026-09-03,frozen-from-git-6d6327f-20260903-1836,2026-09-03,2026-9-4 01:00,2912184,瑞典超,米亚尔比 vs 尤尔加登,顶级联赛,欧洲非五大,瑞典,顶级联赛,半球/一球,0.81-0.90,真实示强/阻上,未接入/待核,,,,,,,,5pct,未接入/待核,资金流缺口-只有盘口价格流,,,,,未接入/待核,,正向,正向,上盘,尤尔加登,0.8700,0.5740,0.5348,0.5548,8,0.0%,状态B-预警/降半仓,0.5000,2.5000,是,红,0.4350,2.1750,0-2,Titan007赔率已匹配,1.02/-0.75/0.87,-0.75,尤尔加登,上盘,下盘,亚盘意图候选：真实示强 / 阻上（低证据）。依据：客队上盘，让球加深，上盘水位0.87，下盘水位1.02，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。
2026-09-03,frozen-from-git-6d6327f-20260903-1836,2026-09-03,2026-9-4 02:00,3046969,沙特联,迪雷禾 vs 卡达西亚,顶级联赛,西亚/中亚,沙特,顶级联赛,一球,0.71-0.80,诱上/阻下,未接入/待核,,,,,,,,5pct,未接入/待核,资金流缺口-只有盘口价格流,,,,,未接入/待核,,反向,反向,上盘,卡达西亚,0.8000,0.6120,0.5556,0.5756,13,72.7%,状态A-正常态,1.0000,5.0000,是,红,0.8000,4.0000,0-2,Titan007赔率已匹配,1.08/-1.0/0.8,-1.00,卡达西亚,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：客队上盘，让球基本稳定，上盘水位0.80，下盘水位1.08，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。
2026-09-03,frozen-from-git-6d6327f-20260903-1836,2026-09-03,2026-9-4 02:00,3071638,乌拉杯,雷提斯塔 vs 佩莱扎,杯赛,拉美,乌拉圭,杯赛,平手,0.71-0.80,诱上/阻下,未接入/待核,,,,,,,,5pct,未接入/待核,资金流缺口-只有盘口价格流,,,,,未接入/待核,,反向,反向,上盘,雷提斯塔,0.7800,0.6010,0.5618,0.5818,45,61.3%,状态A-正常态,1.0000,5.0000,否,进行中/待核当前比分:走水,,,0-0,Titan007赔率已匹配,0.78/0.0/0.98,0.00,雷提斯塔,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.78，下盘水位0.98，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。
2026-09-03,frozen-from-git-6d6327f-20260903-1836,2026-09-03,2026-9-4 02:00,3071657,乌拉杯,阿尔比恩 vs 普罗格雷索俱乐部,杯赛,拉美,乌拉圭,杯赛,平手/半球,0.91-1.00,诱下/上盘降温,未接入/待核,,,,,,,,5pct,未接入/待核,资金流缺口-只有盘口价格流,,,,,未接入/待核,,正向,正向,上盘,阿尔比恩,0.9600,0.5680,0.5102,0.5302,22,55.6%,状态A-正常态,1.0000,5.0000,是,红,0.9600,4.8000,2-1,Titan007赔率已匹配,0.96/0.25/0.8,0.25,阿尔比恩,上盘,下盘,亚盘意图候选：诱下 / 上盘降温（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.96，下盘水位0.80，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。
2026-09-03,frozen-from-git-6d6327f-20260903-1836,2026-09-03,2026-9-4 02:30,3000807,瑞士超,巴塞尔 vs 锡永,顶级联赛,欧洲非五大,瑞士,顶级联赛,平手,0.71-0.80,诱上/阻下,未接入/待核,,,,,,,,5pct,未接入/待核,资金流缺口-只有盘口价格流,,,,,未接入/待核,,反向,反向,上盘,锡永,0.8000,0.6070,0.5556,0.5756,45,61.3%,状态B-预警/降半仓,0.5000,2.5000,是,红,0.4000,2.0000,1-2,Titan007赔率已匹配,1.09/0.0/0.8,0.00,锡永,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：客队上盘，让球基本稳定，上盘水位0.80，下盘水位1.09，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。
