统计日期,数据源,日期,开赛时间,比赛ID,赛事,比赛,比赛分类,微观板块,国家,赛事层级,盘口,水位分层,倾向意图,阻诱目标侧,理论资金主队占比,理论资金客队占比,实际资金主队占比,实际资金客队占比,资金偏离主队,资金偏离客队,资金过热侧,过热阈值,理论占比依据,实际资金流向,目标侧水位甜头,意图成败,资金流修正方向,资金流修正球队,资金流来源,资金流时间戳,动作,选择方向,投注盘向,投注球队,选中水位,综合胜率,盈亏平衡胜率,通过阈值,同档样本,同档选中胜率,风控状态,仓位系数,下注金额,已结算,结算标签,实际盈亏Unit,实际盈亏金额,赛果,比分来源,即时亚盘,盘口线,上盘方,候选映射方向,反向方向,候选依据,原模拟ID,记录口径
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 08:00,2962587,阿甲,纽维尔老男孩 vs 班菲尔德,,南美系列,阿根廷,未知分类,半球,1.01-1.10,阻上/诱下,,,,,,,,,,,,,,,,,,正向,,上盘,纽维尔老男孩,1.08,0.513,,0.5007692307692307,,,,,,是,红,1.08,,2-1,原页面赛果留底,开 0.94/0.25/0.94 → 即 1.08/0.5/0.81,-0.5,,,,,20260823-TITAN-2962587-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 08:40,2908720,美职业,纳什威尔SC vs 哥伦布机员,,北美系列,美国,未知分类,半球/一球,1.01-1.10,诱上/阻下,,,,,,,,,,,,,,,,,,正向,,下盘,哥伦布机员,1.07,0.5710000000000001,,0.5030917874396135,,,,,,是,黑半,-0.5,,3-2,原页面赛果留底,开 0.9/0.5/0.98 → 即 0.81/0.75/1.07,0.75,,,,,20260823-TITAN-2908720-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 09:00,2942578,美冠联,圣安东尼奥 vs 奥克兰根,,北美系列,美国,未知分类,平手/半球,1.01-1.10,真实示弱/阻下,,,,,,,,,,,,,,,,,,正向,,下盘,奥克兰根,1.03,0.5489999999999999,,0.5126108374384236,,,,,,是,红,1.03,,0-1,原页面赛果留底,开 0.82/0.5/1.0 → 即 0.79/0.25/1.03,0.25,,,,,20260823-TITAN-2942578-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 09:40,2908722,美职业,温哥华白浪 vs 达拉斯FC,,北美系列,美国,未知分类,球半,0.91-1.00,真实示强/阻上,,,,,,,,,,,,,,,,,,反向,,下盘,达拉斯FC,0.99,0.5329999999999999,,0.5225125628140703,,,,,,是,黑,-1.0,,5-0,原页面赛果留底,开 1.0/1.25/0.88 → 即 0.89/1.5/0.99,1.5,,,,,20260823-TITAN-2908722-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 10:10,2942575,美冠联,奥兰治县布鲁斯 vs 塔尔萨FC,,北美系列,美国,未知分类,平手,0.91-1.00,真实示弱/阻下,,,,,,,,,,,,,,,,,,正向,,平手/待核,塔尔萨FC,0.99,0.5489999999999999,,0.5225125628140703,,,,,,是,红,0.99,,1-5,原页面赛果留底,开 1.05/0.25/0.77 → 即 0.83/0.0/0.99,0.0,,,,,20260823-TITAN-2942575-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 10:40,2908725,美职业,圣何塞地震 vs 明尼苏达联,,北美系列,美国,未知分类,平手,0.91-1.00,真实示弱/阻下,,,,,,,,,,,,,,,,,,正向,,平手/待核,明尼苏达联,0.95,0.5489999999999999,,0.5328205128205129,,,,,,是,红,0.95,,1-5,原页面赛果留底,开 1.02/0.25/0.86 → 即 0.93/0.0/0.95,0.0,,,,,20260823-TITAN-2908725-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 10:40,2908724,美职业,圣地亚哥 vs 科罗拉多急流,,北美系列,美国,未知分类,平手/半球,0.81-0.90,降温保护/诱下,,,,,,,,,,,,,,,,,,正向,,上盘,圣地亚哥,0.85,0.583,,0.5605405405405405,,,,,,是,红,0.85,,3-0,原页面赛果留底,开 1.0/0.5/0.88 → 即 0.85/0.25/1.03,-0.25,,,,,20260823-TITAN-2908724-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 10:40,2908723,美职业,洛杉矶FC vs 波特兰伐木者,,北美系列,美国,未知分类,半球/一球,1.01-1.10,阻下/下盘保护,,,,,,,,,,,,,,,,,,正向,,下盘,波特兰伐木者,1.02,0.5529999999999999,,0.5150495049504951,,,,,,是,红,1.02,,1-1,原页面赛果留底,开 0.86/0.75/1.02 → 即 0.86/0.75/1.02,0.75,,,,,20260823-TITAN-2908723-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 11:15,2942570,美冠联,科罗拉多跃泉 vs 埃尔帕索机车,,北美系列,美国,未知分类,平手/半球,>1.10,真实示弱/阻下,,,,,,,,,,,,,,,,,,正向,,下盘,埃尔帕索机车,1.11,0.5489999999999999,,0.4939336492890995,,,,,,是,红,1.11,,0-1,原页面赛果留底,开 0.96/0.75/0.86 → 即 0.72/0.25/1.11,0.25,,,,,20260823-TITAN-2942570-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 17:00,3001148,日职丙,SC相模原 vs 金泽,,日韩系列,日本,未知分类,平手,1.01-1.10,诱上/阻下,,,,,,,,,,,,,,,,,,正向,,平手/待核,金泽,1.06,0.562,,0.5054368932038835,,,,,,是,黑,-1.0,,2-1,原页面赛果留底,开 0.8/0.0/0.96 → 即 0.82/0.0/1.06,0.0,,,,,20260823-TITAN-3001148-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 18:00,3001143,日职丙,高知联合 vs 赞岐,,日韩系列,日本,未知分类,平手,>1.10,诱上/阻下,,,,,,,,,,,,,,,,,,正向,,平手/待核,赞岐,1.14,0.562,,0.4872897196261683,,,,,,是,黑,-1.0,,2-1,原页面赛果留底,开 0.76/0.0/1.0 → 即 0.75/0.0/1.14,0.0,,,,,20260823-TITAN-3001143-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 18:30,3000422,日职联,町田泽维亚(中) vs 浦和红钻,,日韩系列,日本,未知分类,半球,0.81-0.90,降温保护/诱下,,,,,,,,,,,,,,,,,,正向,,上盘,町田泽维亚(中),0.88,0.579,,0.5519148936170213,,,,,,是,红,0.88,,3-1,原页面赛果留底,开 1.05/0.75/0.83 → 即 0.88/0.5/1.0,-0.5,,,,,20260823-TITAN-3000422-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 18:30,2925516,韩K2联,全南天龙 vs 华城FC,,日韩系列,韩国,未知分类,半球,0.91-1.00,真实示强/阻上,,,,,,,,,,,,,,,,,,反向,,下盘,全南天龙,0.93,0.542,,0.5381347150259067,,,,,,是,红,0.93,,1-0,原页面赛果留底,开 1.01/-0.25/0.81 → 即 0.93/-0.5/0.93,0.5,,,,,20260823-TITAN-2925516-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-23,2026-8-23 19:00,2951626,中甲,深圳青年人 vs 南京城市,,其他系列,中国,未知分类,半球,1.01-1.10,真实示弱/阻下,,,,,,,,,,,,,,,,,,反向,,上盘,深圳青年人,1.09,0.502,,0.4984688995215312,,,,,,是,红,1.09,,3-1,原页面赛果留底,开 1.0/0.75/0.82 → 即 1.09/0.5/0.73,-0.5,,,,,20260823-TITAN-2951626-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-24,2026-8-25 08:00,2937893,厄瓜甲,利伯塔德洛哈 vs 马卡拉,,南美系列,厄瓜多尔,未知分类,平手/半球,1.01-1.10,阻下/下盘保护,,,,,,,,,,,,,,,,,,正向,,下盘,利伯塔德洛哈,1.03,0.578,,0.5126108374384236,,,,,,是,红,1.03,,1-0,原页面赛果留底,开 0.85/-0.25/0.97 → 即 1.03/-0.25/0.85,0.25,,,,,20260824-TITAN-2937893-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
