统计日期,数据源,地区,国家,赛事层级,水位分层,样本,红,红半,走水,黑半,黑,有效胜率,负率,均注盈亏Unit,平均水位,ROI,备注
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,东亚,日本,非顶级联赛,0.81-0.90,1,0,0,0,0,1,0.0000,1.0000,-1.0000,0.8200,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,拉美,乌拉圭,杯赛,0.71-0.80,2,1,0,0,0,1,0.5000,0.5000,-0.2800,0.7250,-0.1400,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,拉美,乌拉圭,杯赛,0.81-0.90,1,1,0,0,0,0,1.0000,0.0000,0.8100,0.8100,0.8100,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,拉美,乌拉圭,杯赛,0.91-1.00,2,0,1,0,0,1,0.3333,0.6667,-0.5350,0.9250,-0.3408,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,拉美,哥伦比亚,非顶级联赛,0.71-0.80,1,0,1,0,0,0,1.0000,0.0000,0.2000,0.8000,0.4000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,拉美,哥伦比亚,非顶级联赛,0.81-0.90,1,0,0,0,0,1,0.0000,1.0000,-0.5000,0.8200,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,拉美,哥伦比亚,顶级联赛,0.71-0.80,1,0,1,0,0,0,1.0000,0.0000,0.3950,0.7900,0.3950,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,拉美,未识别,杯赛,0.71-0.80,2,1,0,1,0,0,1.0000,0.0000,0.7800,0.7450,0.3900,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,拉美,未识别,杯赛,0.81-0.90,2,2,0,0,0,0,1.0000,0.0000,1.6900,0.8450,0.8425,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,拉美,阿根廷,非顶级联赛,0.71-0.80,1,0,0,0,0,1,0.0000,1.0000,-1.0000,0.7200,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,拉美,阿根廷,非顶级联赛,0.81-0.90,1,1,0,0,0,0,1.0000,0.0000,0.8400,0.8400,0.8400,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲五大,德国,非顶级联赛,0.81-0.90,2,2,0,0,0,0,1.0000,0.0000,1.7400,0.8700,0.8700,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲五大,德国,非顶级联赛,>1.10,1,1,0,0,0,0,1.0000,0.0000,0.5550,1.1100,1.1100,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲五大,德国,顶级联赛,1.01-1.10,1,1,0,0,0,0,1.0000,0.0000,0.5150,1.0300,1.0300,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲五大,意大利,非顶级联赛,0.91-1.00,2,0,0,0,0,2,0.0000,1.0000,-2.0000,0.9450,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
