统计日期,数据源,地区,国家,赛事层级,盘口,水位分层,倾向意图,样本,红,红半,走水,黑半,黑,有效胜率,负率,均注盈亏Unit,平均水位,ROI,备注
2026-09-03,frozen-from-git-6d6327f-20260903-1836,拉美,乌拉圭,杯赛,半球,0.71-0.80,诱上/阻下,0,0,0,0,0,0,,,0.0000,0.7700,,冻结前一版赛前可投明细；未完场/待核 1 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,拉美,乌拉圭,杯赛,平手,0.71-0.80,诱上/阻下,0,0,0,0,0,0,,,0.0000,0.7800,,冻结前一版赛前可投明细；未完场/待核 1 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,拉美,乌拉圭,杯赛,平手/半球,0.91-1.00,诱下/上盘降温,1,1,0,0,0,0,1.0000,0.0000,0.9600,0.9600,0.9600,冻结前一版赛前可投明细；未完场/待核 0 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,拉美,厄瓜多尔,非顶级联赛,平手/半球,0.91-1.00,阻上/诱下,0,0,0,0,0,0,,,0.0000,1.0000,,冻结前一版赛前可投明细；未完场/待核 1 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,拉美,哥伦比亚,非顶级联赛,一球/球半,0.81-0.90,诱上/阻下,1,1,0,0,0,0,1.0000,0.0000,0.8200,0.8200,0.8200,冻结前一版赛前可投明细；未完场/待核 0 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,拉美,巴西,杯赛,平手/半球,1.01-1.10,阻上/诱下,0,0,0,0,0,0,,,0.0000,1.0900,,冻结前一版赛前可投明细；未完场/待核 1 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,欧洲五大,意大利,杯赛,半球/一球,0.81-0.90,诱上/阻下,1,1,0,0,0,0,1.0000,0.0000,0.8200,0.8200,0.8200,冻结前一版赛前可投明细；未完场/待核 0 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,欧洲五大,法国,非顶级联赛,半球,1.01-1.10,阻上/诱下,1,1,0,0,0,0,1.0000,0.0000,1.0200,1.0200,1.0200,冻结前一版赛前可投明细；未完场/待核 0 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,欧洲非五大,土耳其,非顶级联赛,平手/半球,0.81-0.90,诱上/阻下,1,1,0,0,0,0,1.0000,0.0000,0.4200,0.8400,0.4200,冻结前一版赛前可投明细；未完场/待核 0 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,欧洲非五大,比利时,非顶级联赛,一球/球半,0.91-1.00,真实示强/阻上,1,0,0,0,1,0,0.0000,0.5000,-0.2500,0.9900,-0.2500,冻结前一版赛前可投明细；未完场/待核 0 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,欧洲非五大,瑞典,顶级联赛,半球/一球,0.81-0.90,真实示强/阻上,1,1,0,0,0,0,1.0000,0.0000,0.4350,0.8700,0.4350,冻结前一版赛前可投明细；未完场/待核 0 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,欧洲非五大,瑞士,顶级联赛,半球,0.91-1.00,真实示强/阻上,1,1,0,0,0,0,1.0000,0.0000,0.4800,0.9600,0.4800,冻结前一版赛前可投明细；未完场/待核 0 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,欧洲非五大,瑞士,顶级联赛,平手,0.71-0.80,诱上/阻下,1,1,0,0,0,0,1.0000,0.0000,0.4000,0.8000,0.4000,冻结前一版赛前可投明细；未完场/待核 0 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,欧洲非五大,罗马尼亚,杯赛,一球/球半,0.71-0.80,诱上/阻下,1,0,0,0,1,0,0.0000,0.5000,-0.2500,0.7500,-0.2500,冻结前一版赛前可投明细；未完场/待核 0 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,西亚/中亚,沙特,顶级联赛,一球,0.71-0.80,诱上/阻下,1,1,0,0,0,0,1.0000,0.0000,0.8000,0.8000,0.8000,冻结前一版赛前可投明细；未完场/待核 0 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,西亚/中亚,沙特,顶级联赛,半球/一球,0.81-0.90,诱上/阻下,1,1,0,0,0,0,1.0000,0.0000,0.8500,0.8500,0.8500,冻结前一版赛前可投明细；未完场/待核 0 场保留但不计入胜率
2026-09-03,frozen-from-git-6d6327f-20260903-1836,西亚/中亚,沙特,顶级联赛,平手/半球,1.01-1.10,阻上/诱下,1,0,0,0,1,0,0.0000,0.5000,-0.5000,1.0600,-0.5000,冻结前一版赛前可投明细；未完场/待核 0 场保留但不计入胜率
