统计日期,数据源,地区,国家,赛事层级,盘口,水位分层,倾向意图,样本,红,红半,走水,黑半,黑,有效胜率,负率,均注盈亏Unit,平均水位,ROI,备注
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,阿根廷,未知分类,半球,1.01-1.10,阻上/诱下,1,1,0,0,0,0,1.0,0.0,1.08,1.08,1.08,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,半球/一球,1.01-1.10,诱上/阻下,2,1,0,0,1,0,0.6667,0.3333,0.59,1.08,0.295,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,平手/半球,1.01-1.10,真实示弱/阻下,1,1,0,0,0,0,1.0,0.0,1.03,1.03,1.03,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,球半,0.91-1.00,真实示强/阻上,1,0,0,0,0,1,0.0,1.0,-1.0,0.99,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,平手,0.91-1.00,真实示弱/阻下,2,2,0,0,0,0,1.0,0.0,1.94,0.97,0.97,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,平手/半球,0.81-0.90,降温保护/诱下,1,1,0,0,0,0,1.0,0.0,0.85,0.85,0.85,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,半球/一球,1.01-1.10,阻下/下盘保护,1,1,0,0,0,0,1.0,0.0,1.02,1.02,1.02,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,平手/半球,>1.10,真实示弱/阻下,1,1,0,0,0,0,1.0,0.0,1.11,1.11,1.11,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,未知分类,平手,1.01-1.10,诱上/阻下,2,1,0,0,0,1,0.5,0.5,0.07,1.065,0.035,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,未知分类,平手,>1.10,诱上/阻下,2,1,0,0,0,1,0.5,0.5,0.11,1.125,0.055,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,未知分类,半球,0.81-0.90,降温保护/诱下,2,1,0,0,0,1,0.5,0.5,-0.12,0.88,-0.06,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,韩国,未知分类,半球,0.91-1.00,真实示强/阻上,2,2,0,0,0,0,1.0,0.0,1.89,0.945,0.945,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,其他系列,中国,未知分类,半球,1.01-1.10,真实示弱/阻下,1,1,0,0,0,0,1.0,0.0,1.09,1.09,1.09,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,厄瓜多尔,未知分类,平手/半球,1.01-1.10,阻下/下盘保护,3,3,0,0,0,0,1.0,0.0,3.09,1.03,1.03,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
