version,list_date,match_id,competition,kickoff_beijing,home_team,away_team,action,grade,selected_team,market_side,giving_team,receiving_team,direction,handicap,water,probability,ev_mean,decision_at,rule_version,source_snapshot,real_money,status
V4_SHADOW,2026-09-15,3068858,亚冠精英,2026-09-15T18:00:00+08:00,,,SHADOW_CANDIDATE,C,鹿岛鹿角,giving,,,,,0.99,0.6466,0.05257142857142849,2026-09-15T07:24:23.565228+08:00,v4-market-dirichlet-20260913,,false,EVALUATED
V4_SHADOW,2026-09-15,3056284,葡U23,2026-09-15T18:00:00+08:00,,,SHADOW_CANDIDATE,C,波蒂蒙尼斯U23,receiving,,,,,0.99,0.5052,0.0006857142857142895,2026-09-15T07:24:23.565228+08:00,v4-market-dirichlet-20260913,,false,EVALUATED
V4_SHADOW,2026-09-15,3059455,埃及超,2026-09-15T22:00:00+08:00,,,SHADOW_CANDIDATE,C,现代体育,giving,,,,,1.06,0.6276,0.024114285714285755,2026-09-15T07:24:23.565228+08:00,v4-market-dirichlet-20260913,,false,EVALUATED
V4_SHADOW,2026-09-15,3059456,埃及超,2026-09-15T22:00:00+08:00,,,SHADOW_CANDIDATE,C,阿拉伯建筑,receiving,,,,,1.06,0.679,0.027256944444444486,2026-09-15T07:24:23.565228+08:00,v4-market-dirichlet-20260913,,false,EVALUATED
V4_SHADOW,2026-09-15,3068931,亚冠精英,2026-09-16T02:15:00+08:00,,,SHADOW_CANDIDATE,B,利雅得新月,giving,,,,,0.93,0.8686,0.35800000000000004,2026-09-15T07:24:23.565228+08:00,v4-market-dirichlet-20260913,,false,EVALUATED
V4_SHADOW,2026-09-15,3008215,英冠,2026-09-16T02:45:00+08:00,,,SHADOW_CANDIDATE,C,米尔沃尔,receiving,,,,,0.92,0.624,0.03210526315789475,2026-09-15T07:24:23.565228+08:00,v4-market-dirichlet-20260913,,false,EVALUATED
V4_SHADOW,2026-09-15,3028880,英议南,2026-09-16T02:45:00+08:00,,,SHADOW_CANDIDATE,C,索尔兹伯里FC,receiving,,,,,1.0,0.5272,0.005714285714285727,2026-09-15T07:24:23.565228+08:00,v4-market-dirichlet-20260913,,false,EVALUATED
V4_SHADOW,2026-09-15,3072976,英联杯,2026-09-16T03:00:00+08:00,,,SHADOW_CANDIDATE,C,布伦特福德,giving,,,,,1.0,0.6536,0.057142857142857106,2026-09-15T07:24:23.565228+08:00,v4-market-dirichlet-20260913,,false,EVALUATED
V4_SHADOW,2026-09-15,3013696,西甲,2026-09-16T03:30:00+08:00,,,SHADOW_CANDIDATE,B,皇家马德里,giving,,,,,0.99,0.8626,0.244375,2026-09-15T07:24:23.565228+08:00,v4-market-dirichlet-20260913,,false,EVALUATED
V4_SHADOW,2026-09-15,3059137,玻利甲,2026-09-16T05:15:00+08:00,,,SHADOW_CANDIDATE,C,学术DB,receiving,,,,,1.05,0.6644,0.023003472222222265,2026-09-15T07:24:23.565228+08:00,v4-market-dirichlet-20260913,,false,EVALUATED
V4_SHADOW,2026-09-15,3072986,南美杯,2026-09-16T06:00:00+08:00,,,SHADOW_CANDIDATE,C,圣塔菲,receiving,,,,,0.91,0.6254,0.02789473684210525,2026-09-15T07:24:23.565228+08:00,v4-market-dirichlet-20260913,,false,EVALUATED
V4_SHADOW,2026-09-15,2940179,巴西乙,2026-09-16T08:00:00+08:00,,,SHADOW_CANDIDATE,C,累西腓体育,receiving,,,,,1.02,0.5868,0.015771428571428603,2026-09-15T07:24:23.565228+08:00,v4-market-dirichlet-20260913,,false,EVALUATED
