date,match,result,pnl,source
2026-08-02,大田市民 vs 光州FC,赛果未匹配待人工核验,不计,missing
2026-08-11,戈亚斯 vs 隆德里纳,赛果未匹配待人工核验,不计,missing
2026-08-11,班菲尔德 vs 贝尔格拉诺,赛果未匹配待人工核验,不计,missing
2026-08-11,南球杯两场,赛果未匹配待人工核验,不计,missing
2026-08-11,阿瓦伊 vs CRB,赛果未匹配待人工核验,不计,missing
2026-08-11,塔勒瑞斯 vs 拉努斯,赛果未匹配待人工核验,不计,missing
2026-08-11,玻利瓦尔 vs 圣保罗,赛果未匹配待人工核验,不计,missing
2026-08-13,桑托斯 vs 马卡拉,赛果未匹配待人工核验,不计,missing
2026-08-13,瓦斯科达伽马 vs 奥林匹亚,赛果未匹配待人工核验,不计,missing
2026-08-13,西恩夏诺 vs 博塔弗戈,赛果未匹配待人工核验,不计,missing
2026-08-15,洛杉矶FC vs 圣迭戈FC,赛果未匹配待人工核验,不计,missing
2026-08-16,阿森纳 vs 曼城,赛果未匹配待人工核验,不计,missing
2026-08-16,伯恩利 vs 西汉姆,赛果未匹配待人工核验,不计,missing
2026-08-16,桑坦德竞技 vs 比利亚雷亚尔,赛果未匹配待人工核验,不计,missing
2026-08-16,西班牙人 vs 莱万特,赛果未匹配待人工核验,不计,missing
2026-08-16,塞尔塔 vs 奥萨苏纳,赛果未匹配待人工核验,不计,missing
2026-08-16,阿贾克斯 vs 海伦芬,赛果未匹配待人工核验,不计,missing
2026-08-16,拉卢维埃尔 vs 根特,赛果未匹配待人工核验,不计,missing
2026-08-16,国民队 vs 埃斯托里尔,赛果未匹配待人工核验,不计,missing
2026-08-16,布拉加 vs 吉维森特,赛果未匹配待人工核验,不计,missing
2026-08-16,热那亚 vs 阿斯科利,赛果未匹配待人工核验,不计,missing
2026-08-16,拉齐奥 vs 曼托瓦,赛果未匹配待人工核验,不计,missing
2026-08-16,朗斯 vs 巴黎圣日耳曼,赛果未匹配待人工核验,不计,missing
