分组类型,分组,样本,正向红,正向红半,正向走水,正向黑半,正向黑,正向有效胜率,正向均注盈亏Unit,反向红,反向红半,反向走水,反向黑半,反向黑,反向有效胜率,反向均注盈亏Unit,读法
总计,2026-09-05 候选亚盘意图,170,60,16,12,11,71,47.1%,-11.040,71,11,12,16,60,52.9%,-2.765,反向较好但未过阈值
按候选标签,诱上/阻下,58,19,6,6,1,26,45.4%,-4.335,26,1,6,6,19,54.6%,-0.760,反向较好但未过阈值
按候选标签,降温保护/诱下,36,16,3,4,3,10,60.3%,+3.850,10,3,4,3,16,39.7%,-6.260,正向优先
按候选标签,真实示强/阻上,31,10,4,1,3,13,45.3%,-3.205,13,3,1,4,10,54.7%,+1.160,反向优先
按候选标签,阻上/诱下,22,7,2,0,3,10,41.0%,-2.895,10,3,0,2,7,59.0%,+1.530,反向优先
按候选标签,诱下/上盘降温,17,6,1,0,1,9,40.6%,-3.515,9,1,0,1,6,59.4%,+1.005,反向优先
按候选标签,阻下/下盘保护,6,2,0,1,0,3,40.0%,-0.940,3,0,1,0,2,60.0%,+0.560,小样本观察
按盘口档位,平手/半球,48,19,5,0,9,15,52.4%,+1.900,15,9,0,5,19,47.6%,-4.995,正向优先
按盘口档位,半球,34,16,0,0,0,18,47.1%,-2.850,18,0,0,0,16,52.9%,-0.580,反向较好但未过阈值
按盘口档位,平手,24,10,0,10,0,4,71.4%,+5.330,4,0,10,0,10,28.6%,-6.830,正向优先
按盘口档位,半球/一球,21,4,8,0,1,8,48.5%,-1.140,8,1,0,8,4,51.5%,-0.270,反向较好但未过阈值
按盘口档位,一球,15,7,0,2,0,6,53.8%,+0.780,6,0,2,0,7,46.2%,-1.680,正向优先
按盘口档位,一球/球半,12,2,1,0,0,9,21.7%,-6.515,9,0,0,1,2,78.3%,+5.180,反向优先
按盘口档位,两球/两球半,4,0,0,0,1,3,0.0%,-3.500,3,1,0,0,0,100.0%,+2.990,小样本观察
按盘口档位,球半,4,0,0,0,0,4,0.0%,-4.000,4,0,0,0,0,100.0%,+3.280,小样本观察
按盘口档位,两球半,2,0,0,0,0,2,0.0%,-2.000,2,0,0,0,0,100.0%,+1.670,小样本观察
按盘口档位,球半/两球,2,1,1,0,0,0,100.0%,+1.405,0,0,0,1,1,0.0%,-1.500,小样本观察
按盘口档位,3.25球,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.680,小样本观察
按盘口档位,三球,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.790,小样本观察
按盘口档位,两球,1,1,0,0,0,0,100.0%,+1.060,0,0,0,0,1,0.0%,-1.000,小样本观察
按盘口档位,两球半/三球,1,0,1,0,0,0,100.0%,+0.490,0,0,0,1,0,0.0%,-0.500,小样本观察
按比赛分类,成年联赛T1,54,16,5,5,4,24,41.6%,-8.050,24,4,5,5,16,58.4%,+4.300,反向优先
按比赛分类,成年联赛T2,53,21,3,5,4,20,50.6%,+0.030,20,4,5,3,21,49.4%,-3.350,正向优先
按比赛分类,成年联赛T3,43,15,5,2,2,19,46.7%,-3.640,19,2,2,5,15,53.3%,-0.735,反向较好但未过阈值
按比赛分类,未知分类,11,6,2,0,1,2,73.7%,+4.350,2,1,0,2,6,26.3%,-5.030,正向优先
按比赛分类,国内杯赛,9,2,1,0,0,6,29.4%,-3.730,6,0,0,1,2,70.6%,+2.050,反向优先
按赛事,奥地利杯,8,1,1,0,0,6,20.0%,-4.650,6,0,0,1,1,80.0%,+3.050,反向优先
按赛事,意丙,7,4,1,0,0,2,69.2%,+2.145,2,0,0,1,4,30.8%,-2.910,小样本观察
按赛事,西协甲,7,2,1,1,0,3,45.5%,-0.820,3,0,1,1,2,54.5%,-0.160,小样本观察
按赛事,德丙,6,2,1,0,0,3,45.5%,-0.725,3,0,0,1,2,54.5%,+0.020,小样本观察
按赛事,德甲,6,2,0,0,0,4,33.3%,-2.160,4,0,0,0,2,66.7%,+1.610,小样本观察
按赛事,日职丙,5,1,0,0,1,3,22.2%,-2.660,3,1,0,0,1,77.8%,+1.860,小样本观察
按赛事,法丙,5,1,0,0,1,3,22.2%,-2.520,3,1,0,0,1,77.8%,+2.115,小样本观察
按赛事,英冠,5,2,0,0,0,3,40.0%,-0.830,3,0,0,0,2,60.0%,+0.500,小样本观察
按赛事,西乙,5,2,0,1,0,2,50.0%,+0.080,2,0,1,0,2,50.0%,-0.230,小样本观察
按赛事,中甲,4,2,0,0,1,1,57.1%,+0.460,1,1,0,0,2,42.9%,-0.670,小样本观察
按赛事,冰岛甲,4,2,0,0,0,2,50.0%,-0.100,2,0,0,0,2,50.0%,-0.460,小样本观察
按赛事,挪甲,4,0,1,1,1,1,25.0%,-1.015,1,1,1,1,0,75.0%,+0.800,小样本观察
按赛事,比甲,4,1,0,0,0,3,25.0%,-2.090,3,0,0,0,1,75.0%,+1.550,小样本观察
按赛事,英超,4,1,1,1,0,1,60.0%,+0.570,1,0,1,1,1,40.0%,-0.670,小样本观察
按赛事,葡乙,4,1,1,1,0,1,60.0%,+0.465,1,0,1,1,1,40.0%,-0.520,小样本观察
按赛事,葡超,4,1,1,1,1,0,75.0%,+1.080,0,1,1,1,1,25.0%,-1.050,小样本观察
