list_date,version,label,frozen_bettable,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl_1u,roi,settled_roi,denominator
2026-09-20,V3,V3 Production,39,39,0,11,5,1,2,20,0.391304,-8.825,-0.226282,-0.226282,FROZEN_BETTABLE_1U
2026-09-20,V4_SHADOW,V4 Shadow,67,67,0,34,6,3,3,21,0.621849,15.535,0.231866,0.231866,FROZEN_BETTABLE_1U
2026-09-21,V3,V3 Production,3,3,0,1,1,0,0,1,0.6,0.32,0.106667,0.106667,FROZEN_BETTABLE_1U
2026-09-21,V4_SHADOW,V4 Shadow,12,12,0,2,0,1,1,8,0.190476,-6.61,-0.550833,-0.550833,FROZEN_BETTABLE_1U
2026-09-22,V3,V3 Production,4,4,0,2,0,0,1,1,0.571429,0.14,0.035,0.035,FROZEN_BETTABLE_1U
2026-09-22,V4_SHADOW,V4 Shadow,7,7,0,6,0,1,0,0,1.0,5.88,0.84,0.84,FROZEN_BETTABLE_1U
2026-09-23,V3,V3 Production,17,17,0,5,0,1,1,10,0.322581,-6.45,-0.379412,-0.379412,FROZEN_BETTABLE_1U
2026-09-23,V4_SHADOW,V4 Shadow,24,24,0,7,0,4,3,10,0.378378,-4.53,-0.18875,-0.18875,FROZEN_BETTABLE_1U
2026-09-24,V3,V3 Production,7,7,0,1,0,0,1,5,0.153846,-4.75,-0.678571,-0.678571,FROZEN_BETTABLE_1U
2026-09-24,V4_SHADOW,V4 Shadow,13,13,0,7,1,0,1,4,0.625,3.095,0.238077,0.238077,FROZEN_BETTABLE_1U
