version,match_id,list_date,competition,match,selected_team,selected_side,line,water,grade,score,result_state,result,pnl_1u,result_source,settlement_status,decision_id,run_id,model_id,quote_at,last_confirmed_at,kickoff_at,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch
V3,3074090,2026-09-16,希腊杯,阿里斯 vs 马尔科,马尔科,lower,球半/两球,0.97,,1-0,-1,W,0.97,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,0072d31859c599025156,RUN_20260916_235031,V3_LEGACY_PRODUCTION,2026-09-16T20:49:42+08:00,2026-09-16T23:50:31+08:00,2026-09-16T21:45:00+08:00,-2.092,False,False
V3,3009463,2026-09-16,捷丙,索科尔布洛赞尼 vs 帕尔杜比斯B队,帕尔杜比斯B队,upper,平手/半球,0.8,,0-1,-1,W,0.8,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,090d10c6dc031bf15110,RUN_20260916_235031,V3_LEGACY_PRODUCTION,2026-09-16T20:49:42+08:00,2026-09-16T23:50:31+08:00,2026-09-16T23:00:00+08:00,-0.842,False,False
V3,3012305,2026-09-16,俄超,罗迪纳莫斯科 vs 喀山红宝石,喀山红宝石,upper,平手/半球,0.83,,1-1,-1,HL,-0.5,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,03feb38841c04da959cf,RUN_20260916_235031,V3_LEGACY_PRODUCTION,2026-09-16T20:49:42+08:00,2026-09-16T23:50:31+08:00,2026-09-16T23:30:00+08:00,-0.342,False,False
V3,3012306,2026-09-16,俄超,莫斯科斯巴达 vs 沃罗涅日火炬,沃罗涅日火炬,lower,一球/球半,1.07,,1-0,-1,HW,0.535,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,f0a5a5df469efaf3bd14,RUN_20260916_235031,V3_LEGACY_PRODUCTION,2026-09-16T20:49:42+08:00,2026-09-16T23:50:31+08:00,2026-09-16T23:30:00+08:00,-0.342,False,False
V3,3086431,2026-09-16,丹麦杯,AB格莱萨克瑟 vs 桑德捷斯基,桑德捷斯基,upper,半球/一球,0.8,,3-1,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,43575ccdd94a5a46318b,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T00:00:00+08:00,0.158,False,True
V3,3050924,2026-09-16,意丙,AS奥斯提亚马尔 vs 拉维纳,拉维纳,upper,半球/一球,0.83,,0-1,-1,HW,0.415,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,cfb4d865c643c52f09ba,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T00:30:00+08:00,0.658,False,True
V3,3050922,2026-09-16,意丙,拉蒂那 vs 圭多尼亚,拉蒂那,upper,平手/半球,0.84,,1-1,-1,HL,-0.5,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,fce9e32bf542149e23da,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T00:30:00+08:00,0.658,False,True
V3,3050927,2026-09-16,意丙,皮内托 vs 福尔利,皮内托,upper,平手,0.84,,1-1,-1,P,0.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,924b9363de5e8ba7afb3,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T00:30:00+08:00,0.658,False,True
V3,3026052,2026-09-16,德丙,普鲁士明斯特 vs 萨尔布吕肯,萨尔布吕肯,upper,平手,0.81,,3-3,-1,P,0.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,354182aec45ee13e6208,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T01:00:00+08:00,1.158,False,True
V3,3013695,2026-09-16,西甲,拉科鲁尼亚 vs 塞维利亚,拉科鲁尼亚,upper,平手,0.84,,0-1,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,2de04619d69600277696,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T01:00:00+08:00,1.158,False,True
V3,3013693,2026-09-16,西甲,马德里竞技 vs 奥萨苏纳,马德里竞技,upper,球半,1.06,,4-0,-1,W,1.06,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,f3c2fe61a8f15246cea1,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T01:00:00+08:00,1.158,False,True
V3,3089687,2026-09-16,西联杯,科尼尔CF vs 赫尔曼斯,赫尔曼斯,upper,平手/半球,0.83,,1-0,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,67968549ee1b7908eb40,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T02:00:00+08:00,2.158,False,True
V3,3072967,2026-09-16,英联杯,埃弗顿 vs 狼队,埃弗顿,upper,一球/球半,1.01,,1-0,-1,HL,-0.5,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,8e229c3113c7daadac8a,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T02:45:00+08:00,2.908,False,True
V3,3072968,2026-09-16,英联杯,弗利特伍德 vs 谢菲尔德联队,谢菲尔德联队,upper,半球/一球,0.82,,1-0,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,3c44f4dcb9fa39352c0f,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T02:45:00+08:00,2.908,False,True
V3,3050930,2026-09-16,意丙,比沙奴 vs 雷吉亚纳,雷吉亚纳,upper,半球,0.82,,1-4,-1,W,0.82,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,9f820a91551b044f4cac,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T03:00:00+08:00,3.158,False,True
V3,3073784,2026-09-16,欧罗巴杯,奥林匹亚科斯 vs 比亚韦斯托克雅盖隆,奥林匹亚科斯,upper,球半,0.8,,2-1,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,b1b2af95e01fc7b90b3b,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T03:00:00+08:00,3.158,False,True
V3,3073776,2026-09-16,欧罗巴杯,桑德兰 vs 阿尔克马尔,桑德兰,upper,一球/球半,1.09,,1-0,-1,HL,-0.5,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,11641a39512f82fd992b,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T03:00:00+08:00,3.158,False,True
V3,3072964,2026-09-16,英联杯,考文垂 vs 阿斯顿维拉,阿斯顿维拉,upper,半球,1.0,,1-3,-1,W,1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,6e9d9bcc98b30b44f5d6,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T03:00:00+08:00,3.158,False,True
V3,3013697,2026-09-16,西甲,巴塞罗那 vs 桑坦德竞技,巴塞罗那,upper,3.25球,1.0,,7-2,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,MISSING_FROZEN_SIDE_LINE_WATER_OR_TEAM,bfe6dfd692a394dde853,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T03:30:00+08:00,3.658,False,True
V3,3013698,2026-09-16,西甲,莱万特 vs 毕尔巴鄂竞技,莱万特,lower,平手/半球,1.03,,,-14,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,NOT_FINAL_STATE_-14,556c07a7cc4df424a1b7,RUN_20260916_235456,V3_LEGACY_PRODUCTION,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T03:30:00+08:00,3.658,False,True
