version,list_date,match_id,kickoff_at,time_bucket,quote_age_bucket,hours_from_last_refresh_to_kickoff,grade_or_action,settlement_status,sample,effective_win_rate,pnl_1u,roi,monitoring_only
V3,2026-09-16,3086430,2026-09-16T22:30:00+08:00,其他时段,>12h,14.02,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3050921,2026-09-17T00:30:00+08:00,其他时段,>12h,16.02,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3026052,2026-09-17T01:00:00+08:00,其他时段,>12h,16.52,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3013695,2026-09-17T01:00:00+08:00,其他时段,>12h,16.52,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3013693,2026-09-17T01:00:00+08:00,其他时段,>12h,16.52,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3050930,2026-09-17T03:00:00+08:00,其他时段,>12h,18.52,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3073716,2026-09-17T03:00:00+08:00,其他时段,>12h,18.52,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3073764,2026-09-17T03:00:00+08:00,其他时段,>12h,18.52,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3073776,2026-09-17T03:00:00+08:00,其他时段,>12h,18.52,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3013698,2026-09-17T03:30:00+08:00,其他时段,>12h,19.02,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,2942514,2026-09-17T08:30:00+08:00,04:00-10:00,>12h,24.02,可投,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3068863,2026-09-16T18:00:00+08:00,其他时段,>8h-12h,9.52,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3074090,2026-09-16T21:45:00+08:00,其他时段,>12h,13.27,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3068992,2026-09-17T00:00:00+08:00,其他时段,>12h,15.52,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3069029,2026-09-17T00:00:00+08:00,其他时段,>12h,15.52,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,2998461,2026-09-17T00:00:00+08:00,其他时段,>12h,15.52,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3091060,2026-09-17T00:30:00+08:00,其他时段,>12h,16.02,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3075292,2026-09-17T00:45:00+08:00,其他时段,>12h,16.27,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3026048,2026-09-17T01:00:00+08:00,其他时段,>12h,16.52,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3059460,2026-09-17T01:00:00+08:00,其他时段,>12h,16.52,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3013698,2026-09-17T03:30:00+08:00,其他时段,>12h,19.02,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3072984,2026-09-17T06:00:00+08:00,04:00-10:00,>12h,21.52,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,2942617,2026-09-17T06:00:00+08:00,04:00-10:00,>12h,21.52,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3085728,2026-09-17T06:00:00+08:00,04:00-10:00,>12h,21.52,C,PREMATCH_ONLY,1,,,,True
