match_id,list_date,decision_at,rule_version,action,selected_team,selected_side,direction,line,water,probability,threshold,risk,reason,top5_status,frozen
2908784,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,可投,圣何塞地震（上盘）,upper,正向,平手/半球,1.09,0.523,0.4984688995215312,状态A-正常态,通过：综合胜率52.3% >= 阈值49.8%；风控状态A-正常态,STANDARD,true
2908783,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,,正向,平手/半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,true
3087969,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,,正向,平手/半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,true
2925339,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,upper,正向,半球,0.98,0.545,0.5250505050505051,状态A-正常态,标签历史与微观组合无正期望方向,STANDARD,true
2925338,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,城南FC（反向=上盘）,upper,反向,平手,0.78,0.579,0.5817977528089888,状态A-正常态,综合胜率57.9%低于水位阈值58.2%,STANDARD,true
2929727,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,upper,正向,平手,0,0,0,,标签历史或微观组合样本缺失,STANDARD,true
2940435,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,upper,正向,平手/半球,0.94,0.545,0.5354639175257733,状态A-正常态,标签历史与微观组合无正期望方向,STANDARD,true
2940438,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,upper,正向,平手/半球,1.01,0.545,0.5175124378109454,状态A-正常态,标签历史与微观组合无正期望方向,STANDARD,true
2940436,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,upper,正向,半球/一球,0.95,0.545,0.5328205128205129,状态A-正常态,标签历史与微观组合无正期望方向,STANDARD,true
2940437,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,抱川FC（反向=上盘）,upper,反向,半球/一球,0.74,0.579,0.5947126436781609,状态A-正常态,综合胜率57.9%低于水位阈值59.5%,STANDARD,true
3043203,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,乌尼邱夫（反向=下盘）,lower,反向,平手/半球,0.73,0.555,0.5980346820809249,状态A-正常态,综合胜率55.5%低于水位阈值59.8%,STANDARD,true
3009489,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,波利斯拉夫B队（反向=下盘）,lower,反向,平手/半球,0.79,0.555,0.578659217877095,状态A-正常态,综合胜率55.5%低于水位阈值57.9%,STANDARD,true
3043201,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,可投,荷路比纳（反向=上盘）,upper,反向,半球,0.8,0.5760000000000001,0.5755555555555556,状态A-正常态,通过：综合胜率57.6% >= 阈值57.6%；风控状态A-正常态,STANDARD,true
3009372,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,可投,布拉格斯巴达B队（反向=上盘）,upper,反向,球半,0.83,0.5760000000000001,0.566448087431694,状态A-正常态,通过：综合胜率57.6% >= 阈值56.6%；风控状态A-正常态,STANDARD,true
3043202,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,斯洛瓦科B队（反向=上盘）,upper,反向,半球/一球,0.77,0.5760000000000001,0.5849717514124294,状态A-正常态,综合胜率57.6%低于水位阈值58.5%,STANDARD,true
3009369,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,艾德米拉布拉格（反向=下盘）,lower,反向,平手/半球,0.83,0.555,0.566448087431694,状态A-正常态,综合胜率55.5%低于水位阈值56.6%,STANDARD,true
3040123,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,可投,济斯科夫（反向=下盘）,lower,反向,平手/半球,0.89,0.555,0.5491005291005291,状态A-正常态,通过：综合胜率55.5% >= 阈值54.9%；风控状态A-正常态,STANDARD,true
3086962,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,AC长野女足（反向=下盘）,lower,反向,半球,0.81,0.551,0.5724861878453039,状态A-正常态,综合胜率55.1%低于水位阈值57.2%,STANDARD,true
3086961,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,可投,大阪樱花女足（反向=上盘）,upper,反向,平手/半球,0.75,0.5920000000000001,0.5914285714285714,状态A-正常态,通过：综合胜率59.2% >= 阈值59.1%；风控状态A-正常态,STANDARD,true
3001179,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,可投,FC琉球（反向=上盘）,upper,反向,平手/半球,0.81,0.579,0.5724861878453039,状态A-正常态,通过：综合胜率57.9% >= 阈值57.2%；风控状态A-正常态,STANDARD,true
3001180,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,upper,正向,平手/半球,0.98,0.545,0.5250505050505051,状态A-正常态,标签历史与微观组合无正期望方向,STANDARD,true
3000072,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,可投,仙台维加泰（反向=上盘）,upper,反向,半球,0.8,0.579,0.5755555555555556,状态A-正常态,通过：综合胜率57.9% >= 阈值57.6%；风控状态A-正常态,STANDARD,true
3000063,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,upper,正向,平手/半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,true
3000460,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,,正向,平手/半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,true
3001177,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,,正向,半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,true
3000459,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,upper,正向,平手/半球,1.03,0.522,0.5126108374384236,状态A-正常态,标签历史与微观组合无正期望方向,STANDARD,true
3001174,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,可投,枥木SC（反向=上盘）,upper,反向,平手/半球,0.84,0.579,0.5634782608695653,状态A-正常态,通过：综合胜率57.9% >= 阈值56.3%；风控状态A-正常态,STANDARD,true
3001173,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,upper,正向,平手/半球,0.98,0.545,0.5250505050505051,状态A-正常态,标签历史与微观组合无正期望方向,STANDARD,true
3087483,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,,正向,半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,true
3023783,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,AVS俱乐部（反向=下盘）,lower,反向,平手/半球,0.76,0.555,0.5881818181818183,状态A-正常态,综合胜率55.5%低于水位阈值58.8%,STANDARD,true
3014504,2026-09-13,2026-09-13T12:58:30,v3-legacy-frontend-parity,不投,无，不投,,正向,平手,0,0,0,,标签历史或微观组合样本缺失,STANDARD,true
