date,match_id,competition,home,away,team,side,side_provenance,intent,grade,line,bucket,water,ev,p_ev,model,decision_at,quote_at,kickoff,source_snapshot,run_id,source_file,result,pnl,score,result_source,intent_source,reason_codes,latest_flag,probs,prior_id,analysis_status,pred_effective,prob_bin,ev_bin,minutes_quote_to_kickoff,minutes_decision_to_kickoff,timing_bin,time_bucket,region,country,classification_confidence,youth,women,cup,matched_input_file,input_capture,input_age_seconds,saved_result,result_provenance
2026-09-13,2908784,美职业,圣何塞地震,休斯敦迪纳摩,,unknown,stored,MISSING,,,MISSING,,,,V4_GIVING_LEGACY,2026-09-13T13:36:05.043202+08:00,,2026-09-13T10:30:00+08:00,snapshot,,baseline\v4\outputs\v4_decisions_2026-09-13.json,,,,,MISSING,"[""MATCH_NOT_PREMATCH""]",False,{},prior-2026-09-13-v1,NOT_PREMATCH,,MISSING,MISSING,,-186.08405336666667,MISSING,10-16,北美,美国,中,False,False,False,baseline\raw\shared\2026-09-13\20260913T053605Z\snapshot.json,2026-09-13T13:36:05+08:00,0.043202,,
2026-09-13,2908783,美职业,洛杉矶银河,西雅图海湾人,,unknown,stored,MISSING,,,MISSING,,,,V4_GIVING_LEGACY,2026-09-13T13:36:05.043202+08:00,,2026-09-13T10:30:00+08:00,snapshot,,baseline\v4\outputs\v4_decisions_2026-09-13.json,,,,,MISSING,"[""MATCH_NOT_PREMATCH""]",False,{},prior-2026-09-13-v1,NOT_PREMATCH,,MISSING,MISSING,,-186.08405336666667,MISSING,10-16,北美,美国,中,False,False,False,baseline\raw\shared\2026-09-13\20260913T053605Z\snapshot.json,2026-09-13T13:36:05+08:00,0.043202,,
2026-09-13,3087969,澳威超,莱卡特老虎,悉尼联盟,,unknown,stored,MISSING,,,MISSING,,,,V4_GIVING_LEGACY,2026-09-13T13:36:05.043202+08:00,,2026-09-13T13:00:00+08:00,snapshot,,baseline\v4\outputs\v4_decisions_2026-09-13.json,,,,,MISSING,"[""MATCH_NOT_PREMATCH""]",False,{},prior-2026-09-13-v1,NOT_PREMATCH,,MISSING,MISSING,,-36.084053366666666,MISSING,10-16,其他,未识别,中,False,False,False,baseline\raw\shared\2026-09-13\20260913T053605Z\snapshot.json,2026-09-13T13:36:05+08:00,0.043202,,
2026-09-13,2925339,韩K2联,全南天龙,金浦市民,金浦市民,giving,legacy_negative_selection_inferred,MISSING,N,-0.5,0.50,0.98,-0.01565714285714287,0.418,V4_GIVING_LEGACY,2026-09-13T13:36:05.043202+08:00,,2026-09-13T15:30:00+08:00,snapshot,,baseline\v4\outputs\v4_decisions_2026-09-13.json,L,-1,2-2,baseline\outputs\football_odds_trader\raw\titan007\20260914\20260914_082819_titan007_odds_snapshot.csv,MISSING,"[""BUCKET_0.50""]",False,"{""W"": 0.49714285714285716, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.5028571428571429}",prior-2026-09-13-v1,EVALUATED,0.49714285714285716,<50%,<0,,113.91594663333333,MISSING,10-16,东亚,韩国,中,False,False,False,baseline\raw\shared\2026-09-13\20260913T053605Z\snapshot.json,2026-09-13T13:36:05+08:00,0.043202,,diagnostic_only_final_score_recovery
2026-09-13,2925338,韩K2联,庆南FC,城南FC,,unknown,stored,MISSING,,,MISSING,,,,V4_GIVING_LEGACY,2026-09-13T13:36:05.043202+08:00,,2026-09-13T15:30:00+08:00,snapshot,,baseline\v4\outputs\v4_decisions_2026-09-13.json,,,,,MISSING,"[""PK_NEUTRAL_NO_GIVING_SIDE""]",False,{},prior-2026-09-13-v1,NEUTRAL,,MISSING,MISSING,,113.91594663333333,MISSING,10-16,东亚,韩国,中,False,False,False,baseline\raw\shared\2026-09-13\20260913T053605Z\snapshot.json,2026-09-13T13:36:05+08:00,0.043202,,
2026-09-13,2929727,韩K联,金泉尚武,江原FC,,unknown,stored,MISSING,,,MISSING,,,,V4_GIVING_LEGACY,2026-09-13T13:36:05.043202+08:00,,2026-09-13T15:30:00+08:00,snapshot,,baseline\v4\outputs\v4_decisions_2026-09-13.json,,,,,MISSING,"[""PK_NEUTRAL_NO_GIVING_SIDE""]",False,{},prior-2026-09-13-v1,NEUTRAL,,MISSING,MISSING,,113.91594663333333,MISSING,10-16,东亚,韩国,低,False,False,False,baseline\raw\shared\2026-09-13\20260913T053605Z\snapshot.json,2026-09-13T13:36:05+08:00,0.043202,,
2026-09-13,2940435,韩K3联,全北现代B队,木浦市,木浦市,giving,legacy_negative_selection_inferred,MISSING,N,-0.25,0.25,0.94,-0.02715277777777783,0.282,V4_GIVING_LEGACY,2026-09-13T13:36:05.043202+08:00,,2026-09-13T16:00:00+08:00,snapshot,,baseline\v4\outputs\v4_decisions_2026-09-13.json,W,0.94,1-3,baseline\outputs\football_odds_trader\raw\titan007\20260914\20260914_082819_titan007_odds_snapshot.csv,MISSING,"[""BUCKET_0.25""]",False,"{""W"": 0.4236111111111111, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.3020833333333333, ""L"": 0.2743055555555556}",prior-2026-09-13-v1,EVALUATED,0.49897750511247446,<50%,<0,,143.91594663333333,MISSING,16-20,东亚,韩国,低,False,False,False,baseline\raw\shared\2026-09-13\20260913T053605Z\snapshot.json,2026-09-13T13:36:05+08:00,0.043202,,diagnostic_only_final_score_recovery
2026-09-13,2940438,韩K3联,唐津市民,釜山运输,唐津市民,giving,legacy_negative_selection_inferred,MISSING,C,-0.25,0.25,1.01,0.0024999999999999467,0.5122,V4_GIVING_LEGACY,2026-09-13T13:36:05.043202+08:00,,2026-09-13T16:00:00+08:00,snapshot,,baseline\v4\outputs\v4_decisions_2026-09-13.json,W,1.01,5-3,baseline\outputs\football_odds_trader\raw\titan007\20260914\20260914_082819_titan007_odds_snapshot.csv,MISSING,"[""BUCKET_0.25""]",False,"{""W"": 0.4236111111111111, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.3020833333333333, ""L"": 0.2743055555555556}",prior-2026-09-13-v1,EVALUATED,0.49897750511247446,<50%,0-1%,,143.91594663333333,MISSING,16-20,东亚,韩国,低,False,False,False,baseline\raw\shared\2026-09-13\20260913T053605Z\snapshot.json,2026-09-13T13:36:05+08:00,0.043202,,diagnostic_only_final_score_recovery
2026-09-13,2940436,韩K3联,始兴市民,昌原,始兴市民,giving,legacy_negative_selection_inferred,MISSING,N,-0.75,0.75,0.95,-0.03395833333333331,0.335,V4_GIVING_LEGACY,2026-09-13T13:36:05.043202+08:00,,2026-09-13T16:00:00+08:00,snapshot,,baseline\v4\outputs\v4_decisions_2026-09-13.json,W,0.95,3-1,baseline\outputs\football_odds_trader\raw\titan007\20260914\20260914_082819_titan007_odds_snapshot.csv,MISSING,"[""BUCKET_0.75""]",False,"{""W"": 0.3, ""HW"": 0.25833333333333336, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.44166666666666665}",prior-2026-09-13-v1,EVALUATED,0.49282296650717705,<50%,<0,,143.91594663333333,MISSING,16-20,东亚,韩国,低,False,False,False,baseline\raw\shared\2026-09-13\20260913T053605Z\snapshot.json,2026-09-13T13:36:05+08:00,0.043202,,diagnostic_only_final_score_recovery
2026-09-13,2940437,韩K3联,杨平,抱川FC,抱川FC,giving,legacy_negative_selection_inferred,MISSING,N,-0.75,0.75,0.74,-0.12408333333333332,0.0402,V4_GIVING_LEGACY,2026-09-13T13:36:05.043202+08:00,,2026-09-13T16:00:00+08:00,snapshot,,baseline\v4\outputs\v4_decisions_2026-09-13.json,W,0.74,0-2,baseline\outputs\football_odds_trader\raw\titan007\20260914\20260914_082819_titan007_odds_snapshot.csv,MISSING,"[""BUCKET_0.75""]",False,"{""W"": 0.3, ""HW"": 0.25833333333333336, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.44166666666666665}",prior-2026-09-13-v1,EVALUATED,0.49282296650717705,<50%,<0,,143.91594663333333,MISSING,16-20,东亚,韩国,低,False,False,False,baseline\raw\shared\2026-09-13\20260913T053605Z\snapshot.json,2026-09-13T13:36:05+08:00,0.043202,,diagnostic_only_final_score_recovery
