date,EV_gt,P_EV_ge,diagnostic_only,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
ALL_FIXED,0,0,True,141,136,5,48,10,7,10,61,0.44537815126050423,-13.049999999999999,-0.0925531914893617,-0.09595588235294117,1.0039716312056737,52,89,False
ALL_FIXED,0,0.6,True,79,76,3,28,2,7,4,35,0.4393939393939394,-7.779999999999999,-0.09848101265822784,-0.10236842105263157,1.0111392405063289,30,49,False
ALL_FIXED,0,0.7,True,37,36,1,10,1,4,1,20,0.3387096774193548,-10.17,-0.2748648648648649,-0.2825,1.011081081081081,15,22,False
ALL_FIXED,0,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
ALL_FIXED,0,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
ALL_FIXED,0.01,0,True,108,104,4,38,5,7,8,46,0.44751381215469616,-9.229999999999999,-0.08546296296296295,-0.08874999999999998,1.0097222222222222,38,70,False
ALL_FIXED,0.01,0.6,True,79,76,3,28,2,7,4,35,0.4393939393939394,-7.779999999999999,-0.09848101265822784,-0.10236842105263157,1.0111392405063289,30,49,False
ALL_FIXED,0.01,0.7,True,37,36,1,10,1,4,1,20,0.3387096774193548,-10.17,-0.2748648648648649,-0.2825,1.011081081081081,15,22,False
ALL_FIXED,0.01,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
ALL_FIXED,0.01,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
ALL_FIXED,0.02,0,True,82,80,2,30,3,7,4,36,0.45323741007194246,-6.384999999999999,-0.07786585365853657,-0.07981249999999998,1.0103658536585367,30,52,False
ALL_FIXED,0.02,0.6,True,74,72,2,25,2,7,4,34,0.41935483870967744,-9.93,-0.13418918918918918,-0.13791666666666666,1.008918918918919,27,47,False
ALL_FIXED,0.02,0.7,True,37,36,1,10,1,4,1,20,0.3387096774193548,-10.17,-0.2748648648648649,-0.2825,1.011081081081081,15,22,False
ALL_FIXED,0.02,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
ALL_FIXED,0.02,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
ALL_FIXED,0.03,0,True,60,59,1,19,2,6,4,28,0.4,-9.995,-0.16658333333333333,-0.16940677966101694,1.0048333333333332,26,34,False
ALL_FIXED,0.03,0.6,True,57,56,1,17,1,6,4,28,0.3684210526315789,-12.459999999999999,-0.21859649122807015,-0.22249999999999998,1.0047368421052632,24,33,False
ALL_FIXED,0.03,0.7,True,35,34,1,9,0,4,1,20,0.3050847457627119,-11.69,-0.33399999999999996,-0.3438235294117647,1.0102857142857142,15,20,False
ALL_FIXED,0.03,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
ALL_FIXED,0.03,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
ALL_FIXED,0.05,0,True,33,33,0,11,0,4,1,17,0.38596491228070173,-6.91,-0.2093939393939394,-0.2093939393939394,0.9733333333333333,18,15,False
ALL_FIXED,0.05,0.6,True,33,33,0,11,0,4,1,17,0.38596491228070173,-6.91,-0.2093939393939394,-0.2093939393939394,0.9733333333333333,18,15,False
