model,scope,ev_bin,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
V4_DIRECTION_FIXED_R1,ABC,<0,0,0,0,0,0,0,0,0,,,,,,0,0,True
V4_DIRECTION_FIXED_R1,ABC,0-1%,33,32,1,10,5,0,2,15,0.43859649122807015,-3.82,-0.11575757575757575,-0.119375,0.9851515151515151,14,19,False
V4_DIRECTION_FIXED_R1,ABC,1-2%,26,24,2,8,2,0,4,10,0.42857142857142855,-2.8449999999999998,-0.10942307692307691,-0.11854166666666666,1.0076923076923079,8,18,True
V4_DIRECTION_FIXED_R1,ABC,2-3%,22,21,1,11,1,1,0,8,0.5897435897435898,3.6100000000000003,0.1640909090909091,0.17190476190476192,1.0254545454545454,4,18,True
V4_DIRECTION_FIXED_R1,ABC,3-5%,27,26,1,8,2,2,3,11,0.4186046511627907,-3.0849999999999995,-0.11425925925925924,-0.11865384615384614,1.0433333333333332,8,19,True
V4_DIRECTION_FIXED_R1,ABC,5-8%,13,13,0,4,0,1,2,6,0.36363636363636365,-2.9699999999999998,-0.22846153846153844,-0.22846153846153844,1.0153846153846153,5,8,True
V4_DIRECTION_FIXED_R1,ABC,8%+,34,34,0,14,1,3,1,15,0.48333333333333334,-1.4949999999999997,-0.04397058823529411,-0.04397058823529411,0.9952941176470587,20,14,False
V4_DIRECTION_FIXED_R1,COMPUTED_ABCN,<0,438,416,22,167,34,15,32,168,0.5,-28.68,-0.06547945205479452,-0.06894230769230769,0.8561643835616438,157,281,False
V4_DIRECTION_FIXED_R1,COMPUTED_ABCN,0-1%,33,32,1,10,5,0,2,15,0.43859649122807015,-3.82,-0.11575757575757575,-0.119375,0.9851515151515151,14,19,False
V4_DIRECTION_FIXED_R1,COMPUTED_ABCN,1-2%,26,24,2,8,2,0,4,10,0.42857142857142855,-2.8449999999999998,-0.10942307692307691,-0.11854166666666666,1.0076923076923079,8,18,True
V4_DIRECTION_FIXED_R1,COMPUTED_ABCN,2-3%,22,21,1,11,1,1,0,8,0.5897435897435898,3.6100000000000003,0.1640909090909091,0.17190476190476192,1.0254545454545454,4,18,True
V4_DIRECTION_FIXED_R1,COMPUTED_ABCN,3-5%,27,26,1,8,2,2,3,11,0.4186046511627907,-3.0849999999999995,-0.11425925925925924,-0.11865384615384614,1.0433333333333332,8,19,True
V4_DIRECTION_FIXED_R1,COMPUTED_ABCN,5-8%,13,13,0,4,0,1,2,6,0.36363636363636365,-2.9699999999999998,-0.22846153846153844,-0.22846153846153844,1.0153846153846153,5,8,True
V4_DIRECTION_FIXED_R1,COMPUTED_ABCN,8%+,34,34,0,14,1,3,1,15,0.48333333333333334,-1.4949999999999997,-0.04397058823529411,-0.04397058823529411,0.9952941176470587,20,14,False
V4_GIVING_LEGACY,ABC,<0,0,0,0,0,0,0,0,0,,,,,,0,0,True
V4_GIVING_LEGACY,ABC,0-1%,6,5,1,4,0,0,0,1,0.8,3.05,0.5083333333333333,0.61,1.0133333333333334,6,0,True
V4_GIVING_LEGACY,ABC,1-2%,7,7,0,1,0,0,2,4,0.16666666666666666,-3.96,-0.5657142857142857,-0.5657142857142857,1.0142857142857145,7,0,True
V4_GIVING_LEGACY,ABC,2-3%,3,2,1,1,0,0,0,1,0.5,0.06000000000000005,0.020000000000000018,0.030000000000000027,1.06,3,0,True
V4_GIVING_LEGACY,ABC,3-5%,6,5,1,1,1,0,1,2,0.375,-0.9249999999999999,-0.15416666666666665,-0.185,0.9933333333333335,6,0,True
V4_GIVING_LEGACY,ABC,5-8%,2,2,0,2,0,0,0,0,1.0,1.79,0.895,0.895,0.895,2,0,True
V4_GIVING_LEGACY,ABC,8%+,9,9,0,4,0,1,1,3,0.5333333333333333,0.2799999999999999,0.031111111111111103,0.031111111111111103,0.9611111111111111,9,0,True
V4_GIVING_LEGACY,COMPUTED_ABCN,<0,127,125,2,54,2,1,15,53,0.47619047619047616,-12.610000000000003,-0.09929133858267719,-0.10088000000000003,0.8846456692913386,127,0,False
V4_GIVING_LEGACY,COMPUTED_ABCN,0-1%,6,5,1,4,0,0,0,1,0.8,3.05,0.5083333333333333,0.61,1.0133333333333334,6,0,True
V4_GIVING_LEGACY,COMPUTED_ABCN,1-2%,7,7,0,1,0,0,2,4,0.16666666666666666,-3.96,-0.5657142857142857,-0.5657142857142857,1.0142857142857145,7,0,True
V4_GIVING_LEGACY,COMPUTED_ABCN,2-3%,3,2,1,1,0,0,0,1,0.5,0.06000000000000005,0.020000000000000018,0.030000000000000027,1.06,3,0,True
V4_GIVING_LEGACY,COMPUTED_ABCN,3-5%,6,5,1,1,1,0,1,2,0.375,-0.9249999999999999,-0.15416666666666665,-0.185,0.9933333333333335,6,0,True
V4_GIVING_LEGACY,COMPUTED_ABCN,5-8%,2,2,0,2,0,0,0,0,1.0,1.79,0.895,0.895,0.895,2,0,True
V4_GIVING_LEGACY,COMPUTED_ABCN,8%+,9,9,0,4,0,1,1,3,0.5333333333333333,0.2799999999999999,0.031111111111111103,0.031111111111111103,0.9611111111111111,9,0,True
