date,ev_bin,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-13,0-1%,6,5,1,4,0,0,0,1,0.8,3.05,0.5083333333333333,0.61,1.0133333333333334,6,0,True
2026-09-13,1-2%,7,7,0,1,0,0,2,4,0.16666666666666666,-3.96,-0.5657142857142857,-0.5657142857142857,1.0142857142857145,7,0,True
2026-09-13,2-3%,3,2,1,1,0,0,0,1,0.5,0.06000000000000005,0.020000000000000018,0.030000000000000027,1.06,3,0,True
2026-09-13,3-5%,6,5,1,1,1,0,1,2,0.375,-0.9249999999999999,-0.15416666666666665,-0.185,0.9933333333333335,6,0,True
2026-09-13,5-8%,2,2,0,2,0,0,0,0,1.0,1.79,0.895,0.895,0.895,2,0,True
2026-09-13,8%+,9,9,0,4,0,1,1,3,0.5333333333333333,0.2799999999999999,0.031111111111111103,0.031111111111111103,0.9611111111111111,9,0,True
2026-09-14,0-1%,7,7,0,4,2,0,0,1,0.8333333333333334,4.075,0.5821428571428572,0.5821428571428572,0.9685714285714286,5,2,True
2026-09-14,1-2%,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.02,0,1,True
2026-09-14,3-5%,4,3,1,1,0,0,0,2,0.3333333333333333,-0.9099999999999999,-0.22749999999999998,-0.3033333333333333,1.0675000000000001,1,3,True
2026-09-14,5-8%,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.14,0,1,True
2026-09-14,8%+,6,6,0,3,0,2,0,1,0.75,1.6800000000000002,0.28,0.28,0.9383333333333334,4,2,True
2026-09-15,0-1%,5,5,0,1,0,0,1,3,0.2222222222222222,-2.5,-0.5,-0.5,0.9960000000000001,2,3,True
2026-09-15,1-2%,8,7,1,3,0,0,0,4,0.42857142857142855,-1.04,-0.13,-0.14857142857142858,1.0025,2,6,True
2026-09-15,2-3%,7,7,0,5,0,1,0,1,0.8333333333333334,4.140000000000001,0.5914285714285715,0.5914285714285715,1.0171428571428573,0,7,True
2026-09-15,3-5%,4,4,0,3,0,0,0,1,0.75,1.98,0.495,0.495,0.985,1,3,True
2026-09-15,5-8%,3,3,0,2,0,0,1,0,0.8,1.28,0.4266666666666667,0.4266666666666667,0.9733333333333333,3,0,True
2026-09-15,8%+,5,5,0,1,0,0,0,4,0.2,-2.95,-0.5900000000000001,-0.5900000000000001,0.9979999999999999,3,2,True
2026-09-16,0-1%,9,8,1,2,1,0,0,5,0.3333333333333333,-2.615,-0.29055555555555557,-0.326875,0.991111111111111,3,6,True
2026-09-16,1-2%,7,6,1,2,0,0,2,2,0.4,-0.9299999999999999,-0.13285714285714284,-0.155,1.0057142857142858,2,5,True
2026-09-16,2-3%,3,3,0,2,1,0,0,0,1.0,2.55,0.85,0.85,1.0266666666666666,1,2,True
2026-09-16,3-5%,5,5,0,1,0,1,2,1,0.3333333333333333,-0.94,-0.188,-0.188,1.05,3,2,True
2026-09-16,5-8%,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,0.8500000000000001,2,0,True
2026-09-16,8%+,5,5,0,3,0,0,0,2,0.6,0.66,0.132,0.132,0.8939999999999999,4,1,True
2026-09-17,0-1%,2,2,0,0,1,0,0,1,0.3333333333333333,-0.5,-0.25,-0.25,1.005,0,2,True
2026-09-17,2-3%,5,5,0,2,0,0,0,3,0.4,-0.8899999999999999,-0.178,-0.178,1.046,0,5,True
2026-09-17,3-5%,2,2,0,1,0,0,0,1,0.5,0.06000000000000005,0.030000000000000027,0.030000000000000027,1.065,0,2,True
2026-09-17,5-8%,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.98,0,1,True
2026-09-17,8%+,9,9,0,5,0,0,0,4,0.5555555555555556,0.9500000000000001,0.10555555555555557,0.10555555555555557,0.9700000000000001,7,2,True
2026-09-18,0-1%,10,10,0,3,1,0,1,5,0.3888888888888889,-2.2800000000000002,-0.22800000000000004,-0.22800000000000004,0.982,4,6,True
2026-09-18,1-2%,10,10,0,3,2,0,2,3,0.5,0.1250000000000001,0.012500000000000011,0.012500000000000011,1.012,4,6,True
2026-09-18,2-3%,7,6,1,2,0,0,0,4,0.3333333333333333,-2.19,-0.31285714285714283,-0.365,1.018571428571429,3,4,True
2026-09-18,3-5%,12,12,0,2,2,1,1,6,0.3157894736842105,-3.275,-0.27291666666666664,-0.27291666666666664,1.0483333333333333,3,9,True
2026-09-18,5-8%,6,6,0,2,0,1,1,2,0.4444444444444444,-0.25,-0.041666666666666664,-0.041666666666666664,1.0766666666666669,0,6,True
2026-09-18,8%+,9,9,0,2,1,1,1,4,0.35714285714285715,-1.835,-0.2038888888888889,-0.2038888888888889,1.1133333333333335,2,7,True
