date,grade,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-13,B,3,3,0,1,0,1,0,1,0.5,0.030000000000000027,0.010000000000000009,0.010000000000000009,1.0266666666666666,3,0,True
2026-09-13,C,30,27,3,12,1,0,4,10,0.5102040816326531,0.2650000000000001,0.008833333333333337,0.00981481481481482,0.9893333333333333,30,0,True
2026-09-13,N,127,125,2,54,2,1,15,53,0.47619047619047616,-12.610000000000003,-0.09929133858267719,-0.10088000000000003,0.8846456692913386,127,0,False
2026-09-14,B,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.14,0,1,True
2026-09-14,C,18,17,1,8,2,2,0,5,0.6428571428571429,3.845,0.2136111111111111,0.2261764705882353,0.9833333333333335,10,8,True
2026-09-14,N,53,47,6,18,6,3,2,18,0.525,-0.9000000000000001,-0.0169811320754717,-0.01914893617021277,0.8656603773584907,22,31,False
2026-09-15,A,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.97,0,1,True
2026-09-15,B,3,3,0,1,0,0,1,1,0.4,-0.44999999999999996,-0.15,-0.15,1.1166666666666665,2,1,True
2026-09-15,C,28,27,1,14,0,1,1,11,0.5490196078431373,2.3600000000000003,0.0842857142857143,0.08740740740740742,0.9874999999999999,9,19,True
2026-09-15,N,84,81,3,41,2,3,6,29,0.5675675675675675,4.285,0.051011904761904765,0.05290123456790124,0.8716666666666668,31,53,False
2026-09-16,A,1,1,0,1,0,0,0,0,1.0,0.76,0.76,0.76,0.76,0,1,True
2026-09-16,B,1,1,0,1,0,0,0,0,1.0,1.06,1.06,1.06,1.06,1,0,True
2026-09-16,C,29,27,2,8,2,1,4,12,0.391304347826087,-5.095,-0.17568965517241378,-0.1887037037037037,0.9875862068965517,14,15,True
2026-09-16,N,130,121,9,40,9,2,11,59,0.40825688073394495,-28.04,-0.21569230769230768,-0.23173553719008264,0.8375384615384615,55,75,False
2026-09-17,B,2,2,0,2,0,0,0,0,1.0,1.9100000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,2,0,True
2026-09-17,C,17,17,0,6,1,0,0,10,0.3939393939393939,-3.29,-0.1935294117647059,-0.1935294117647059,1.01,5,12,True
2026-09-17,N,64,63,1,30,5,3,5,20,0.5909090909090909,4.07,0.06359375,0.0646031746031746,0.84625,26,38,False
2026-09-18,A,1,1,0,1,0,0,0,0,1.0,1.01,1.01,1.01,1.01,1,0,True
2026-09-18,B,4,4,0,1,1,0,1,1,0.5,0.15500000000000003,0.03875000000000001,0.03875000000000001,1.1800000000000002,1,3,True
2026-09-18,C,49,48,1,12,5,3,5,23,0.3625,-10.87,-0.22183673469387755,-0.22645833333333332,1.0285714285714287,14,35,False
2026-09-18,N,107,104,3,38,12,4,8,42,0.4888888888888889,-8.095,-0.07565420560747664,-0.07783653846153847,0.8678504672897196,23,84,False
