date,scope,intent,share,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-13,ALL_ROSTER,MISSING,1.0,192,155,37,67,3,2,19,64,0.4823943661971831,-12.315000000000001,-0.064140625,-0.07945161290322582,0.9069375000000001,160,0,False
2026-09-14,ALL_ROSTER,MISSING,0.5913461538461539,123,0,123,0,0,0,0,0,,,,,,0,0,True
2026-09-14,ALL_ROSTER,平衡盘/等待临场确认,0.0625,13,0,13,0,0,0,0,0,,,,,,0,0,True
2026-09-14,ALL_ROSTER,真实示弱/阻下,0.07211538461538461,15,12,3,3,3,1,0,5,0.47368421052631576,-0.7449999999999997,-0.049666666666666644,-0.0620833333333333,0.9846666666666665,0,15,True
2026-09-14,ALL_ROSTER,真实示强/阻上,0.038461538461538464,8,8,0,6,0,0,0,2,0.75,3.15,0.39375,0.39375,0.84375,8,0,True
2026-09-14,ALL_ROSTER,诱上/阻下,0.019230769230769232,4,4,0,1,0,1,0,2,0.3333333333333333,-1.1400000000000001,-0.28500000000000003,-0.28500000000000003,0.86,0,4,True
2026-09-14,ALL_ROSTER,阻上/诱下,0.08173076923076923,17,16,1,8,1,2,0,5,0.6296296296296297,3.25,0.19117647058823528,0.203125,0.9529411764705882,17,0,True
2026-09-14,ALL_ROSTER,阻下/下盘保护,0.10096153846153846,21,18,3,6,3,0,1,8,0.46875,-2.2199999999999998,-0.1057142857142857,-0.12333333333333332,0.8366666666666667,0,21,True
2026-09-14,ALL_ROSTER,降温保护/诱下,0.03365384615384615,7,7,0,2,1,1,1,2,0.5,-0.35000000000000003,-0.05,-0.05,0.8557142857142858,7,0,True
2026-09-15,ALL_ROSTER,MISSING,0.5749235474006116,188,0,188,0,0,0,0,0,,,,,,0,0,True
2026-09-15,ALL_ROSTER,平衡盘/等待临场确认,0.07033639143730887,23,0,23,0,0,0,0,0,,,,,,0,0,True
2026-09-15,ALL_ROSTER,真实示弱/阻下,0.09480122324159021,31,30,1,17,0,0,1,12,0.576271186440678,3.9800000000000004,0.12838709677419355,0.13266666666666668,0.9729032258064516,0,31,False
2026-09-15,ALL_ROSTER,真实示强/阻上,0.03058103975535168,10,10,0,5,0,0,0,5,0.5,-0.87,-0.087,-0.087,0.889,10,0,True
2026-09-15,ALL_ROSTER,诱上/阻下,0.021406727828746176,7,7,0,4,0,0,0,3,0.5714285714285714,0.17000000000000004,0.024285714285714292,0.024285714285714292,0.7828571428571428,0,7,True
2026-09-15,ALL_ROSTER,阻上/诱下,0.07951070336391437,26,25,1,9,0,3,4,9,0.45,-2.46,-0.09461538461538462,-0.0984,0.943076923076923,26,0,True
2026-09-15,ALL_ROSTER,阻下/下盘保护,0.11009174311926606,36,34,2,16,2,1,2,13,0.5483870967741935,0.4350000000000001,0.012083333333333337,0.012794117647058827,0.8547222222222222,0,36,False
2026-09-15,ALL_ROSTER,降温保护/诱下,0.01834862385321101,6,6,0,5,0,0,1,0,0.9090909090909091,3.94,0.6566666666666666,0.6566666666666666,0.895,6,0,True
2026-09-16,ALL_ROSTER,MISSING,0.6098039215686275,311,0,311,0,0,0,0,0,,,,,,0,0,True
2026-09-16,ALL_ROSTER,平衡盘/等待临场确认,0.07450980392156863,38,0,38,0,0,0,0,0,,,,,,0,0,True
2026-09-16,ALL_ROSTER,真实示弱/阻下,0.07058823529411765,36,34,2,11,2,1,4,16,0.4,-6.91,-0.19194444444444445,-0.20323529411764707,0.9425,0,36,False
2026-09-16,ALL_ROSTER,真实示强/阻上,0.041176470588235294,21,21,0,5,3,1,1,11,0.3611111111111111,-6.29,-0.2995238095238095,-0.2995238095238095,0.8,21,0,True
2026-09-16,ALL_ROSTER,诱上/阻下,0.023529411764705882,12,11,1,3,1,0,1,6,0.35,-3.985,-0.33208333333333334,-0.36227272727272725,0.7691666666666667,0,12,True
2026-09-16,ALL_ROSTER,阻上/诱下,0.06666666666666667,34,32,2,7,1,0,7,17,0.26785714285714285,-12.935,-0.3804411764705882,-0.40421875,0.9623529411764705,34,0,False
