date,intent,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-13,MISSING,33,30,3,13,1,1,4,11,0.5094339622641509,0.29500000000000015,0.008939393939393943,0.009833333333333338,0.9927272727272727,33,0,False
2026-09-14,真实示弱/阻下,8,7,1,1,2,1,0,3,0.4,-0.945,-0.118125,-0.13499999999999998,1.05875,0,8,True
2026-09-14,真实示强/阻上,3,3,0,2,0,0,0,1,0.6666666666666666,0.78,0.26,0.26,0.8233333333333333,3,0,True
2026-09-14,诱上/阻下,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.02,0,1,True
2026-09-14,阻上/诱下,7,7,0,5,0,1,0,1,0.8333333333333334,4.01,0.5728571428571428,0.5728571428571428,0.9828571428571429,7,0,True
2026-09-15,真实示弱/阻下,16,15,1,8,0,0,0,7,0.5333333333333333,1.1,0.06875,0.07333333333333333,1.0162499999999999,0,16,True
2026-09-15,真实示强/阻上,5,5,0,2,0,0,0,3,0.4,-1.35,-0.27,-0.27,0.8939999999999999,5,0,True
2026-09-15,阻上/诱下,5,5,0,2,0,0,2,1,0.5,0.040000000000000036,0.008000000000000007,0.008000000000000007,1.036,5,0,True
2026-09-15,阻下/下盘保护,5,5,0,2,0,1,0,2,0.5,0.07000000000000006,0.014000000000000012,0.014000000000000012,1.002,0,5,True
2026-09-15,降温保护/诱下,1,1,0,1,0,0,0,0,1.0,1.05,1.05,1.05,1.05,1,0,True
2026-09-16,真实示弱/阻下,11,10,1,2,1,0,1,6,0.2777777777777778,-3.9699999999999998,-0.3609090909090909,-0.39699999999999996,1.000909090909091,0,11,True
2026-09-16,真实示强/阻上,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,0.855,2,0,True
2026-09-16,阻上/诱下,12,11,1,3,1,0,3,4,0.3888888888888889,-1.8449999999999998,-0.15374999999999997,-0.1677272727272727,1.0216666666666665,12,0,True
2026-09-16,阻下/下盘保护,5,5,0,4,0,1,0,0,1.0,3.7,0.74,0.74,0.9279999999999999,0,5,True
2026-09-16,降温保护/诱下,1,1,0,1,0,0,0,0,1.0,0.84,0.84,0.84,0.84,1,0,True
2026-09-17,真实示弱/阻下,12,12,0,4,1,0,0,7,0.391304347826087,-2.28,-0.18999999999999997,-0.18999999999999997,1.0375000000000003,0,12,True
2026-09-17,阻上/诱下,7,7,0,4,0,0,0,3,0.5714285714285714,0.9,0.1285714285714286,0.1285714285714286,0.947142857142857,7,0,True
2026-09-18,真实示弱/阻下,31,31,0,7,5,3,3,13,0.3958333333333333,-4.825,-0.15564516129032258,-0.15564516129032258,1.0548387096774194,0,31,False
2026-09-18,真实示强/阻上,1,1,0,1,0,0,0,0,1.0,1.01,1.01,1.01,1.01,1,0,True
2026-09-18,诱上/阻下,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.02,0,1,True
2026-09-18,阻上/诱下,15,14,1,4,1,0,3,6,0.375,-2.75,-0.18333333333333332,-0.19642857142857142,1.0533333333333335,15,0,True
2026-09-18,阻下/下盘保护,6,6,0,2,0,0,0,4,0.3333333333333333,-2.14,-0.3566666666666667,-0.3566666666666667,0.9333333333333332,0,6,True
