date,competition,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-13,俄超,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,0.98,1,0,True
2026-09-13,克亚甲,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,0.87,1,0,True
2026-09-13,厄瓜甲,1,0,1,0,0,0,0,0,,,,,1.02,1,0,True
2026-09-13,哥伦甲秋,2,1,1,1,0,0,0,0,1.0,1.03,0.515,1.03,1.045,2,0,True
2026-09-13,土超,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,0.93,1,0,True
2026-09-13,巴西甲,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.06,1,0,True
2026-09-13,德甲,1,1,0,1,0,0,0,0,1.0,0.97,0.97,0.97,0.97,1,0,True
2026-09-13,挪甲,1,1,0,1,0,0,0,0,1.0,0.78,0.78,0.78,0.78,1,0,True
2026-09-13,挪超,2,2,0,1,0,0,0,1,0.5,0.010000000000000009,0.0050000000000000044,0.0050000000000000044,1.025,2,0,True
2026-09-13,捷丙,1,1,0,1,0,0,0,0,1.0,0.83,0.83,0.83,0.83,1,0,True
2026-09-13,日职乙,1,1,0,1,0,0,0,0,1.0,1.02,1.02,1.02,1.02,1,0,True
2026-09-13,日职联,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.03,1,0,True
2026-09-13,比乙,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.01,1,0,True
2026-09-13,比甲,2,2,0,1,1,0,0,0,1.0,1.5750000000000002,0.7875000000000001,0.7875000000000001,1.03,2,0,True
2026-09-13,法甲,2,2,0,1,0,0,0,1,0.5,-0.010000000000000009,-0.0050000000000000044,-0.0050000000000000044,0.9450000000000001,2,0,True
2026-09-13,瑞典甲,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.02,1,0,True
2026-09-13,瑞典超,2,2,0,1,0,1,0,0,1.0,1.03,0.515,0.515,1.01,2,0,True
2026-09-13,瑞士超,1,1,0,1,0,0,0,0,1.0,1.06,1.06,1.06,1.06,1,0,True
2026-09-13,美职业,1,0,1,0,0,0,0,0,,,,,0.98,1,0,True
2026-09-13,荷甲,1,1,0,1,0,0,0,0,1.0,0.95,0.95,0.95,0.95,1,0,True
2026-09-13,葡超,1,1,0,0,0,0,1,0,0.0,-0.5,-0.5,-0.5,1.02,1,0,True
2026-09-13,西乙,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.09,1,0,True
2026-09-13,西甲,3,3,0,1,0,0,2,0,0.5,0.040000000000000036,0.013333333333333345,0.013333333333333345,0.9733333333333333,3,0,True
2026-09-13,阿甲,2,2,0,0,0,0,1,1,0.0,-1.5,-0.75,-0.75,1.05,2,0,True
2026-09-13,韩K3联,1,1,0,1,0,0,0,0,1.0,1.01,1.01,1.01,1.01,1,0,True
2026-09-14,丹麦超,1,1,0,1,0,0,0,0,1.0,1.03,1.03,1.03,1.03,1,0,True
2026-09-14,亚冠精英,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,0.94,1,0,True
2026-09-14,以超,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.05,0,1,True
2026-09-14,俄甲,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.02,0,1,True
2026-09-14,保乙,1,1,0,1,0,0,0,0,1.0,1.02,1.02,1.02,1.02,1,0,True
2026-09-14,克亚甲,1,1,0,0,1,0,0,0,1.0,0.5,0.5,0.5,1.0,0,1,True
2026-09-14,冰岛超冠,1,1,0,1,0,0,0,0,1.0,0.88,0.88,0.88,0.88,1,0,True
2026-09-14,哥伦乙秋,1,0,1,0,0,0,0,0,,,,,1.08,0,1,True
2026-09-14,土甲,1,1,0,1,0,0,0,0,1.0,0.99,0.99,0.99,0.99,1,0,True
2026-09-14,土超,1,1,0,1,0,0,0,0,1.0,1.04,1.04,1.04,1.04,0,1,True
2026-09-14,德女联,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,0.69,1,0,True
2026-09-14,意甲,1,1,0,0,0,1,0,0,,0,0.0,0.0,0.93,1,0,True
2026-09-14,挪丙,1,1,0,0,0,1,0,0,,0,0.0,0.0,1.08,0,1,True
2026-09-14,沙地甲,2,2,0,1,0,0,0,1,0.5,-0.24,-0.12,-0.12,0.95,1,1,True
2026-09-14,爱超,1,1,0,1,0,0,0,0,1.0,1.02,1.02,1.02,1.02,1,0,True
2026-09-14,瑞典甲,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.05,0,1,True
2026-09-14,瑞典超,1,1,0,1,0,0,0,0,1.0,1.09,1.09,1.09,1.09,1,0,True
