date,region,grouping,coverage_note,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-13,东亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,3,3,0,2,0,0,0,1,0.6666666666666666,1.03,0.3433333333333333,0.3433333333333333,1.0200000000000002,3,0,True
2026-09-13,东南亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,其他,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,18,16,2,7,1,0,2,6,0.5172413793103449,0.2350000000000001,0.013055555555555562,0.014687500000000006,0.9861111111111112,18,0,True
2026-09-13,北美,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,1,0,1,0,0,0,0,0,,,,,0.98,1,0,True
2026-09-13,南亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,南美,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.06,1,0,True
2026-09-13,大洋洲,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,欧洲五大,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,7,7,0,3,0,0,2,2,0.5,0.0,0.0,0.0,0.9814285714285714,7,0,True
2026-09-13,欧洲非五大,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,3,3,0,1,0,1,0,1,0.5,0.030000000000000027,0.010000000000000009,0.010000000000000009,1.0133333333333334,3,0,True
2026-09-13,西亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,西亚/中亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,非洲,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,青年赛事,overlapping_overlay,可与地区重叠，不可相加,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,女足,overlapping_overlay,可与地区重叠，不可相加,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,杯赛,overlapping_overlay,可与地区重叠，不可相加,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,东亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
