date,run,ABC,giving,receiving,receiving_share,MISSING_side,generated_at,data_only_not_extra_positions
2026-09-14,RUN_20260914_211410,19,0,0,,19,2026-09-14T08:31:22.830619+08:00,True
2026-09-14,RUN_20260914_211615,27,0,0,,27,2026-09-14T21:16:34.064936+08:00,True
2026-09-14,RUN_20260914_212042,27,0,0,,27,2026-09-14T21:21:02.426268+08:00,True
2026-09-14,RUN_20260914_212155,27,0,0,,27,2026-09-14T21:22:14.148038+08:00,True
2026-09-14,RUN_20260914_212247,28,0,0,,28,2026-09-14T21:24:29.687653+08:00,True
2026-09-14,RUN_20260914_212614,28,0,0,,28,2026-09-14T21:26:39.273567+08:00,True
2026-09-14,RUN_20260914_212710,28,0,0,,28,2026-09-14T21:27:31.836044+08:00,True
2026-09-14,RUN_20260914_213010,28,0,0,,28,2026-09-14T21:30:29.953236+08:00,True
2026-09-14,RUN_20260914_214113,27,0,0,,27,2026-09-14T21:42:51.598562+08:00,True
2026-09-14,RUN_20260914_214401,27,0,0,,27,2026-09-14T21:44:22.301174+08:00,True
2026-09-14,RUN_20260914_220502,30,0,0,,30,2026-09-14T22:06:39.603295+08:00,True
2026-09-14,RUN_20260914_221606,19,10,9,0.47368421052631576,0,2026-09-14T22:16:27.477271+08:00,True
2026-09-15,RUN_20260915_072306,12,5,7,0.5833333333333334,0,2026-09-15T07:24:23.565228+08:00,True
2026-09-15,RUN_20260915_180417,32,11,21,0.65625,0,2026-09-15T18:07:07.120961+08:00,True
2026-09-15,RUN_20260915_180834,32,11,21,0.65625,0,2026-09-15T18:08:58.472703+08:00,True
2026-09-15,RUN_20260915_180941,32,11,21,0.65625,0,2026-09-15T18:10:05.341285+08:00,True
2026-09-16,RUN_20260916_072846,13,1,12,0.9230769230769231,0,2026-09-16T07:30:14.548194+08:00,True
2026-09-16,RUN_20260916_082848,13,1,12,0.9230769230769231,0,2026-09-16T08:30:27.706501+08:00,True
2026-09-16,RUN_20260916_204942,26,11,15,0.5769230769230769,0,2026-09-16T20:52:49.152627+08:00,True
2026-09-16,RUN_20260916_205341,26,11,15,0.5769230769230769,0,2026-09-16T20:54:00.717677+08:00,True
2026-09-16,RUN_20260916_235031,31,15,16,0.5161290322580645,0,2026-09-16T23:53:48.111187+08:00,True
2026-09-16,RUN_20260916_235456,31,15,16,0.5161290322580645,0,2026-09-16T23:55:21.710510+08:00,True
2026-09-17,RUN_20260917_070607,12,5,7,0.5833333333333334,0,2026-09-17T07:07:05.268394+08:00,True
2026-09-17,RUN_20260917_171030,15,6,9,0.6,0,2026-09-17T17:12:01.029811+08:00,True
2026-09-17,RUN_20260917_203052,18,7,11,0.6111111111111112,0,2026-09-17T20:32:24.585178+08:00,True
2026-09-17,RUN_20260917_222746,19,7,12,0.631578947368421,0,2026-09-17T22:29:30.141242+08:00,True
2026-09-18,RUN_20260918_074935,24,10,14,0.5833333333333334,0,2026-09-18T07:51:48.522282+08:00,True
2026-09-18,RUN_20260918_155805,54,16,38,0.7037037037037037,0,2026-09-18T16:00:27.683383+08:00,True
