date,timing_bin,intents,mean_EV,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-13,0-5m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,5-15m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,15-30m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,30-60m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,60m+,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,MISSING,"{""MISSING"": 33}",0.0590563313957182,33,30,3,13,1,1,4,11,0.5094339622641509,0.29500000000000015,0.008939393939393943,0.009833333333333338,0.9927272727272727,33,0,False
2026-09-14,0-5m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,5-15m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,15-30m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,30-60m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,60m+,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,MISSING,"{""阻上/诱下"": 7, ""真实示弱/阻下"": 8, ""真实示强/阻上"": 3, ""诱上/阻下"": 1}",0.06097095823180926,19,18,1,8,2,2,0,6,0.6,2.845,0.14973684210526317,0.15805555555555556,0.9915789473684212,10,9,True
2026-09-15,0-5m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,5-15m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,15-30m,"{""真实示强/阻上"": 1}",0.0411111111111111,1,1,0,1,0,0,0,0,1.0,0.86,0.86,0.86,0.86,1,0,True
2026-09-15,30-60m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,60m+,"{""真实示弱/阻下"": 15, ""阻上/诱下"": 4, ""阻下/下盘保护"": 5, ""降温保护/诱下"": 1, ""真实示强/阻上"": 4}",0.06284564218246075,29,28,1,13,0,1,2,12,0.5,0.060000000000000386,0.002068965517241393,0.002142857142857157,1.0044827586206897,9,20,True
2026-09-15,MISSING,"{""阻上/诱下"": 1, ""真实示弱/阻下"": 1}",0.02662857142857139,2,2,0,1,0,0,0,1,0.5,-0.010000000000000009,-0.0050000000000000044,-0.0050000000000000044,0.99,1,1,True
2026-09-16,0-5m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,5-15m,"{""真实示强/阻上"": 1, ""真实示弱/阻下"": 4, ""阻上/诱下"": 1}",0.04212089112644019,6,6,0,1,0,0,1,4,0.18181818181818182,-3.51,-0.585,-0.585,0.9733333333333335,2,4,True
2026-09-16,15-30m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,30-60m,"{""阻下/下盘保护"": 2}",0.2278857142857143,2,2,0,2,0,0,0,0,1.0,1.78,0.89,0.89,0.89,0,2,True
2026-09-16,60m+,"{""阻上/诱下"": 11, ""真实示弱/阻下"": 7, ""阻下/下盘保护"": 3, ""真实示强/阻上"": 1, ""降温保护/诱下"": 1}",0.04084389171417744,23,21,2,7,2,1,3,8,0.45714285714285713,-1.545,-0.06717391304347826,-0.07357142857142857,0.9930434782608697,13,10,True
2026-09-16,MISSING,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,0-5m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,5-15m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,15-30m,"{""阻上/诱下"": 1}",0.334,1,1,0,1,0,0,0,0,1.0,0.89,0.89,0.89,0.89,1,0,True
2026-09-17,30-60m,"{""真实示弱/阻下"": 2, ""阻上/诱下"": 1}",0.07956641604010024,3,3,0,1,0,0,0,2,0.3333333333333333,-0.94,-0.3133333333333333,-0.3133333333333333,1.0133333333333334,1,2,True
2026-09-17,60m+,"{""真实示弱/阻下"": 10, ""阻上/诱下"": 5}",0.08435330096073518,15,15,0,6,1,0,0,8,0.4482758620689655,-1.3299999999999998,-0.08866666666666666,-0.08866666666666666,1.01,5,10,True
2026-09-17,MISSING,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,0-5m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,5-15m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,15-30m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,30-60m,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,60m+,"{""真实示弱/阻下"": 31, ""阻下/下盘保护"": 6, ""阻上/诱下"": 15, ""诱上/阻下"": 1, ""真实示强/阻上"": 1}",0.04120766810885482,54,53,1,14,6,3,6,24,0.38636363636363635,-9.705,-0.17972222222222223,-0.1831132075471698,1.0394444444444444,16,38,False
2026-09-18,MISSING,{},,0,0,0,0,0,0,0,0,,,,,,0,0,True
