date,time_bucket,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample,mean_EV,intents
2026-09-13,00-04,12,12,0,4,0,0,3,5,0.38095238095238093,-2.3899999999999997,-0.19916666666666663,-0.19916666666666663,0.9908333333333333,12,0,True,0.05029613095238095,"{""MISSING"": 12}"
2026-09-13,04-10,5,2,3,0,0,0,0,2,0.0,-2,-0.4,-1.0,1.036,5,0,True,0.06471642857142859,"{""MISSING"": 5}"
2026-09-13,16-20,5,5,0,3,1,0,0,1,0.7777777777777778,2.3449999999999998,0.469,0.469,0.9719999999999999,5,0,True,0.030039880952380905,"{""MISSING"": 5}"
2026-09-13,20-24,11,11,0,6,0,1,1,3,0.631578947368421,2.34,0.2127272727272727,0.2127272727272727,0.9845454545454544,11,0,True,0.0792294379100983,"{""MISSING"": 11}"
2026-09-14,00-04,17,17,0,7,2,2,0,6,0.5714285714285714,1.8250000000000002,0.1073529411764706,0.1073529411764706,0.9847058823529413,9,8,True,0.06508154715543947,"{""真实示弱/阻下"": 7, ""真实示强/阻上"": 3, ""诱上/阻下"": 1, ""阻上/诱下"": 6}"
2026-09-14,04-10,1,0,1,0,0,0,0,0,,,,,1.08,0,1,True,0.04783333333333334,"{""真实示弱/阻下"": 1}"
2026-09-14,20-24,1,1,0,1,0,0,0,0,1.0,1.02,1.02,1.02,1.02,1,0,True,0.00422857142857147,"{""阻上/诱下"": 1}"
2026-09-15,00-04,21,21,0,10,0,1,1,9,0.5128205128205128,0.42000000000000026,0.02000000000000001,0.02000000000000001,0.9923809523809526,7,14,True,0.07502782972722857,"{""阻下/下盘保护"": 5, ""真实示弱/阻下"": 9, ""降温保护/诱下"": 1, ""阻上/诱下"": 2, ""真实示强/阻上"": 4}"
2026-09-15,04-10,4,3,1,0,0,0,1,2,0.0,-2.5,-0.625,-0.8333333333333334,1.0425,1,3,True,0.038269930033416846,"{""真实示弱/阻下"": 3, ""阻上/诱下"": 1}"
2026-09-15,16-20,3,3,0,2,0,0,0,1,0.6666666666666666,0.85,0.2833333333333333,0.2833333333333333,0.9466666666666667,2,1,True,0.031456084656084626,"{""阻上/诱下"": 1, ""真实示弱/阻下"": 1, ""真实示强/阻上"": 1}"
2026-09-15,20-24,4,4,0,3,0,0,0,1,0.75,2.14,0.535,0.535,1.03,1,3,True,0.023464869721473547,"{""真实示弱/阻下"": 3, ""阻上/诱下"": 1}"
2026-09-16,00-04,19,18,1,5,0,1,3,9,0.3225806451612903,-5.609999999999999,-0.29526315789473684,-0.31166666666666665,0.9826315789473685,10,9,True,0.0706128431534521,"{""真实示强/阻上"": 2, ""真实示弱/阻下"": 5, ""阻上/诱下"": 8, ""阻下/下盘保护"": 4}"
2026-09-16,04-10,3,2,1,1,1,0,0,0,1.0,1.375,0.4583333333333333,0.6875,0.96,2,1,True,0.004103814961933146,"{""阻上/诱下"": 2, ""阻下/下盘保护"": 1}"
2026-09-16,16-20,1,1,0,1,0,0,0,0,1.0,1.01,1.01,1.01,1.01,0,1,True,0.0059895833333333814,"{""真实示弱/阻下"": 1}"
2026-09-16,20-24,8,8,0,3,1,0,1,3,0.5,-0.04999999999999993,-0.006249999999999992,-0.006249999999999992,0.9875,3,5,True,0.03599515457767848,"{""阻上/诱下"": 2, ""真实示弱/阻下"": 5, ""降温保护/诱下"": 1}"
2026-09-17,00-04,11,11,0,6,1,0,0,4,0.6190476190476191,2.67,0.2427272727272727,0.2427272727272727,1.0145454545454546,4,7,True,0.09298268778005622,"{""真实示弱/阻下"": 7, ""阻上/诱下"": 4}"
2026-09-17,04-10,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,0.96,1,1,True,0.10462171052631578,"{""阻上/诱下"": 1, ""真实示弱/阻下"": 1}"
2026-09-17,10-16,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.01,0,1,True,0.0059895833333333814,"{""真实示弱/阻下"": 1}"
2026-09-17,16-20,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.93,1,0,True,0.11285714285714288,"{""阻上/诱下"": 1}"
2026-09-17,20-24,4,4,0,2,0,0,0,2,0.5,-0.04999999999999993,-0.012499999999999983,-0.012499999999999983,1.0150000000000001,1,3,True,0.12177476242690059,"{""真实示弱/阻下"": 3, ""阻上/诱下"": 1}"
2026-09-18,00-04,30,30,0,10,1,0,5,14,0.3888888888888889,-6.0,-0.2,-0.2,1.0413333333333334,13,17,False,0.04271668954339116,"{""阻上/诱下"": 12, ""真实示弱/阻下"": 13, ""阻下/下盘保护"": 3, ""诱上/阻下"": 1, ""真实示强/阻上"": 1}"
2026-09-18,04-10,2,1,1,0,0,1,0,0,,0.0,0.0,0.0,1.0750000000000002,1,1,True,0.06369517543859651,"{""真实示弱/阻下"": 1, ""阻上/诱下"": 1}"
2026-09-18,10-16,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,1.1,0,2,True,0.0442708333333334,"{""真实示弱/阻下"": 2}"
2026-09-18,16-20,3,3,0,1,0,1,0,1,0.5,0.010000000000000009,0.003333333333333336,0.003333333333333336,0.9333333333333332,0,3,True,0.017966917293233076,"{""真实示弱/阻下"": 2, ""阻下/下盘保护"": 1}"
2026-09-18,20-24,17,17,0,3,5,1,1,7,0.4230769230769231,-1.7149999999999999,-0.10088235294117646,-0.10088235294117646,1.043529411764706,2,15,True,0.039640036597227445,"{""阻上/诱下"": 2, ""真实示弱/阻下"": 13, ""阻下/下盘保护"": 2}"
