match_id,list_date,kickoff,kickoff_at,model_id,model_version,side_mapping_version,run_id,decision_at,quote_at,last_confirmed_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch,parent_decision_id,monitoring_bucket,prior_snapshot_id,market,competition,analysis_status,grade,rank,decision_id,normalized_intent,intent_source,candidate_side,candidate_team,candidate_water,candidate_handicap,reverse_team,reverse_side,reverse_water,selected_team,selected_side,selected_handicap_signed,selected_water_hk,probabilities,ev_mean,ev_p05,ev_p10,ev_p50,ev_p90,ev_p95,p_ev_positive,diagnostic_giving,diagnostic_receiving,direction_rule_version,reason_codes,real_money,started_lock,score,result,pnl_1u,settlement_status,result_state,result_source,settlement_updated_at,settlement
3089178,2026-09-16,2026-09-16T21:00:00+08:00,2026-09-16T21:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T20:54:00.717677+08:00,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,0.072,0.1,0.172,False,True,fba7524f7435a137ab13,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T20:54:00.717677+08:00"", ""home_team"": ""热带科里亚诺"", ""away_team"": ""伦蒂吉奥"", ""competition"": ""意丁"", ""home_handicap_signed"": -0.75, ""away_handicap_signed"": 0.75, ""home_water_hk"": 1.0, ""away_water_hk"": 0.7, ""titan_home_handicap_signed"": -0.75, ""titan_away_handicap_signed"": 0.75, ""giving_team"": ""伦蒂吉奥"", ""receiving_team"": ""热带科里亚诺"", ""giving_water"": 0.7, ""receiving_water"": 1.0, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-16T20:49:42+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",意丁,EVALUATED,C,,fba7524f7435a137ab13,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,热带科里亚诺,1.0,0.75,伦蒂吉奥,giving,0.7,热带科里亚诺,receiving,0.75,1.0,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.012500000000000011,-0.11507495334675585,-0.08946295972003593,0.014561487739367607,0.11740493759577214,0.14526874849228177,0.5746,"{""team"": ""伦蒂吉奥"", ""water"": 0.7, ""EV_mean"": -0.14125, ""EV_p10"": -0.23546871997316482, ""P_EV_gt_0"": 0.0186, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""热带科里亚诺"", ""water"": 1.0, ""EV_mean"": 0.012500000000000011, ""EV_p10"": -0.0909956408078437, ""P_EV_gt_0"": 0.5588, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False,,,,,,,,,
3089181,2026-09-16,2026-09-16T21:00:00+08:00,2026-09-16T21:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T20:54:00.717677+08:00,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,0.072,0.1,0.172,False,True,863a069252ebe8cfc36a,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T20:54:00.717677+08:00"", ""home_team"": ""瓜沃兰纳"", ""away_team"": ""基维扎诺"", ""competition"": ""意丁"", ""home_handicap_signed"": 0.25, ""away_handicap_signed"": -0.25, ""home_water_hk"": 0.66, ""away_water_hk"": 1.04, ""titan_home_handicap_signed"": 0.25, ""titan_away_handicap_signed"": -0.25, ""giving_team"": ""瓜沃兰纳"", ""receiving_team"": ""基维扎诺"", ""giving_water"": 0.66, ""receiving_water"": 1.04, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-16T20:49:42+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",意丁,EVALUATED,C,,863a069252ebe8cfc36a,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,基维扎诺,1.04,0.25,瓜沃兰纳,giving,0.66,基维扎诺,receiving,0.25,1.04,"{""W"": 0.2743055555555556, ""HW"": 0.3020833333333333, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4236111111111111}",0.01874999999999999,-0.07028208753248627,-0.05096627854710872,0.019154308498860073,0.08620360942389227,0.10528736079940043,0.6294,"{""team"": ""瓜沃兰纳"", ""water"": 0.66, ""EV_mean"": -0.1457638888888889, ""EV_p10"": -0.20095845144760427, ""P_EV_gt_0"": 0.0, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""基维扎诺"", ""water"": 1.04, ""EV_mean"": 0.01874999999999999, ""EV_p10"": -0.050661586982524875, ""P_EV_gt_0"": 0.6308, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False,,,,,,,,,
3075226,2026-09-16,2026-09-16T22:00:00+08:00,2026-09-16T22:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T20:54:00.717677+08:00,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,0.072,1.1,1.172,False,True,95f5037daecc028d5443,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T20:54:00.717677+08:00"", ""home_team"": ""卡拉路夫"", ""away_team"": ""布尔诺"", ""competition"": ""捷克杯"", ""home_handicap_signed"": -2.0, ""away_handicap_signed"": 2.0, ""home_water_hk"": 0.86, ""away_water_hk"": 0.84, ""titan_home_handicap_signed"": -2.0, ""titan_away_handicap_signed"": 2.0, ""giving_team"": ""布尔诺"", ""receiving_team"": ""卡拉路夫"", ""giving_water"": 0.84, ""receiving_water"": 0.86, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-16T20:49:42+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",捷克杯,EVALUATED,C,,95f5037daecc028d5443,降温保护/诱下,MARKET_MOVE_SHALLOWER_WITH_GIVING_WATER_DROP,giving,布尔诺,0.84,2.0,卡拉路夫,receiving,0.86,布尔诺,giving,-2.0,0.84,"{""W"": 0.5625, ""HW"": 0.0, ""P"": 0.125, ""HL"": 0.0, ""L"": 0.3125}",0.15999999999999998,-0.18970248519271532,-0.1069641597377341,0.16547203086262718,0.41661148817707966,0.475177653994161,0.787,"{""team"": ""布尔诺"", ""water"": 0.84, ""EV_mean"": 0.15999999999999998, ""EV_p10"": -0.10188823020857651, ""P_EV_gt_0"": 0.7924, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""卡拉路夫"", ""water"": 0.86, ""EV_mean"": -0.29375, ""EV_p10"": -0.553032257445614, ""P_EV_gt_0"": 0.0822, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_2.00"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_SHALLOWER_WITH_GIVING_WATER_DROP""]",False,,,,,,,,,
3059459,2026-09-16,2026-09-16T22:00:00+08:00,2026-09-16T22:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T20:54:00.717677+08:00,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,0.072,1.1,1.172,False,True,84df3ec77b1fa86299c0,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T20:54:00.717677+08:00"", ""home_team"": ""艾尔格纳"", ""away_team"": ""佩特捷德"", ""competition"": ""埃及超"", ""home_handicap_signed"": -0.25, ""away_handicap_signed"": 0.25, ""home_water_hk"": 0.84, ""away_water_hk"": 1.05, ""titan_home_handicap_signed"": -0.25, ""titan_away_handicap_signed"": 0.25, ""giving_team"": ""佩特捷德"", ""receiving_team"": ""艾尔格纳"", ""giving_water"": 1.05, ""receiving_water"": 0.84, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-16T20:49:42+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",埃及超,EVALUATED,C,,84df3ec77b1fa86299c0,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,佩特捷德,1.05,0.25,艾尔格纳,receiving,0.84,佩特捷德,giving,-0.25,1.05,"{""W"": 0.4236111111111111, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.3020833333333333, ""L"": 0.2743055555555556}",0.019444444444444486,-0.06832108796499264,-0.046864166960614906,0.021209389536491763,0.08814659714057593,0.10848281430961842,0.6474,"{""team"": ""佩特捷德"", ""water"": 1.05, ""EV_mean"": 0.019444444444444486, ""EV_p10"": -0.04874988215003345, ""P_EV_gt_0"": 0.6332, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""艾尔格纳"", ""water"": 0.84, ""EV_mean"": -0.06631944444444443, ""EV_p10"": -0.12725435499877713, ""P_EV_gt_0"": 0.0742, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",False,,,,,,,,,
3089182,2026-09-16,2026-09-16T22:00:00+08:00,2026-09-16T22:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T20:54:00.717677+08:00,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,0.072,1.1,1.172,False,True,e15f7faeec17d3285421,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T20:54:00.717677+08:00"", ""home_team"": ""卢捷斯"", ""away_team"": ""普罗格雷索足球"", ""competition"": ""意丁"", ""home_handicap_signed"": 1.0, ""away_handicap_signed"": -1.0, ""home_water_hk"": 0.81, ""away_water_hk"": 0.89, ""titan_home_handicap_signed"": 1.0, ""titan_away_handicap_signed"": -1.0, ""giving_team"": ""卢捷斯"", ""receiving_team"": ""普罗格雷索足球"", ""giving_water"": 0.81, ""receiving_water"": 0.89, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-16T20:49:42+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",意丁,EVALUATED,C,,e15f7faeec17d3285421,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,普罗格雷索足球,0.89,1.0,卢捷斯,giving,0.81,普罗格雷索足球,receiving,1.0,0.89,"{""W"": 0.42105263157894735, ""HW"": 0.0, ""P"": 0.2236842105263158, ""HL"": 0.0, ""L"": 0.35526315789473684}",0.01947368421052631,-0.13951582515189653,-0.10392437760571727,0.020664424004986748,0.13891347138105092,0.1741221083914759,0.5822,"{""team"": ""卢捷斯"", ""water"": 0.81, ""EV_mean"": -0.1332894736842105, ""EV_p10"": -0.2514540123482981, ""P_EV_gt_0"": 0.0726, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""普罗格雷索足球"", ""water"": 0.89, ""EV_mean"": 0.01947368421052631, ""EV_p10"": -0.1044992262611299, ""P_EV_gt_0"": 0.588, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.00"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False,,,,,,,,,
3089131,2026-09-16,2026-09-16T22:30:00+08:00,2026-09-16T22:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T20:54:00.717677+08:00,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,0.072,1.6,1.672,False,True,8ffa8006dfa82233208c,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T20:54:00.717677+08:00"", ""home_team"": ""尼萨FC"", ""away_team"": ""特腊帕尼"", ""competition"": ""意丁"", ""home_handicap_signed"": 0.75, ""away_handicap_signed"": -0.75, ""home_water_hk"": 0.71, ""away_water_hk"": 0.99, ""titan_home_handicap_signed"": 0.75, ""titan_away_handicap_signed"": -0.75, ""giving_team"": ""尼萨FC"", ""receiving_team"": ""特腊帕尼"", ""giving_water"": 0.71, ""receiving_water"": 0.99, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-16T20:49:42+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",意丁,EVALUATED,C,,8ffa8006dfa82233208c,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,特腊帕尼,0.99,0.75,尼萨FC,giving,0.71,特腊帕尼,receiving,0.75,0.99,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.008083333333333276,-0.126783912513724,-0.09707620561274621,0.008488572086520152,0.11391818436662274,0.14350956426092393,0.5398,"{""team"": ""尼萨FC"", ""water"": 0.71, ""EV_mean"": -0.1369583333333333, ""EV_p10"": -0.22918689193207864, ""P_EV_gt_0"": 0.0282, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""特腊帕尼"", ""water"": 0.99, ""EV_mean"": 0.008083333333333276, ""EV_p10"": -0.09838202124821047, ""P_EV_gt_0"": 0.5468, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False,,,,,,,,,
3074093,2026-09-16,2026-09-16T22:45:00+08:00,2026-09-16T22:45:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T20:54:00.717677+08:00,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,0.072,1.85,1.922,False,True,a28ab906b99ba632ade4,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T20:54:00.717677+08:00"", ""home_team"": ""基菲萨"", ""away_team"": ""帕纳辛纳科斯"", ""competition"": ""希腊杯"", ""home_handicap_signed"": -1.25, ""away_handicap_signed"": 1.25, ""home_water_hk"": 0.79, ""away_water_hk"": 1.03, ""titan_home_handicap_signed"": -1.25, ""titan_away_handicap_signed"": 1.25, ""giving_team"": ""帕纳辛纳科斯"", ""receiving_team"": ""基菲萨"", ""giving_water"": 1.03, ""receiving_water"": 0.79, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-16T20:49:42+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",希腊杯,EVALUATED,C,,a28ab906b99ba632ade4,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,帕纳辛纳科斯,1.03,1.25,基菲萨,receiving,0.79,帕纳辛纳科斯,giving,-1.25,1.03,"{""W"": 0.4339622641509434, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.2830188679245283, ""L"": 0.2830188679245283}",0.02245283018867933,-0.1691917048259843,-0.12929316357646606,0.024459274058359848,0.18091389556566298,0.22579004659005272,0.582,"{""team"": ""帕纳辛纳科斯"", ""water"": 1.03, ""EV_mean"": 0.02245283018867933, ""EV_p10"": -0.13302051494921543, ""P_EV_gt_0"": 0.5714, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""基菲萨"", ""water"": 0.79, ""EV_mean"": -0.09858490566037736, ""EV_p10"": -0.23791419388565505, ""P_EV_gt_0"": 0.19, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.25"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",False,,,,,,,,,
3012305,2026-09-16,2026-09-16T23:30:00+08:00,2026-09-16T23:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T20:54:00.717677+08:00,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,0.072,2.6,2.672,False,True,42f511e4316f065dc483,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T20:54:00.717677+08:00"", ""home_team"": ""罗迪纳莫斯科"", ""away_team"": ""喀山红宝石"", ""competition"": ""俄超"", ""home_handicap_signed"": -0.25, ""away_handicap_signed"": 0.25, ""home_water_hk"": 1.06, ""away_water_hk"": 0.83, ""titan_home_handicap_signed"": -0.25, ""titan_away_handicap_signed"": 0.25, ""giving_team"": ""喀山红宝石"", ""receiving_team"": ""罗迪纳莫斯科"", ""giving_water"": 0.83, ""receiving_water"": 1.06, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-16T20:49:42+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",俄超,EVALUATED,C,,42f511e4316f065dc483,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,罗迪纳莫斯科,1.06,0.25,喀山红宝石,giving,0.83,罗迪纳莫斯科,receiving,0.25,1.06,"{""W"": 0.2743055555555556, ""HW"": 0.3020833333333333, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4236111111111111}",0.027256944444444486,-0.060131995261324955,-0.041333469648707544,0.02859427673122722,0.09463768561871211,0.1129986196868838,0.7068,"{""team"": ""喀山红宝石"", ""water"": 0.83, ""EV_mean"": -0.07375000000000001, ""EV_p10"": -0.1343996519406188, ""P_EV_gt_0"": 0.059, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""罗迪纳莫斯科"", ""water"": 1.06, ""EV_mean"": 0.027256944444444486, ""EV_p10"": -0.04205027016530816, ""P_EV_gt_0"": 0.696, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False,,,,,,,,,
3075292,2026-09-16,2026-09-17T00:45:00+08:00,2026-09-17T00:45:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T20:54:00.717677+08:00,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,0.072,3.85,3.922,False,True,f2c6af1342682d960189,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T20:54:00.717677+08:00"", ""home_team"": ""阿拉特亚美尼亚"", ""away_team"": ""布拉格斯巴达"", ""competition"": ""欧罗巴杯"", ""home_handicap_signed"": -0.75, ""away_handicap_signed"": 0.75, ""home_water_hk"": 1.07, ""away_water_hk"": 0.82, ""titan_home_handicap_signed"": -0.75, ""titan_away_handicap_signed"": 0.75, ""giving_team"": ""布拉格斯巴达"", ""receiving_team"": ""阿拉特亚美尼亚"", ""giving_water"": 0.82, ""receiving_water"": 1.07, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-16T20:49:42+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",欧罗巴杯,EVALUATED,C,,f2c6af1342682d960189,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,阿拉特亚美尼亚,1.07,0.75,布拉格斯巴达,giving,0.82,阿拉特亚美尼亚,receiving,0.75,1.07,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.043416666666666714,-0.09686552226794448,-0.06363960618357684,0.042611800582516735,0.15147338975739671,0.18063272186344786,0.7028,"{""team"": ""布拉格斯巴达"", ""water"": 0.82, ""EV_mean"": -0.08975, ""EV_p10"": -0.18529100048827962, ""P_EV_gt_0"": 0.114, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""阿拉特亚美尼亚"", ""water"": 1.07, ""EV_mean"": 0.043416666666666714, ""EV_p10"": -0.0628749773577042, ""P_EV_gt_0"": 0.6992, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False,,,,,,,,,
3026046,2026-09-16,2026-09-17T01:00:00+08:00,2026-09-17T01:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T20:54:00.717677+08:00,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,0.072,4.1,4.172,False,True,f18bba0250458ec90df6,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T20:54:00.717677+08:00"", ""home_team"": ""幸运科隆"", ""away_team"": ""韦恩"", ""competition"": ""德丙"", ""home_handicap_signed"": -0.25, ""away_handicap_signed"": 0.25, ""home_water_hk"": 0.81, ""away_water_hk"": 1.05, ""titan_home_handicap_signed"": -0.25, ""titan_away_handicap_signed"": 0.25, ""giving_team"": ""韦恩"", ""receiving_team"": ""幸运科隆"", ""giving_water"": 1.05, ""receiving_water"": 0.81, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-16T20:49:42+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",德丙,EVALUATED,C,,f18bba0250458ec90df6,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,韦恩,1.05,0.25,幸运科隆,receiving,0.81,韦恩,giving,-0.25,1.05,"{""W"": 0.4236111111111111, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.3020833333333333, ""L"": 0.2743055555555556}",0.019444444444444486,-0.06706791550138852,-0.05009756295245357,0.018791712659934512,0.0883013552655657,0.10750874772620064,0.6354,"{""team"": ""韦恩"", ""water"": 1.05, ""EV_mean"": 0.019444444444444486, ""EV_p10"": -0.04557892872217284, ""P_EV_gt_0"": 0.6462, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""幸运科隆"", ""water"": 0.81, ""EV_mean"": -0.07907986111111104, ""EV_p10"": -0.14013183722409422, ""P_EV_gt_0"": 0.0516, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",False,,,,,,,,,
