match_id,list_date,kickoff,kickoff_at,model_id,model_version,side_mapping_version,run_id,decision_at,quote_at,last_confirmed_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch,parent_decision_id,monitoring_bucket,prior_snapshot_id,market,competition,analysis_status,grade,rank,decision_id,normalized_intent,intent_source,candidate_side,candidate_team,candidate_water,candidate_handicap,reverse_team,reverse_side,reverse_water,selected_team,selected_side,selected_handicap_signed,selected_water_hk,probabilities,ev_mean,ev_p05,ev_p10,ev_p50,ev_p90,ev_p95,p_ev_positive,diagnostic_giving,diagnostic_receiving,direction_rule_version,reason_codes,started_lock,real_money
3088011,2026-09-21,2026-09-21T15:00:00+08:00,2026-09-21T15:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_081936,2026-09-21T08:20:31.444281+08:00,2026-09-21T08:19:36+08:00,2026-09-21T08:19:36+08:00,0.015,6.658,6.673,False,True,4988c76166deb318bbd1,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T08:20:31.444281+08:00"", ""home_team"": ""韩国女足(中)"", ""away_team"": ""朝鲜女足"", ""competition"": ""亚运女足"", ""home_handicap_signed"": -1.5, ""away_handicap_signed"": 1.5, ""home_water_hk"": 0.81, ""away_water_hk"": 0.89, ""titan_home_handicap_signed"": -1.5, ""titan_away_handicap_signed"": 1.5, ""giving_team"": ""朝鲜女足"", ""receiving_team"": ""韩国女足(中)"", ""giving_water"": 0.89, ""receiving_water"": 0.81, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-21T08:19:36+08:00"", ""last_confirmed_at"": ""2026-09-21T08:19:36+08:00"", ""run_id"": ""RUN_20260921_081936""}",亚运女足,FROZEN_PREMATCH_DECISION,C,,8e1d60d8599ad16188ec,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,朝鲜女足,0.89,1.5,韩国女足(中),receiving,0.81,朝鲜女足,giving,-1.5,0.89,"{""W"": 0.59375, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.40625}",0.1221875,-0.15988281543360833,-0.09597791513164539,0.12665789639644498,0.3286813444167792,0.3830537054842021,0.7732,"{""team"": ""朝鲜女足"", ""water"": 0.89, ""EV_mean"": 0.1221875, ""EV_p10"": -0.09371176573539247, ""P_EV_gt_0"": 0.77, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""韩国女足(中)"", ""water"": 0.81, ""EV_mean"": -0.26468749999999996, ""EV_p10"": -0.4562508936109312, ""P_EV_gt_0"": 0.0482, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""STARTED_DECISION_LOCKED""]",True,False
3088016,2026-09-21,2026-09-21T15:00:00+08:00,2026-09-21T15:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_081936,2026-09-21T08:20:31.444281+08:00,2026-09-21T08:19:36+08:00,2026-09-21T08:19:36+08:00,0.015,6.658,6.673,False,True,93edeb8e53dc1d6ee926,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T08:20:31.444281+08:00"", ""home_team"": ""中国女足(中)"", ""away_team"": ""菲律宾女足"", ""competition"": ""亚运女足"", ""home_handicap_signed"": 1.75, ""away_handicap_signed"": -1.75, ""home_water_hk"": 0.5, ""away_water_hk"": 1.25, ""titan_home_handicap_signed"": 1.75, ""titan_away_handicap_signed"": -1.75, ""giving_team"": ""中国女足(中)"", ""receiving_team"": ""菲律宾女足"", ""giving_water"": 0.5, ""receiving_water"": 1.25, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-21T08:19:36+08:00"", ""last_confirmed_at"": ""2026-09-21T08:19:36+08:00"", ""run_id"": ""RUN_20260921_081936""}",亚运女足,FROZEN_PREMATCH_DECISION,C,,c5af82299caa52a1a3c2,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,菲律宾女足,1.25,1.75,中国女足(中),giving,0.5,菲律宾女足,receiving,1.75,1.25,"{""W"": 0.4, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.2857142857142857, ""L"": 0.3142857142857143}",0.04285714285714287,-0.2302455117849463,-0.17545734846241923,0.04537103793692948,0.26960391905328485,0.324851851454518,0.6042,"{""team"": ""中国女足(中)"", ""water"": 0.5, ""EV_mean"": -0.17142857142857146, ""EV_p10"": -0.3205695620731014, ""P_EV_gt_0"": 0.065, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""菲律宾女足"", ""water"": 1.25, ""EV_mean"": 0.04285714285714287, ""EV_p10"": -0.17492429060492073, ""P_EV_gt_0"": 0.596, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""STARTED_DECISION_LOCKED""]",True,False
2971096,2026-09-21,2026-09-21T19:00:00+08:00,2026-09-21T19:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_161540,2026-09-21T16:16:51.427975+08:00,2026-09-21T16:15:41+08:00,2026-09-21T16:15:41+08:00,0.02,2.719,2.739,False,True,776d095a84e65af226dd,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T16:16:51.427975+08:00"", ""home_team"": ""柏克塔哥B队"", ""away_team"": ""休尔坦古佐"", ""competition"": ""乌兹甲"", ""home_handicap_signed"": -1.0, ""away_handicap_signed"": 1.0, ""home_water_hk"": 1.04, ""away_water_hk"": 0.66, ""titan_home_handicap_signed"": -1.0, ""titan_away_handicap_signed"": 1.0, ""giving_team"": ""休尔坦古佐"", ""receiving_team"": ""柏克塔哥B队"", ""giving_water"": 0.66, ""receiving_water"": 1.04, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-21T16:15:41+08:00"", ""last_confirmed_at"": ""2026-09-21T16:15:41+08:00"", ""run_id"": ""RUN_20260921_161540""}",乌兹甲,EVALUATED,C,,1d6a527b27da515c8a9e,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,柏克塔哥B队,1.04,1.0,休尔坦古佐,giving,0.66,柏克塔哥B队,receiving,1.0,1.04,"{""W"": 0.42105263157894735, ""HW"": 0.0, ""P"": 0.2236842105263158, ""HL"": 0.0, ""L"": 0.35526315789473684}",0.08263157894736844,-0.09002946481182877,-0.05031234006801183,0.08139976184920256,0.20986485511522623,0.250023937439672,0.7806,"{""team"": ""休尔坦古佐"", ""water"": 0.66, ""EV_mean"": -0.186578947368421, ""EV_p10"": -0.2948551108498281, ""P_EV_gt_0"": 0.012, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""柏克塔哥B队"", ""water"": 1.04, ""EV_mean"": 0.08263157894736844, ""EV_p10"": -0.05127162671544688, ""P_EV_gt_0"": 0.7756, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.00"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",,False
3093723,2026-09-21,2026-09-21T19:00:00+08:00,2026-09-21T19:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_161540,2026-09-21T16:16:51.427975+08:00,2026-09-21T16:15:41+08:00,2026-09-21T16:15:41+08:00,0.02,2.719,2.739,False,True,,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T16:16:51.427975+08:00"", ""home_team"": ""圣罗伦索体育会后备队"", ""away_team"": ""奥林比亚会后备队"", ""competition"": ""巴拉后备"", ""home_handicap_signed"": -2.5, ""away_handicap_signed"": 2.5, ""home_water_hk"": 0.84, ""away_water_hk"": 0.86, ""titan_home_handicap_signed"": -2.5, ""titan_away_handicap_signed"": 2.5, ""giving_team"": ""奥林比亚会后备队"", ""receiving_team"": ""圣罗伦索体育会后备队"", ""giving_water"": 0.86, ""receiving_water"": 0.84, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-21T16:15:41+08:00"", ""last_confirmed_at"": ""2026-09-21T16:15:41+08:00"", ""run_id"": ""RUN_20260921_161540""}",巴拉后备,EVALUATED,A,,b029928eb38abc06140a,阻下/下盘保护,FLAT_LINE_GIVING_WATER_RISE,receiving,圣罗伦索体育会后备队,0.84,2.5,奥林比亚会后备队,giving,0.86,圣罗伦索体育会后备队,receiving,2.5,0.84,"{""W"": 0.8181818181818182, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.18181818181818182}",0.5054545454545454,0.10781477197309991,0.21460295493981552,0.5385759197780673,0.7338685026265794,0.7675640660910182,0.976,"{""team"": ""奥林比亚会后备队"", ""water"": 0.86, ""EV_mean"": -0.6618181818181819, ""EV_p10"": -0.8951636004039222, ""P_EV_gt_0"": 0.0086, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""圣罗伦索体育会后备队"", ""water"": 0.84, ""EV_mean"": 0.5054545454545454, ""EV_p10"": 0.22310752032494785, ""P_EV_gt_0"": 0.9798, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_2.50"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_RISE""]",,False
2968255,2026-09-21,2026-09-21T20:00:00+08:00,2026-09-21T20:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_161540,2026-09-21T16:16:51.427975+08:00,2026-09-21T16:15:41+08:00,2026-09-21T16:15:41+08:00,0.02,3.719,3.739,False,True,07eb7d994659d008fb13,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T16:16:51.427975+08:00"", ""home_team"": ""特罗姆瑟B队"", ""away_team"": ""康斯文格B队"", ""competition"": ""挪丙"", ""home_handicap_signed"": 0.75, ""away_handicap_signed"": -0.75, ""home_water_hk"": 0.62, ""away_water_hk"": 1.08, ""titan_home_handicap_signed"": 0.75, ""titan_away_handicap_signed"": -0.75, ""giving_team"": ""特罗姆瑟B队"", ""receiving_team"": ""康斯文格B队"", ""giving_water"": 0.62, ""receiving_water"": 1.08, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-21T16:15:41+08:00"", ""last_confirmed_at"": ""2026-09-21T16:15:41+08:00"", ""run_id"": ""RUN_20260921_161540""}",挪丙,EVALUATED,C,,fb754379c2e8f2fdb6a5,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,康斯文格B队,1.08,0.75,特罗姆瑟B队,giving,0.62,康斯文格B队,receiving,0.75,1.08,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.04783333333333334,-0.0888419339976042,-0.05748570778588108,0.04914077378248405,0.1578238079857792,0.189668932354012,0.7206,"{""team"": ""特罗姆瑟B队"", ""water"": 0.62, ""EV_mean"": -0.1755833333333333, ""EV_p10"": -0.2598179676378198, ""P_EV_gt_0"": 0.0036, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""康斯文格B队"", ""water"": 1.08, ""EV_mean"": 0.04783333333333334, ""EV_p10"": -0.05798128237498912, ""P_EV_gt_0"": 0.715, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",,False
3091966,2026-09-21,2026-09-21T22:00:00+08:00,2026-09-21T22:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_161540,2026-09-21T16:16:51.427975+08:00,2026-09-21T16:15:41+08:00,2026-09-21T16:15:41+08:00,0.02,5.719,5.739,False,True,525e84433798c3895eb9,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T16:16:51.427975+08:00"", ""home_team"": ""多米尼克"", ""away_team"": ""安圭拉"", ""competition"": ""国际友谊"", ""home_handicap_signed"": 2.0, ""away_handicap_signed"": -2.0, ""home_water_hk"": 0.93, ""away_water_hk"": 0.83, ""titan_home_handicap_signed"": 2.0, ""titan_away_handicap_signed"": -2.0, ""giving_team"": ""多米尼克"", ""receiving_team"": ""安圭拉"", ""giving_water"": 0.93, ""receiving_water"": 0.83, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-21T16:15:41+08:00"", ""last_confirmed_at"": ""2026-09-21T16:15:41+08:00"", ""run_id"": ""RUN_20260921_161540""}",国际友谊,EVALUATED,C,,41d99792556792d5ddcd,降温保护/诱下,MARKET_MOVE_SHALLOWER_WITH_GIVING_WATER_DROP,giving,多米尼克,0.93,2.0,安圭拉,receiving,0.83,多米尼克,giving,-2.0,0.93,"{""W"": 0.5625, ""HW"": 0.0, ""P"": 0.125, ""HL"": 0.0, ""L"": 0.3125}",0.21062500000000006,-0.15010932263081572,-0.0705857765869371,0.22133853698969053,0.47427844001618746,0.5308006359603312,0.8392,"{""team"": ""多米尼克"", ""water"": 0.93, ""EV_mean"": 0.21062500000000006, ""EV_p10"": -0.06937049045244936, ""P_EV_gt_0"": 0.8302, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""安圭拉"", ""water"": 0.83, ""EV_mean"": -0.30312500000000003, ""EV_p10"": -0.5533499129370429, ""P_EV_gt_0"": 0.0754, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_2.00"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_SHALLOWER_WITH_GIVING_WATER_DROP""]",,False
3037919,2026-09-21,2026-09-21T23:00:00+08:00,2026-09-21T23:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_161540,2026-09-21T16:16:51.427975+08:00,2026-09-21T16:15:41+08:00,2026-09-21T16:15:41+08:00,0.02,6.719,6.739,False,True,9478ec444f604d3bb19a,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T16:16:51.427975+08:00"", ""home_team"": ""阿特梅迪亚"", ""away_team"": ""杜纳达纳"", ""competition"": ""斯伐甲"", ""home_handicap_signed"": 1.0, ""away_handicap_signed"": -1.0, ""home_water_hk"": 0.92, ""away_water_hk"": 0.9, ""titan_home_handicap_signed"": 1.0, ""titan_away_handicap_signed"": -1.0, ""giving_team"": ""阿特梅迪亚"", ""receiving_team"": ""杜纳达纳"", ""giving_water"": 0.92, ""receiving_water"": 0.9, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-21T16:15:41+08:00"", ""last_confirmed_at"": ""2026-09-21T16:15:41+08:00"", ""run_id"": ""RUN_20260921_161540""}",斯伐甲,EVALUATED,C,,a60fddc3cdc2643b7b3b,阻下/下盘保护,FLAT_LINE_GIVING_WATER_RISE,receiving,杜纳达纳,0.9,1.0,阿特梅迪亚,giving,0.92,杜纳达纳,receiving,1.0,0.9,"{""W"": 0.42105263157894735, ""HW"": 0.0, ""P"": 0.2236842105263158, ""HL"": 0.0, ""L"": 0.35526315789473684}",0.023684210526315808,-0.13232028456380496,-0.09716756696530066,0.023121418517099923,0.149205880129959,0.1827489469813004,0.5978,"{""team"": ""阿特梅迪亚"", ""water"": 0.92, ""EV_mean"": -0.09421052631578947, ""EV_p10"": -0.21862632346600996, ""P_EV_gt_0"": 0.166, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""杜纳达纳"", ""water"": 0.9, ""EV_mean"": 0.023684210526315808, ""EV_p10"": -0.09906194298302767, ""P_EV_gt_0"": 0.6054, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.00"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_RISE""]",,False
3010431,2026-09-21,2026-09-22T02:00:00+08:00,2026-09-22T02:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_161540,2026-09-21T16:16:51.427975+08:00,2026-09-21T16:15:41+08:00,2026-09-21T16:15:41+08:00,0.02,9.719,9.739,False,True,0db81b3e91614acb691c,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T16:16:51.427975+08:00"", ""home_team"": ""佩特罗鲁"", ""away_team"": ""FK米耶尔库雷亚丘克"", ""competition"": ""罗甲"", ""home_handicap_signed"": 0.75, ""away_handicap_signed"": -0.75, ""home_water_hk"": 0.9, ""away_water_hk"": 0.98, ""titan_home_handicap_signed"": 0.75, ""titan_away_handicap_signed"": -0.75, ""giving_team"": ""佩特罗鲁"", ""receiving_team"": ""FK米耶尔库雷亚丘克"", ""giving_water"": 0.9, ""receiving_water"": 0.98, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-21T16:15:41+08:00"", ""last_confirmed_at"": ""2026-09-21T16:15:41+08:00"", ""run_id"": ""RUN_20260921_161540""}",罗甲,EVALUATED,C,,0db81b3e91614acb691c,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,FK米耶尔库雷亚丘克,0.98,0.75,佩特罗鲁,giving,0.9,FK米耶尔库雷亚丘克,receiving,0.75,0.98,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.0036666666666666514,-0.13208523103078468,-0.10362355928009598,0.0013882353052418472,0.108628008483799,0.13800343892337494,0.506,"{""team"": ""佩特罗鲁"", ""water"": 0.9, ""EV_mean"": -0.055416666666666614, ""EV_p10"": -0.1575833750094855, ""P_EV_gt_0"": 0.2436, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""FK米耶尔库雷亚丘克"", ""water"": 0.98, ""EV_mean"": 0.0036666666666666514, ""EV_p10"": -0.10198112309672874, ""P_EV_gt_0"": 0.5148, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",,False
3065807,2026-09-21,2026-09-22T02:00:00+08:00,2026-09-22T02:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_161540,2026-09-21T16:16:51.427975+08:00,2026-09-21T16:15:41+08:00,2026-09-21T16:15:41+08:00,0.02,9.719,9.739,False,True,882a451e6a9737eef4d0,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T16:16:51.427975+08:00"", ""home_team"": ""伯恩茅斯U21"", ""away_team"": ""斯托克城U21"", ""competition"": ""英U21"", ""home_handicap_signed"": 0.75, ""away_handicap_signed"": -0.75, ""home_water_hk"": 0.75, ""away_water_hk"": 1.01, ""titan_home_handicap_signed"": 0.75, ""titan_away_handicap_signed"": -0.75, ""giving_team"": ""伯恩茅斯U21"", ""receiving_team"": ""斯托克城U21"", ""giving_water"": 0.75, ""receiving_water"": 1.01, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-21T16:15:41+08:00"", ""last_confirmed_at"": ""2026-09-21T16:15:41+08:00"", ""run_id"": ""RUN_20260921_161540""}",英U21,EVALUATED,C,,f774efb3586b9c763896,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,斯托克城U21,1.01,0.75,伯恩茅斯U21,giving,0.75,斯托克城U21,receiving,0.75,1.01,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.016916666666666635,-0.11959538044146839,-0.08763668064140659,0.016350575808627588,0.12348863121608439,0.15141185570077648,0.5816,"{""team"": ""伯恩茅斯U21"", ""water"": 0.75, ""EV_mean"": -0.11979166666666663, ""EV_p10"": -0.213113124506365, ""P_EV_gt_0"": 0.0466, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""斯托克城U21"", ""water"": 1.01, ""EV_mean"": 0.016916666666666635, ""EV_p10"": -0.08636195295483257, ""P_EV_gt_0"": 0.5874, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",,False
3046032,2026-09-21,2026-09-22T07:00:00+08:00,2026-09-22T07:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_161540,2026-09-21T16:16:51.427975+08:00,2026-09-21T16:15:41+08:00,2026-09-21T16:15:41+08:00,0.02,14.719,14.739,False,True,92acb7895d4c12d937eb,MONITORING_BUCKET,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T16:16:51.427975+08:00"", ""home_team"": ""莱昂女足"", ""away_team"": ""华雷斯女足"", ""competition"": ""墨西女超春"", ""home_handicap_signed"": 0.25, ""away_handicap_signed"": -0.25, ""home_water_hk"": 1.01, ""away_water_hk"": 0.81, ""titan_home_handicap_signed"": 0.25, ""titan_away_handicap_signed"": -0.25, ""giving_team"": ""莱昂女足"", ""receiving_team"": ""华雷斯女足"", ""giving_water"": 1.01, ""receiving_water"": 0.81, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-21T16:15:41+08:00"", ""last_confirmed_at"": ""2026-09-21T16:15:41+08:00"", ""run_id"": ""RUN_20260921_161540""}",墨西女超春,EVALUATED,C,,7a49a720d470bc86e20e,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,莱昂女足,1.01,0.25,华雷斯女足,receiving,0.81,莱昂女足,giving,-0.25,1.01,"{""W"": 0.4236111111111111, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.3020833333333333, ""L"": 0.2743055555555556}",0.0024999999999999467,-0.08286579485767412,-0.06369257326757011,0.0017328760263674026,0.06981585676423269,0.08917553566117545,0.5146,"{""team"": ""莱昂女足"", ""water"": 1.01, ""EV_mean"": 0.0024999999999999467, ""EV_p10"": -0.06242493235238461, ""P_EV_gt_0"": 0.5316, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""华雷斯女足"", ""water"": 0.81, ""EV_mean"": -0.07907986111111104, ""EV_p10"": -0.14089091729038244, ""P_EV_gt_0"": 0.0496, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",,False
