match_id,list_date,kickoff,kickoff_at,model_id,model_version,side_mapping_version,run_id,decision_at,quote_at,last_confirmed_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch,parent_decision_id,monitoring_bucket,prior_snapshot_id,market,competition,analysis_status,grade,rank,reason_codes,decision_id,started_lock,real_money,normalized_intent,intent_source,candidate_side,candidate_team,candidate_water,candidate_handicap,reverse_team,reverse_side,reverse_water,selected_team,selected_side,selected_handicap_signed,selected_water_hk,probabilities,ev_mean,ev_p05,ev_p10,ev_p50,ev_p90,ev_p95,p_ev_positive,diagnostic_giving,diagnostic_receiving,direction_rule_version,frozen_selection_lock,score,result,pnl_1u,settlement_status,result_state,result_source,settlement_updated_at,settlement
3092006,2026-09-23,2026-09-23T18:00:00+08:00,2026-09-23T18:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260923_073949,2026-09-23T07:41:06.639593+08:00,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,0.021,10.315,10.336,False,False,,,prior-2026-09-23-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-23T07:41:06.639593+08:00"", ""home_team"": ""基辅迪纳摩U19"", ""away_team"": ""FC哈尔科夫U19"", ""competition"": ""乌克U19"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-23T07:39:50+08:00"", ""last_confirmed_at"": ""2026-09-23T07:39:50+08:00"", ""run_id"": ""RUN_20260923_073949""}",乌克U19,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",b85d63d7e2cbad8b0999,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094714,2026-09-23,2026-09-23T18:30:00+08:00,2026-09-23T18:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260923_202716,2026-09-23T20:27:42.735793+08:00,2026-09-23T20:22:20+08:00,2026-09-23T20:22:20+08:00,0.09,-1.962,-1.872,False,False,0ae202019c340151c5a6,,prior-2026-09-23-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-23T20:27:42.735793+08:00"", ""home_team"": ""班加鲁鲁B队"", ""away_team"": ""阿格尼普拉"", ""competition"": ""印班超"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-23T20:22:20+08:00"", ""last_confirmed_at"": ""2026-09-23T20:22:20+08:00"", ""run_id"": ""RUN_20260923_202716""}",印班超,NOT_PREMATCH,,,"[""MATCH_NOT_PREMATCH""]",52dc2dfcd4359027c431,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094713,2026-09-23,2026-09-23T19:00:00+08:00,2026-09-23T19:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260923_202716,2026-09-23T20:27:42.735793+08:00,2026-09-23T20:22:20+08:00,2026-09-23T20:22:20+08:00,0.09,-1.462,-1.372,False,False,8896691fa633023e5fb4,,prior-2026-09-23-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-23T20:27:42.735793+08:00"", ""home_team"": ""沙斯辛B队<font color=#880000>(中)</font>"", ""away_team"": ""斯威特什切青"", ""competition"": ""球会友谊"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-23T20:22:20+08:00"", ""last_confirmed_at"": ""2026-09-23T20:22:20+08:00"", ""run_id"": ""RUN_20260923_202716""}",球会友谊,NOT_PREMATCH,,,"[""MATCH_NOT_PREMATCH""]",044a5581473fdd30d033,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094629,2026-09-23,2026-09-23T19:00:00+08:00,2026-09-23T19:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260923_073949,2026-09-23T07:41:06.639593+08:00,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,0.021,11.315,11.336,False,False,,,prior-2026-09-23-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-23T07:41:06.639593+08:00"", ""home_team"": ""孔敬联"", ""away_team"": ""拉纳维"", ""competition"": ""泰足总"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-23T07:39:50+08:00"", ""last_confirmed_at"": ""2026-09-23T07:39:50+08:00"", ""run_id"": ""RUN_20260923_073949""}",泰足总,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",c18cddbfba6c314df515,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094630,2026-09-23,2026-09-23T19:00:00+08:00,2026-09-23T19:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260923_073949,2026-09-23T07:41:06.639593+08:00,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,0.021,11.315,11.336,False,False,,,prior-2026-09-23-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-23T07:41:06.639593+08:00"", ""home_team"": ""纳雄寺联"", ""away_team"": ""泰国农业FC"", ""competition"": ""泰足总"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-23T07:39:50+08:00"", ""last_confirmed_at"": ""2026-09-23T07:39:50+08:00"", ""run_id"": ""RUN_20260923_073949""}",泰足总,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",fa59dede291381175a63,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094646,2026-09-23,2026-09-23T19:00:00+08:00,2026-09-23T19:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260923_073949,2026-09-23T07:41:06.639593+08:00,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,0.021,11.315,11.336,False,False,,,prior-2026-09-23-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-23T07:41:06.639593+08:00"", ""home_team"": ""北柳府"", ""away_team"": ""曼谷FC"", ""competition"": ""泰足总"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-23T07:39:50+08:00"", ""last_confirmed_at"": ""2026-09-23T07:39:50+08:00"", ""run_id"": ""RUN_20260923_073949""}",泰足总,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",8d7e137d8b7f4ffd77f4,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3092812,2026-09-23,2026-09-23T18:00:00+08:00,2026-09-23T18:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260923_073949,2026-09-23T07:41:06.639593+08:00,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,0.021,10.315,10.336,False,False,,,prior-2026-09-23-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-23T07:41:06.639593+08:00"", ""home_team"": ""波利西亚U19"", ""away_team"": ""高华尤夫卡U19"", ""competition"": ""乌克U19"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-23T07:39:50+08:00"", ""last_confirmed_at"": ""2026-09-23T07:39:50+08:00"", ""run_id"": ""RUN_20260923_073949""}",乌克U19,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",c474b41f1555680f60a5,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094755,2026-09-23,2026-09-23T19:00:00+08:00,2026-09-23T19:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260923_202716,2026-09-23T20:27:42.735793+08:00,2026-09-23T20:22:20+08:00,2026-09-23T20:22:20+08:00,0.09,-1.462,-1.372,False,False,69ae8447df8d609f9917,,prior-2026-09-23-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-23T20:27:42.735793+08:00"", ""home_team"": ""北碧电力U21"", ""away_team"": ""萨莱星座U21"", ""competition"": ""泰U21"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-23T20:22:20+08:00"", ""last_confirmed_at"": ""2026-09-23T20:22:20+08:00"", ""run_id"": ""RUN_20260923_202716""}",泰U21,NOT_PREMATCH,,,"[""MATCH_NOT_PREMATCH""]",93468035206a8b83f484,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094260,2026-09-23,2026-09-23T19:30:00+08:00,2026-09-23T19:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260923_073949,2026-09-23T07:41:06.639593+08:00,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,0.021,11.815,11.836,False,False,,,prior-2026-09-23-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-23T07:41:06.639593+08:00"", ""home_team"": ""青岛复力"", ""away_team"": ""大连聚惺晟恒"", ""competition"": ""中冠"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-23T07:39:50+08:00"", ""last_confirmed_at"": ""2026-09-23T07:39:50+08:00"", ""run_id"": ""RUN_20260923_073949""}",中冠,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",df0d6ce5426f4d744a2b,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094261,2026-09-23,2026-09-23T19:30:00+08:00,2026-09-23T19:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260923_073949,2026-09-23T07:41:06.639593+08:00,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,0.021,11.815,11.836,False,False,,,prior-2026-09-23-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-23T07:41:06.639593+08:00"", ""home_team"": ""武汉联镇"", ""away_team"": ""吴川青年"", ""competition"": ""中冠"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-23T07:39:50+08:00"", ""last_confirmed_at"": ""2026-09-23T07:39:50+08:00"", ""run_id"": ""RUN_20260923_073949""}",中冠,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",9fc6acd1c90b9c04ea47,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
