match_id,list_date,kickoff,kickoff_at,model_id,model_version,side_mapping_version,run_id,decision_at,quote_at,last_confirmed_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch,parent_decision_id,monitoring_bucket,prior_snapshot_id,market,competition,analysis_status,grade,rank,decision_id,normalized_intent,intent_source,candidate_side,candidate_team,candidate_water,candidate_handicap,reverse_team,reverse_side,reverse_water,selected_team,selected_side,selected_handicap_signed,selected_water_hk,probabilities,ev_mean,ev_p05,ev_p10,ev_p50,ev_p90,ev_p95,p_ev_positive,diagnostic_giving,diagnostic_receiving,direction_rule_version,reason_codes,frozen_selection_lock,real_money,started_lock,score,result,pnl_1u,settlement_status,result_state,result_source,settlement_updated_at,settlement
3092410,2026-09-24,2026-09-24T23:55:00+08:00,2026-09-24T23:55:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260924_075223,2026-09-24T07:53:30.654466+08:00,2026-09-24T07:52:23+08:00,2026-09-24T07:52:23+08:00,0.019,16.025,16.044,False,True,,,prior-2026-09-24-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-24T07:53:30.654466+08:00"", ""home_team"": ""阿联酋(中)"", ""away_team"": ""也门"", ""competition"": ""海湾运"", ""home_handicap_signed"": 1.75, ""away_handicap_signed"": -1.75, ""home_water_hk"": 0.9, ""away_water_hk"": 0.92, ""titan_home_handicap_signed"": 1.75, ""titan_away_handicap_signed"": -1.75, ""giving_team"": ""阿联酋(中)"", ""receiving_team"": ""也门"", ""giving_water"": 0.9, ""receiving_water"": 0.92, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-24T07:52:23+08:00"", ""last_confirmed_at"": ""2026-09-24T07:52:23+08:00"", ""run_id"": ""RUN_20260924_075223""}",海湾运,EVALUATED,C,,f98dcc6836a0b9d4329f,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,阿联酋(中),0.9,1.75,也门,receiving,0.92,阿联酋(中),giving,-1.75,0.9,"{""W"": 0.3142857142857143, ""HW"": 0.2857142857142857, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4}",0.011428571428571399,-0.22425231736934226,-0.167038008437018,0.015230825279026416,0.193022681499753,0.24479015277113653,0.547,"{""team"": ""阿联酋(中)"", ""water"": 0.9, ""EV_mean"": 0.011428571428571399, ""EV_p10"": -0.17094611768895795, ""P_EV_gt_0"": 0.5384, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""也门"", ""water"": 0.92, ""EV_mean"": -0.08914285714285708, ""EV_p10"": -0.2799728403176375, ""P_EV_gt_0"": 0.2644, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.75"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",True,False,,,,,,,,,
3001080,2026-09-24,2026-09-25T00:00:00+08:00,2026-09-25T00:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260924_225021,2026-09-24T22:51:47.797247+08:00,2026-09-24T22:50:22+08:00,2026-09-24T22:50:22+08:00,0.024,1.137,1.161,False,True,fa4cad22cb3032645a84,,prior-2026-09-24-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-24T22:51:47.797247+08:00"", ""home_team"": ""利比亚"", ""away_team"": ""博茨瓦纳"", ""competition"": ""非洲杯"", ""home_handicap_signed"": 0.75, ""away_handicap_signed"": -0.75, ""home_water_hk"": 0.76, ""away_water_hk"": 1.06, ""titan_home_handicap_signed"": 0.75, ""titan_away_handicap_signed"": -0.75, ""giving_team"": ""利比亚"", ""receiving_team"": ""博茨瓦纳"", ""giving_water"": 0.76, ""receiving_water"": 1.06, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-24T22:50:22+08:00"", ""last_confirmed_at"": ""2026-09-24T22:50:22+08:00"", ""run_id"": ""RUN_20260924_225021""}",非洲杯,EVALUATED,C,,bdad0d4db437fa02c74d,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,博茨瓦纳,1.06,0.75,利比亚,giving,0.76,博茨瓦纳,receiving,0.75,1.06,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.03899999999999998,-0.10001639630921022,-0.06908951293579083,0.03995812744953875,0.15163070665834022,0.18103479354812554,0.683,"{""team"": ""利比亚"", ""water"": 0.76, ""EV_mean"": -0.11549999999999999, ""EV_p10"": -0.20703980578035713, ""P_EV_gt_0"": 0.0578, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""博茨瓦纳"", ""water"": 1.06, ""EV_mean"": 0.03899999999999998, ""EV_p10"": -0.07001627634454921, ""P_EV_gt_0"": 0.6788, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",,False,,,,,,,,,
3001838,2026-09-24,2026-09-25T00:00:00+08:00,2026-09-25T00:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260924_225021,2026-09-24T22:51:47.797247+08:00,2026-09-24T22:50:22+08:00,2026-09-24T22:50:22+08:00,0.024,1.137,1.161,False,True,1743027f7ab88e62b785,,prior-2026-09-24-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-24T22:51:47.797247+08:00"", ""home_team"": ""里雄莱锡安夏普尔"", ""away_team"": ""阿基纳扎力"", ""competition"": ""以甲"", ""home_handicap_signed"": 0.75, ""away_handicap_signed"": -0.75, ""home_water_hk"": 0.6, ""away_water_hk"": 1.11, ""titan_home_handicap_signed"": 0.75, ""titan_away_handicap_signed"": -0.75, ""giving_team"": ""里雄莱锡安夏普尔"", ""receiving_team"": ""阿基纳扎力"", ""giving_water"": 0.6, ""receiving_water"": 1.11, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-24T22:50:22+08:00"", ""last_confirmed_at"": ""2026-09-24T22:50:22+08:00"", ""run_id"": ""RUN_20260924_225021""}",以甲,EVALUATED,C,,80550a867679f111dd64,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,阿基纳扎力,1.11,0.75,里雄莱锡安夏普尔,giving,0.6,阿基纳扎力,receiving,0.75,1.11,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.06108333333333332,-0.07669822694140194,-0.04927172874504637,0.05931767274873184,0.16751371317204442,0.20116527991838293,0.759,"{""team"": ""里雄莱锡安夏普尔"", ""water"": 0.6, ""EV_mean"": -0.18416666666666665, ""EV_p10"": -0.27229077541906804, ""P_EV_gt_0"": 0.0022, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""阿基纳扎力"", ""water"": 1.11, ""EV_mean"": 0.06108333333333332, ""EV_p10"": -0.05534379442419368, ""P_EV_gt_0"": 0.7504, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",,False,,,,,,,,,
3092210,2026-09-24,2026-09-25T02:00:00+08:00,2026-09-25T02:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260924_225021,2026-09-24T22:51:47.797247+08:00,2026-09-24T22:50:22+08:00,2026-09-24T22:50:22+08:00,0.024,3.137,3.161,False,True,4ceb695c9b3f6aaa555f,,prior-2026-09-24-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-24T22:51:47.797247+08:00"", ""home_team"": ""科尔多瓦学院后备队"", ""away_team"": ""里奥夸尔托后备队"", ""competition"": ""阿后备"", ""home_handicap_signed"": 0.5, ""away_handicap_signed"": -0.5, ""home_water_hk"": 0.83, ""away_water_hk"": 0.99, ""titan_home_handicap_signed"": 0.5, ""titan_away_handicap_signed"": -0.5, ""giving_team"": ""科尔多瓦学院后备队"", ""receiving_team"": ""里奥夸尔托后备队"", ""giving_water"": 0.83, ""receiving_water"": 0.99, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-24T22:50:22+08:00"", ""last_confirmed_at"": ""2026-09-24T22:50:22+08:00"", ""run_id"": ""RUN_20260924_225021""}",阿后备,EVALUATED,C,,ee363f13e82b2e8470d1,阻下/下盘保护,FLAT_LINE_GIVING_WATER_RISE,receiving,里奥夸尔托后备队,0.99,0.5,科尔多瓦学院后备队,giving,0.83,里奥夸尔托后备队,receiving,0.5,0.99,"{""W"": 0.5028571428571429, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.49714285714285716}",0.0006857142857142895,-0.11900740729483716,-0.09380429355407127,0.0018969558506169992,0.09657271615137003,0.12392519553906145,0.5106,"{""team"": ""科尔多瓦学院后备队"", ""water"": 0.83, ""EV_mean"": -0.09022857142857149, ""EV_p10"": -0.18012095239810672, ""P_EV_gt_0"": 0.097, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""里奥夸尔托后备队"", ""water"": 0.99, ""EV_mean"": 0.0006857142857142895, ""EV_p10"": -0.09412773601634672, ""P_EV_gt_0"": 0.5136, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.50"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_RISE""]",,False,,,,,,,,,
2781224,2026-09-24,2026-09-25T02:30:00+08:00,2026-09-25T02:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260924_225021,2026-09-24T22:51:47.797247+08:00,2026-09-24T22:50:22+08:00,2026-09-24T22:50:22+08:00,0.024,3.637,3.661,False,True,884e3655d35df86980d4,,prior-2026-09-24-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-24T22:51:47.797247+08:00"", ""home_team"": ""圣马力诺U21"", ""away_team"": ""科索沃U21"", ""competition"": ""欧青U21外"", ""home_handicap_signed"": -4.0, ""away_handicap_signed"": 4.0, ""home_water_hk"": 0.93, ""away_water_hk"": 0.83, ""titan_home_handicap_signed"": -4.0, ""titan_away_handicap_signed"": 4.0, ""giving_team"": ""科索沃U21"", ""receiving_team"": ""圣马力诺U21"", ""giving_water"": 0.83, ""receiving_water"": 0.93, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-24T22:50:22+08:00"", ""last_confirmed_at"": ""2026-09-24T22:50:22+08:00"", ""run_id"": ""RUN_20260924_225021""}",欧青U21外,EVALUATED,C,,6cc19caff9ae506e09fb,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,圣马力诺U21,0.93,4.0,科索沃U21,giving,0.83,圣马力诺U21,receiving,4.0,0.93,"{""W"": 0.5, ""HW"": 0.0, ""P"": 0.25, ""HL"": 0.0, ""L"": 0.25}",0.21500000000000002,-0.45045372447789367,-0.29802821808443625,0.23219304256039502,0.6624911405016152,0.7415715543840943,0.723,"{""team"": ""科索沃U21"", ""water"": 0.83, ""EV_mean"": -0.2925, ""EV_p10"": -0.7441187902678065, ""P_EV_gt_0"": 0.2066, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""圣马力诺U21"", ""water"": 0.93, ""EV_mean"": 0.21500000000000002, ""EV_p10"": -0.28849799610342636, ""P_EV_gt_0"": 0.7312, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_4.00"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",,False,,,,,,,,,
3071634,2026-09-24,2026-09-25T02:30:00+08:00,2026-09-25T02:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260924_225021,2026-09-24T22:51:47.797247+08:00,2026-09-24T22:50:22+08:00,2026-09-24T22:50:22+08:00,0.024,3.637,3.661,False,True,58516b9292d8a2449698,,prior-2026-09-24-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-24T22:51:47.797247+08:00"", ""home_team"": ""丹奴比奥"", ""away_team"": ""佩纳罗尔"", ""competition"": ""乌拉杯"", ""home_handicap_signed"": -0.25, ""away_handicap_signed"": 0.25, ""home_water_hk"": 1.05, ""away_water_hk"": 0.77, ""titan_home_handicap_signed"": -0.25, ""titan_away_handicap_signed"": 0.25, ""giving_team"": ""佩纳罗尔"", ""receiving_team"": ""丹奴比奥"", ""giving_water"": 0.77, ""receiving_water"": 1.05, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-24T22:50:22+08:00"", ""last_confirmed_at"": ""2026-09-24T22:50:22+08:00"", ""run_id"": ""RUN_20260924_225021""}",乌拉杯,EVALUATED,C,,58516b9292d8a2449698,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,丹奴比奥,1.05,0.25,佩纳罗尔,giving,0.77,丹奴比奥,receiving,0.25,1.05,"{""W"": 0.2743055555555556, ""HW"": 0.3020833333333333, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4236111111111111}",0.023003472222222265,-0.06277164786248668,-0.044922906192984724,0.02136336966125002,0.08943705247909878,0.1079814089256052,0.6616,"{""team"": ""佩纳罗尔"", ""water"": 0.77, ""EV_mean"": -0.09916666666666665, ""EV_p10"": -0.15636729588040055, ""P_EV_gt_0"": 0.0152, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""丹奴比奥"", ""water"": 1.05, ""EV_mean"": 0.023003472222222265, ""EV_p10"": -0.04558464575374904, ""P_EV_gt_0"": 0.6674, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",,False,,,,,,,,,
2981427,2026-09-24,2026-09-25T02:45:00+08:00,2026-09-25T02:45:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260924_075223,2026-09-24T07:53:30.654466+08:00,2026-09-24T07:52:23+08:00,2026-09-24T07:52:23+08:00,0.019,18.858,18.877,False,True,,,prior-2026-09-24-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-24T07:53:30.654466+08:00"", ""home_team"": ""葡萄牙"", ""away_team"": ""威尔士"", ""competition"": ""欧国联"", ""home_handicap_signed"": 2.0, ""away_handicap_signed"": -2.0, ""home_water_hk"": 1.01, ""away_water_hk"": 0.87, ""titan_home_handicap_signed"": 2.0, ""titan_away_handicap_signed"": -2.0, ""giving_team"": ""葡萄牙"", ""receiving_team"": ""威尔士"", ""giving_water"": 1.01, ""receiving_water"": 0.87, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-24T07:52:23+08:00"", ""last_confirmed_at"": ""2026-09-24T07:52:23+08:00"", ""run_id"": ""RUN_20260924_075223""}",欧国联,EVALUATED,B,,d0163520bd6ccca94d47,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,葡萄牙,1.01,2.0,威尔士,receiving,0.87,葡萄牙,giving,-2.0,1.01,"{""W"": 0.5625, ""HW"": 0.0, ""P"": 0.125, ""HL"": 0.0, ""L"": 0.3125}",0.255625,-0.12876741570785766,-0.032025111220077174,0.26488223198255406,0.5349673159468695,0.6039222313233921,0.877,"{""team"": ""葡萄牙"", ""water"": 1.01, ""EV_mean"": 0.255625, ""EV_p10"": -0.03249904977570078, ""P_EV_gt_0"": 0.8766, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""威尔士"", ""water"": 0.87, ""EV_mean"": -0.290625, ""EV_p10"": -0.5492219653162643, ""P_EV_gt_0"": 0.092, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_2.00"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",True,False,,,,,,,,,
2981476,2026-09-24,2026-09-25T02:45:00+08:00,2026-09-25T02:45:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260924_075223,2026-09-24T07:53:30.654466+08:00,2026-09-24T07:52:23+08:00,2026-09-24T07:52:23+08:00,0.019,18.858,18.877,False,True,,,prior-2026-09-24-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-24T07:53:30.654466+08:00"", ""home_team"": ""科索沃"", ""away_team"": ""爱尔兰"", ""competition"": ""欧国联"", ""home_handicap_signed"": 0.25, ""away_handicap_signed"": -0.25, ""home_water_hk"": 1.11, ""away_water_hk"": 0.78, ""titan_home_handicap_signed"": 0.25, ""titan_away_handicap_signed"": -0.25, ""giving_team"": ""科索沃"", ""receiving_team"": ""爱尔兰"", ""giving_water"": 1.11, ""receiving_water"": 0.78, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-24T07:52:23+08:00"", ""last_confirmed_at"": ""2026-09-24T07:52:23+08:00"", ""run_id"": ""RUN_20260924_075223""}",欧国联,EVALUATED,C,,8d214fcf44cad49753a4,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,科索沃,1.11,0.25,爱尔兰,receiving,0.78,科索沃,giving,-0.25,1.11,"{""W"": 0.4236111111111111, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.3020833333333333, ""L"": 0.2743055555555556}",0.04486111111111113,-0.04853858100189323,-0.027861535228446588,0.043695365358376564,0.11306290270712421,0.13257848070283973,0.7786,"{""team"": ""科索沃"", ""water"": 1.11, ""EV_mean"": 0.04486111111111113, ""EV_p10"": -0.02561301336013705, ""P_EV_gt_0"": 0.7908, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""爱尔兰"", ""water"": 0.78, ""EV_mean"": -0.09184027777777776, ""EV_p10"": -0.1509710226929501, ""P_EV_gt_0"": 0.0264, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",True,False,,,,,,,,,
3001020,2026-09-24,2026-09-25T03:00:00+08:00,2026-09-25T03:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260924_225021,2026-09-24T22:51:47.797247+08:00,2026-09-24T22:50:22+08:00,2026-09-24T22:50:22+08:00,0.024,4.137,4.161,False,True,d6df7f80c27d5ecff6c5,,prior-2026-09-24-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-24T22:51:47.797247+08:00"", ""home_team"": ""科特迪瓦"", ""away_team"": ""加纳"", ""competition"": ""非洲杯"", ""home_handicap_signed"": 0.75, ""away_handicap_signed"": -0.75, ""home_water_hk"": 0.75, ""away_water_hk"": 1.07, ""titan_home_handicap_signed"": 0.75, ""titan_away_handicap_signed"": -0.75, ""giving_team"": ""科特迪瓦"", ""receiving_team"": ""加纳"", ""giving_water"": 0.75, ""receiving_water"": 1.07, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-24T22:50:22+08:00"", ""last_confirmed_at"": ""2026-09-24T22:50:22+08:00"", ""run_id"": ""RUN_20260924_225021""}",非洲杯,EVALUATED,C,,d6df7f80c27d5ecff6c5,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,加纳,1.07,0.75,科特迪瓦,giving,0.75,加纳,receiving,0.75,1.07,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.043416666666666714,-0.09615312543195209,-0.06431819862139171,0.04110863868035372,0.14999618231985817,0.1807515555814953,0.6956,"{""team"": ""科特迪瓦"", ""water"": 0.75, ""EV_mean"": -0.11979166666666663, ""EV_p10"": -0.21271239321752228, ""P_EV_gt_0"": 0.0504, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""加纳"", ""water"": 1.07, ""EV_mean"": 0.043416666666666714, ""EV_p10"": -0.0659173922980193, ""P_EV_gt_0"": 0.6972, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",,False,,,,,,,,,
3091340,2026-09-24,2026-09-25T05:30:00+08:00,2026-09-25T05:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260924_225021,2026-09-24T22:51:47.797247+08:00,2026-09-24T22:50:22+08:00,2026-09-24T22:50:22+08:00,0.024,6.637,6.661,False,True,de7ec2ba7957d7afd0e7,MONITORING_BUCKET,prior-2026-09-24-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-24T22:51:47.797247+08:00"", ""home_team"": ""雷科莱塔<font color=#880000>(中)</font>"", ""away_team"": ""瓜伊利纳"", ""competition"": ""巴拉杯"", ""home_handicap_signed"": 1.25, ""away_handicap_signed"": -1.25, ""home_water_hk"": 0.7, ""away_water_hk"": 1.06, ""titan_home_handicap_signed"": 1.25, ""titan_away_handicap_signed"": -1.25, ""giving_team"": ""雷科莱塔<font color=#880000>(中)</font>"", ""receiving_team"": ""瓜伊利纳"", ""giving_water"": 0.7, ""receiving_water"": 1.06, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-24T22:50:22+08:00"", ""last_confirmed_at"": ""2026-09-24T22:50:22+08:00"", ""run_id"": ""RUN_20260924_225021""}",巴拉杯,EVALUATED,C,,91e6c48759602f7fc8db,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,瓜伊利纳,1.06,1.25,雷科莱塔<font color=#880000>(中)</font>,giving,0.7,瓜伊利纳,receiving,1.25,1.06,"{""W"": 0.2830188679245283, ""HW"": 0.2830188679245283, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4339622641509434}",0.016037735849056545,-0.18725049803841398,-0.14560421998974732,0.015878997239836157,0.17169528273189344,0.2136226913105207,0.5486,"{""team"": ""雷科莱塔<font color=#880000>(中)</font>"", ""water"": 0.7, ""EV_mean"": -0.12075471698113208, ""EV_p10"": -0.2552084450043931, ""P_EV_gt_0"": 0.1188, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""瓜伊利纳"", ""water"": 1.06, ""EV_mean"": 0.016037735849056545, ""EV_p10"": -0.14472290946044308, ""P_EV_gt_0"": 0.5442, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.25"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",,False,,,,,,,,,
