match_id,list_date,kickoff,kickoff_at,model_id,model_version,side_mapping_version,run_id,decision_at,quote_at,last_confirmed_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch,parent_decision_id,monitoring_bucket,prior_snapshot_id,market,competition,analysis_status,grade,rank,decision_id,normalized_intent,intent_source,candidate_side,candidate_team,candidate_water,candidate_handicap,reverse_team,reverse_side,reverse_water,selected_team,selected_side,selected_handicap_signed,selected_water_hk,probabilities,ev_mean,ev_p05,ev_p10,ev_p50,ev_p90,ev_p95,p_ev_positive,diagnostic_giving,diagnostic_receiving,direction_rule_version,reason_codes,real_money,frozen_selection_lock
3094768,2026-09-25,2026-09-25T13:00:00+08:00,2026-09-25T13:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_113223,2026-09-25T11:34:53.768266+08:00,2026-09-25T11:32:23+08:00,2026-09-25T11:32:23+08:00,0.042,1.418,1.46,False,True,d822596bb7937143a410,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T11:34:53.768266+08:00"", ""home_team"": ""乌兹别克斯坦U23<font color=#880000>(中)</font>"", ""away_team"": ""沙特阿拉伯U23"", ""competition"": ""亚运男足"", ""home_handicap_signed"": 0.75, ""away_handicap_signed"": -0.75, ""home_water_hk"": 0.82, ""away_water_hk"": 1.0, ""titan_home_handicap_signed"": 0.75, ""titan_away_handicap_signed"": -0.75, ""giving_team"": ""乌兹别克斯坦U23<font color=#880000>(中)</font>"", ""receiving_team"": ""沙特阿拉伯U23"", ""giving_water"": 0.82, ""receiving_water"": 1.0, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-25T11:32:23+08:00"", ""last_confirmed_at"": ""2026-09-25T11:32:23+08:00"", ""run_id"": ""RUN_20260925_113223""}",亚运男足,EVALUATED,C,,d822596bb7937143a410,阻下/下盘保护,FLAT_LINE_GIVING_WATER_RISE,receiving,沙特阿拉伯U23,1.0,0.75,乌兹别克斯坦U23<font color=#880000>(中)</font>,giving,0.82,沙特阿拉伯U23,receiving,0.75,1.0,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.012500000000000011,-0.12307082577033368,-0.09570546167251773,0.01293766010306846,0.11631347536662909,0.1439754246786746,0.5612,"{""team"": ""乌兹别克斯坦U23<font color=#880000>(中)</font>"", ""water"": 0.82, ""EV_mean"": -0.08975, ""EV_p10"": -0.18371191449940655, ""P_EV_gt_0"": 0.1144, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""沙特阿拉伯U23"", ""water"": 1.0, ""EV_mean"": 0.012500000000000011, ""EV_p10"": -0.09378768558444717, ""P_EV_gt_0"": 0.5546, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_RISE""]",False,
3094456,2026-09-25,2026-09-25T14:00:00+08:00,2026-09-25T14:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_090510,2026-09-25T09:06:45.777321+08:00,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,0.026,4.887,4.914,False,True,,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T09:06:45.777321+08:00"", ""home_team"": ""朝鲜女足(中)"", ""away_team"": ""中国台湾女足"", ""competition"": ""亚运女足"", ""home_handicap_signed"": 4.0, ""away_handicap_signed"": -4.0, ""home_water_hk"": 0.65, ""away_water_hk"": 1.05, ""titan_home_handicap_signed"": 4.0, ""titan_away_handicap_signed"": -4.0, ""giving_team"": ""朝鲜女足(中)"", ""receiving_team"": ""中国台湾女足"", ""giving_water"": 0.65, ""receiving_water"": 1.05, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-25T09:05:11+08:00"", ""last_confirmed_at"": ""2026-09-25T09:05:11+08:00"", ""run_id"": ""RUN_20260925_090510""}",亚运女足,EVALUATED,C,,536725d8afff1226eeab,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,中国台湾女足,1.05,4.0,朝鲜女足(中),giving,0.65,中国台湾女足,receiving,4.0,1.05,"{""W"": 0.5, ""HW"": 0.0, ""P"": 0.25, ""HL"": 0.0, ""L"": 0.25}",0.275,-0.3913386067265781,-0.24547586540390898,0.2986259709815889,0.7505247137947726,0.8480762744854633,0.7612,"{""team"": ""朝鲜女足(中)"", ""water"": 0.65, ""EV_mean"": -0.3375, ""EV_p10"": -0.7505965100824467, ""P_EV_gt_0"": 0.157, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""中国台湾女足"", ""water"": 1.05, ""EV_mean"": 0.275, ""EV_p10"": -0.24869390802246005, ""P_EV_gt_0"": 0.7574, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_4.00"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False,True
3091495,2026-09-25,2026-09-25T18:00:00+08:00,2026-09-25T18:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_090510,2026-09-25T09:06:45.777321+08:00,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,0.026,8.887,8.914,False,True,,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T09:06:45.777321+08:00"", ""home_team"": ""澳大利亚"", ""away_team"": ""巴西"", ""competition"": ""国际友谊"", ""home_handicap_signed"": -1.5, ""away_handicap_signed"": 1.5, ""home_water_hk"": 1.01, ""away_water_hk"": 0.81, ""titan_home_handicap_signed"": -1.5, ""titan_away_handicap_signed"": 1.5, ""giving_team"": ""巴西"", ""receiving_team"": ""澳大利亚"", ""giving_water"": 0.81, ""receiving_water"": 1.01, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-25T09:05:11+08:00"", ""last_confirmed_at"": ""2026-09-25T09:05:11+08:00"", ""run_id"": ""RUN_20260925_090510""}",国际友谊,EVALUATED,C,,8d0939bc91ff83877264,真实示强/阻上,MARKET_MOVE_LINE_STRENGTH_WITH_GIVING_RESISTANCE,giving,巴西,0.81,1.5,澳大利亚,receiving,1.01,巴西,giving,-1.5,0.81,"{""W"": 0.59375, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.40625}",0.07468750000000002,-0.18828229127153695,-0.13239862681434095,0.07381990571025182,0.2776063633731883,0.3284212727646789,0.6804,"{""team"": ""巴西"", ""water"": 0.81, ""EV_mean"": 0.07468750000000002, ""EV_p10"": -0.1277338733796794, ""P_EV_gt_0"": 0.688, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""澳大利亚"", ""water"": 1.01, ""EV_mean"": -0.18343749999999998, ""EV_p10"": -0.40051640893009094, ""P_EV_gt_0"": 0.1408, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.50"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_LINE_STRENGTH_WITH_GIVING_RESISTANCE""]",False,True
3094769,2026-09-25,2026-09-25T18:30:00+08:00,2026-09-25T18:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_090510,2026-09-25T09:06:45.777321+08:00,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,0.026,9.387,9.414,False,True,,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T09:06:45.777321+08:00"", ""home_team"": ""韩国U23(中)"", ""away_team"": ""越南U23"", ""competition"": ""亚运男足"", ""home_handicap_signed"": 2.25, ""away_handicap_signed"": -2.25, ""home_water_hk"": 0.89, ""away_water_hk"": 0.93, ""titan_home_handicap_signed"": 2.25, ""titan_away_handicap_signed"": -2.25, ""giving_team"": ""韩国U23(中)"", ""receiving_team"": ""越南U23"", ""giving_water"": 0.89, ""receiving_water"": 0.93, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-25T09:05:11+08:00"", ""last_confirmed_at"": ""2026-09-25T09:05:11+08:00"", ""run_id"": ""RUN_20260925_090510""}",亚运男足,EVALUATED,C,,482aff3c445a3822cf53,真实示强/阻上,MARKET_MOVE_LINE_STRENGTH_WITH_GIVING_RESISTANCE,giving,韩国U23(中),0.89,2.25,越南U23,receiving,0.93,韩国U23(中),giving,-2.25,0.89,"{""W"": 0.5, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.2222222222222222, ""L"": 0.2777777777777778}",0.05611111111111111,-0.2744089314329005,-0.1983472626062105,0.05968728373328219,0.3033247304180253,0.370865602162041,0.6194,"{""team"": ""韩国U23(中)"", ""water"": 0.89, ""EV_mean"": 0.05611111111111111, ""EV_p10"": -0.19665782244093744, ""P_EV_gt_0"": 0.615, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""越南U23"", ""water"": 0.93, ""EV_mean"": -0.1383333333333333, ""EV_p10"": -0.41164360103617315, ""P_EV_gt_0"": 0.2434, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_2.25"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_LINE_STRENGTH_WITH_GIVING_RESISTANCE""]",False,True
3001113,2026-09-25,2026-09-25T21:00:00+08:00,2026-09-25T21:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_113223,2026-09-25T11:34:53.768266+08:00,2026-09-25T11:32:23+08:00,2026-09-25T11:32:23+08:00,0.042,9.418,9.46,False,True,6f6997e83e11b46d9f23,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T11:34:53.768266+08:00"", ""home_team"": ""莫桑比克"", ""away_team"": ""塞内加尔"", ""competition"": ""非洲杯"", ""home_handicap_signed"": -1.5, ""away_handicap_signed"": 1.5, ""home_water_hk"": 0.84, ""away_water_hk"": 0.92, ""titan_home_handicap_signed"": -1.5, ""titan_away_handicap_signed"": 1.5, ""giving_team"": ""塞内加尔"", ""receiving_team"": ""莫桑比克"", ""giving_water"": 0.92, ""receiving_water"": 0.84, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-25T11:32:23+08:00"", ""last_confirmed_at"": ""2026-09-25T11:32:23+08:00"", ""run_id"": ""RUN_20260925_113223""}",非洲杯,EVALUATED,C,,aa5d7d6c772a0dcc1882,降温保护/诱下,MARKET_MOVE_SHALLOWER_WITH_GIVING_WATER_DROP,giving,塞内加尔,0.92,1.5,莫桑比克,receiving,0.84,塞内加尔,giving,-1.5,0.92,"{""W"": 0.59375, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.40625}",0.14,-0.1334930718904464,-0.06972824769380642,0.14257619548709366,0.3525768256824002,0.40443063441706667,0.8026,"{""team"": ""塞内加尔"", ""water"": 0.92, ""EV_mean"": 0.14, ""EV_p10"": -0.07191389072608106, ""P_EV_gt_0"": 0.7998, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""莫桑比克"", ""water"": 0.84, ""EV_mean"": -0.2525, ""EV_p10"": -0.45883202483183705, ""P_EV_gt_0"": 0.0588, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.50"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_SHALLOWER_WITH_GIVING_WATER_DROP""]",False,
3054220,2026-09-25,2026-09-25T21:00:00+08:00,2026-09-25T21:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_113223,2026-09-25T11:34:53.768266+08:00,2026-09-25T11:32:23+08:00,2026-09-25T11:32:23+08:00,0.042,9.418,9.46,False,True,f6f669c001c1ae4745c9,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T11:34:53.768266+08:00"", ""home_team"": ""巴黎圣日耳曼U19"", ""away_team"": ""卡昂U19"", ""competition"": ""法U19"", ""home_handicap_signed"": 1.0, ""away_handicap_signed"": -1.0, ""home_water_hk"": 0.81, ""away_water_hk"": 0.89, ""titan_home_handicap_signed"": 1.0, ""titan_away_handicap_signed"": -1.0, ""giving_team"": ""巴黎圣日耳曼U19"", ""receiving_team"": ""卡昂U19"", ""giving_water"": 0.81, ""receiving_water"": 0.89, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-25T11:32:23+08:00"", ""last_confirmed_at"": ""2026-09-25T11:32:23+08:00"", ""run_id"": ""RUN_20260925_113223""}",法U19,EVALUATED,C,,92ee38cc1634bf47bb11,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,卡昂U19,0.89,1.0,巴黎圣日耳曼U19,giving,0.81,卡昂U19,receiving,1.0,0.89,"{""W"": 0.42105263157894735, ""HW"": 0.0, ""P"": 0.2236842105263158, ""HL"": 0.0, ""L"": 0.35526315789473684}",0.01947368421052631,-0.13458304764027001,-0.09728003766115478,0.025830986019270086,0.13972938660857875,0.17075838581265396,0.6062,"{""team"": ""巴黎圣日耳曼U19"", ""water"": 0.81, ""EV_mean"": -0.1332894736842105, ""EV_p10"": -0.2502200147020571, ""P_EV_gt_0"": 0.0678, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""卡昂U19"", ""water"": 0.89, ""EV_mean"": 0.01947368421052631, ""EV_p10"": -0.10060047295553204, ""P_EV_gt_0"": 0.5824, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.00"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False,
3088941,2026-09-25,2026-09-25T21:00:00+08:00,2026-09-25T21:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_090510,2026-09-25T09:06:45.777321+08:00,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,0.026,11.887,11.914,False,True,,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T09:06:45.777321+08:00"", ""home_team"": ""印度尼西亚"", ""away_team"": ""新加坡"", ""competition"": ""东盟杯"", ""home_handicap_signed"": 2.0, ""away_handicap_signed"": -2.0, ""home_water_hk"": 0.84, ""away_water_hk"": 0.98, ""titan_home_handicap_signed"": 2.0, ""titan_away_handicap_signed"": -2.0, ""giving_team"": ""印度尼西亚"", ""receiving_team"": ""新加坡"", ""giving_water"": 0.84, ""receiving_water"": 0.98, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-25T09:05:11+08:00"", ""last_confirmed_at"": ""2026-09-25T09:05:11+08:00"", ""run_id"": ""RUN_20260925_090510""}",东盟杯,EVALUATED,C,,ae1f576b9ade1b7f0ad1,降温保护/诱下,MARKET_MOVE_SHALLOWER_WITH_GIVING_WATER_DROP,giving,印度尼西亚,0.84,2.0,新加坡,receiving,0.98,印度尼西亚,giving,-2.0,0.84,"{""W"": 0.5625, ""HW"": 0.0, ""P"": 0.125, ""HL"": 0.0, ""L"": 0.3125}",0.15999999999999998,-0.18647613109750316,-0.1023029692739198,0.17800590871303526,0.4189581088461658,0.47873231628319896,0.789,"{""team"": ""印度尼西亚"", ""water"": 0.84, ""EV_mean"": 0.15999999999999998, ""EV_p10"": -0.1111309839295026, ""P_EV_gt_0"": 0.786, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""新加坡"", ""water"": 0.98, ""EV_mean"": -0.25625, ""EV_p10"": -0.531396934878737, ""P_EV_gt_0"": 0.1296, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_2.00"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_SHALLOWER_WITH_GIVING_WATER_DROP""]",False,True
3092996,2026-09-25,2026-09-25T21:30:00+08:00,2026-09-25T21:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_113223,2026-09-25T11:34:53.768266+08:00,2026-09-25T11:32:23+08:00,2026-09-25T11:32:23+08:00,0.042,9.918,9.96,False,True,7f3d119b3514296c2aef,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T11:34:53.768266+08:00"", ""home_team"": ""特萨纳体育"", ""away_team"": ""巴拉蒂耶"", ""competition"": ""埃及甲"", ""home_handicap_signed"": 0.25, ""away_handicap_signed"": -0.25, ""home_water_hk"": 1.02, ""away_water_hk"": 0.68, ""titan_home_handicap_signed"": 0.25, ""titan_away_handicap_signed"": -0.25, ""giving_team"": ""特萨纳体育"", ""receiving_team"": ""巴拉蒂耶"", ""giving_water"": 1.02, ""receiving_water"": 0.68, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-25T11:32:23+08:00"", ""last_confirmed_at"": ""2026-09-25T11:32:23+08:00"", ""run_id"": ""RUN_20260925_113223""}",埃及甲,EVALUATED,C,,fe46081390e380f5dc90,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,特萨纳体育,1.02,0.25,巴拉蒂耶,receiving,0.68,特萨纳体育,giving,-0.25,1.02,"{""W"": 0.4236111111111111, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.3020833333333333, ""L"": 0.2743055555555556}",0.006736111111111054,-0.07890281738522997,-0.05893863442613323,0.006329513485549387,0.07546471754717968,0.09342844812218018,0.5456,"{""team"": ""特萨纳体育"", ""water"": 1.02, ""EV_mean"": 0.006736111111111054, ""EV_p10"": -0.058883480531769616, ""P_EV_gt_0"": 0.5422, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""巴拉蒂耶"", ""water"": 0.68, ""EV_mean"": -0.13437499999999997, ""EV_p10"": -0.1901637593265268, ""P_EV_gt_0"": 0.0012, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",False,
2781253,2026-09-25,2026-09-25T23:30:00+08:00,2026-09-25T23:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_090510,2026-09-25T09:06:45.777321+08:00,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,0.026,14.387,14.414,False,True,,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T09:06:45.777321+08:00"", ""home_team"": ""保加利亚U21"", ""away_team"": ""葡萄牙U21"", ""competition"": ""欧青U21外"", ""home_handicap_signed"": -2.0, ""away_handicap_signed"": 2.0, ""home_water_hk"": 0.92, ""away_water_hk"": 0.9, ""titan_home_handicap_signed"": -2.0, ""titan_away_handicap_signed"": 2.0, ""giving_team"": ""葡萄牙U21"", ""receiving_team"": ""保加利亚U21"", ""giving_water"": 0.9, ""receiving_water"": 0.92, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-25T09:05:11+08:00"", ""last_confirmed_at"": ""2026-09-25T09:05:11+08:00"", ""run_id"": ""RUN_20260925_090510""}",欧青U21外,EVALUATED,C,,fdfd690a093ab9981c08,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,葡萄牙U21,0.9,2.0,保加利亚U21,receiving,0.92,葡萄牙U21,giving,-2.0,0.9,"{""W"": 0.5625, ""HW"": 0.0, ""P"": 0.125, ""HL"": 0.0, ""L"": 0.3125}",0.19374999999999998,-0.15748400487237257,-0.0741122791930457,0.20650678281856577,0.4578329087682851,0.5219940482563201,0.8254,"{""team"": ""葡萄牙U21"", ""water"": 0.9, ""EV_mean"": 0.19374999999999998, ""EV_p10"": -0.08047657686405685, ""P_EV_gt_0"": 0.8224, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""保加利亚U21"", ""water"": 0.92, ""EV_mean"": -0.27499999999999997, ""EV_p10"": -0.5483649180177483, ""P_EV_gt_0"": 0.0964, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_2.00"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",False,True
2921942,2026-09-25,2026-09-25T23:30:00+08:00,2026-09-25T23:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_090510,2026-09-25T09:06:45.777321+08:00,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,0.026,14.387,14.414,False,True,,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T09:06:45.777321+08:00"", ""home_team"": ""科特卡"", ""away_team"": ""MP米克力"", ""competition"": ""芬甲"", ""home_handicap_signed"": 1.5, ""away_handicap_signed"": -1.5, ""home_water_hk"": 1.04, ""away_water_hk"": 0.84, ""titan_home_handicap_signed"": 1.5, ""titan_away_handicap_signed"": -1.5, ""giving_team"": ""科特卡"", ""receiving_team"": ""MP米克力"", ""giving_water"": 1.04, ""receiving_water"": 0.84, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-25T09:05:11+08:00"", ""last_confirmed_at"": ""2026-09-25T09:05:11+08:00"", ""run_id"": ""RUN_20260925_090510""}",芬甲,EVALUATED,B,,4c38404577e474e965c9,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,科特卡,1.04,1.5,MP米克力,receiving,0.84,科特卡,giving,-1.5,1.04,"{""W"": 0.59375, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.40625}",0.21125000000000005,-0.08916075676248769,-0.020384160317175326,0.2125781611977255,0.4311232543609605,0.485432886218651,0.8772,"{""team"": ""科特卡"", ""water"": 1.04, ""EV_mean"": 0.21125000000000005, ""EV_p10"": -0.015367008075439892, ""P_EV_gt_0"": 0.887, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""MP米克力"", ""water"": 0.84, ""EV_mean"": -0.2525, ""EV_p10"": -0.4491239940776523, ""P_EV_gt_0"": 0.0642, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.50"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",False,True
