match_id,list_date,kickoff,kickoff_at,model_id,model_version,side_mapping_version,run_id,decision_at,quote_at,last_confirmed_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch,parent_decision_id,monitoring_bucket,prior_snapshot_id,market,competition,analysis_status,grade,rank,decision_id,normalized_intent,intent_source,candidate_side,candidate_team,candidate_water,candidate_handicap,reverse_team,reverse_side,reverse_water,selected_team,selected_side,selected_handicap_signed,selected_water_hk,probabilities,ev_mean,ev_p05,ev_p10,ev_p50,ev_p90,ev_p95,p_ev_positive,diagnostic_giving,diagnostic_receiving,direction_rule_version,reason_codes,real_money,frozen_selection_lock
3094768,2026-09-25,2026-09-25T13:00:00+08:00,2026-09-25T13:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_113223,2026-09-25T11:34:53.768266+08:00,2026-09-25T11:32:23+08:00,2026-09-25T11:32:23+08:00,0.042,1.418,1.46,False,True,d822596bb7937143a410,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T11:34:53.768266+08:00"", ""home_team"": ""乌兹别克斯坦U23<font color=#880000>(中)</font>"", ""away_team"": ""沙特阿拉伯U23"", ""competition"": ""亚运男足"", ""home_handicap_signed"": 0.75, ""away_handicap_signed"": -0.75, ""home_water_hk"": 0.82, ""away_water_hk"": 1.0, ""titan_home_handicap_signed"": 0.75, ""titan_away_handicap_signed"": -0.75, ""giving_team"": ""乌兹别克斯坦U23<font color=#880000>(中)</font>"", ""receiving_team"": ""沙特阿拉伯U23"", ""giving_water"": 0.82, ""receiving_water"": 1.0, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-25T11:32:23+08:00"", ""last_confirmed_at"": ""2026-09-25T11:32:23+08:00"", ""run_id"": ""RUN_20260925_113223""}",亚运男足,EVALUATED,C,,d822596bb7937143a410,阻下/下盘保护,FLAT_LINE_GIVING_WATER_RISE,receiving,沙特阿拉伯U23,1.0,0.75,乌兹别克斯坦U23<font color=#880000>(中)</font>,giving,0.82,沙特阿拉伯U23,receiving,0.75,1.0,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.012500000000000011,-0.12307082577033368,-0.09570546167251773,0.01293766010306846,0.11631347536662909,0.1439754246786746,0.5612,"{""team"": ""乌兹别克斯坦U23<font color=#880000>(中)</font>"", ""water"": 0.82, ""EV_mean"": -0.08975, ""EV_p10"": -0.18371191449940655, ""P_EV_gt_0"": 0.1144, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""沙特阿拉伯U23"", ""water"": 1.0, ""EV_mean"": 0.012500000000000011, ""EV_p10"": -0.09378768558444717, ""P_EV_gt_0"": 0.5546, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_RISE""]",False,
3094899,2026-09-25,2026-09-25T13:30:00+08:00,2026-09-25T13:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_113223,2026-09-25T11:34:53.768266+08:00,2026-09-25T11:32:23+08:00,2026-09-25T11:32:23+08:00,0.042,1.918,1.96,False,False,886753788eb74d34f956,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T11:34:53.768266+08:00"", ""home_team"": ""班加罗尔城"", ""away_team"": ""科达古FC"", ""competition"": ""印班超"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-25T11:32:23+08:00"", ""last_confirmed_at"": ""2026-09-25T11:32:23+08:00"", ""run_id"": ""RUN_20260925_113223""}",印班超,MISSING_DATA,,,6542ccc2d3d936f1734b,,,,,,,,,,,,,,,,,,,,,,,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",False,
3094833,2026-09-25,2026-09-25T13:30:00+08:00,2026-09-25T13:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_113223,2026-09-25T11:34:53.768266+08:00,2026-09-25T11:32:23+08:00,2026-09-25T11:32:23+08:00,0.042,1.918,1.96,False,False,2e51d9e13064b7733167,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T11:34:53.768266+08:00"", ""home_team"": ""江苏U15"", ""away_team"": ""河南实验U15"", ""competition"": ""钱潮杯"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-25T11:32:23+08:00"", ""last_confirmed_at"": ""2026-09-25T11:32:23+08:00"", ""run_id"": ""RUN_20260925_113223""}",钱潮杯,MISSING_DATA,,,1ac4957103406052e1b2,,,,,,,,,,,,,,,,,,,,,,,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",False,
3094456,2026-09-25,2026-09-25T14:00:00+08:00,2026-09-25T14:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_090510,2026-09-25T09:06:45.777321+08:00,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,0.026,4.887,4.914,False,True,,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T09:06:45.777321+08:00"", ""home_team"": ""朝鲜女足(中)"", ""away_team"": ""中国台湾女足"", ""competition"": ""亚运女足"", ""home_handicap_signed"": 4.0, ""away_handicap_signed"": -4.0, ""home_water_hk"": 0.65, ""away_water_hk"": 1.05, ""titan_home_handicap_signed"": 4.0, ""titan_away_handicap_signed"": -4.0, ""giving_team"": ""朝鲜女足(中)"", ""receiving_team"": ""中国台湾女足"", ""giving_water"": 0.65, ""receiving_water"": 1.05, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-25T09:05:11+08:00"", ""last_confirmed_at"": ""2026-09-25T09:05:11+08:00"", ""run_id"": ""RUN_20260925_090510""}",亚运女足,EVALUATED,C,,536725d8afff1226eeab,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,中国台湾女足,1.05,4.0,朝鲜女足(中),giving,0.65,中国台湾女足,receiving,4.0,1.05,"{""W"": 0.5, ""HW"": 0.0, ""P"": 0.25, ""HL"": 0.0, ""L"": 0.25}",0.275,-0.3913386067265781,-0.24547586540390898,0.2986259709815889,0.7505247137947726,0.8480762744854633,0.7612,"{""team"": ""朝鲜女足(中)"", ""water"": 0.65, ""EV_mean"": -0.3375, ""EV_p10"": -0.7505965100824467, ""P_EV_gt_0"": 0.157, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""中国台湾女足"", ""water"": 1.05, ""EV_mean"": 0.275, ""EV_p10"": -0.24869390802246005, ""P_EV_gt_0"": 0.7574, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_4.00"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False,True
3094457,2026-09-25,2026-09-25T14:00:00+08:00,2026-09-25T14:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_113223,2026-09-25T11:34:53.768266+08:00,2026-09-25T11:32:23+08:00,2026-09-25T11:32:23+08:00,0.042,2.418,2.46,False,True,a1c423a1618b46188e0a,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T11:34:53.768266+08:00"", ""home_team"": ""中国女足<font color=#880000>(中)</font>"", ""away_team"": ""越南女足"", ""competition"": ""亚运女足"", ""home_handicap_signed"": 3.25, ""away_handicap_signed"": -3.25, ""home_water_hk"": 1.12, ""away_water_hk"": 0.65, ""titan_home_handicap_signed"": 3.25, ""titan_away_handicap_signed"": -3.25, ""giving_team"": ""中国女足<font color=#880000>(中)</font>"", ""receiving_team"": ""越南女足"", ""giving_water"": 1.12, ""receiving_water"": 0.65, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-25T11:32:23+08:00"", ""last_confirmed_at"": ""2026-09-25T11:32:23+08:00"", ""run_id"": ""RUN_20260925_113223""}",亚运女足,EVALUATED,N,,a1c423a1618b46188e0a,诱上/阻下,MARKET_MOVE_SHALLOWER_WITH_GIVING_WATER_RESISTANCE,receiving,越南女足,0.65,3.25,中国女足<font color=#880000>(中)</font>,giving,1.12,越南女足,receiving,3.25,0.65,"{""W"": 0.40854472630173566, ""HW"": 0.13885180240320427, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.45260347129506007}",-0.1419225634178905,-0.1894176469721987,-0.1787970256780959,-0.1415876011188847,-0.10512237915658851,-0.0941313695230504,0.0,"{""team"": ""中国女足<font color=#880000>(中)</font>"", ""water"": 1.12, ""EV_mean"": 0.028945260347129576, ""EV_p10"": -0.017401640498367843, ""P_EV_gt_0"": 0.7834, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""越南女足"", ""water"": 0.65, ""EV_mean"": -0.1419225634178905, ""EV_p10"": -0.1798279770130548, ""P_EV_gt_0"": 0.0, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_GLOBAL"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_SHALLOWER_WITH_GIVING_WATER_RESISTANCE""]",False,
3095158,2026-09-25,2026-09-25T14:45:00+08:00,2026-09-25T14:45:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_113223,2026-09-25T11:34:53.768266+08:00,2026-09-25T11:32:23+08:00,2026-09-25T11:32:23+08:00,0.042,3.168,3.21,False,False,14f8788cd2a1d90cacc5,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T11:34:53.768266+08:00"", ""home_team"": ""林蒂SC"", ""away_team"": ""米利姆SC"", ""competition"": ""印西隆联"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-25T11:32:23+08:00"", ""last_confirmed_at"": ""2026-09-25T11:32:23+08:00"", ""run_id"": ""RUN_20260925_113223""}",印西隆联,MISSING_DATA,,,198fa856b3919352ea5c,,,,,,,,,,,,,,,,,,,,,,,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",False,
3095114,2026-09-25,2026-09-25T15:00:00+08:00,2026-09-25T15:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_113223,2026-09-25T11:34:53.768266+08:00,2026-09-25T11:32:23+08:00,2026-09-25T11:32:23+08:00,0.042,3.418,3.46,False,False,dc06e101408d5e33fdba,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T11:34:53.768266+08:00"", ""home_team"": ""江西庐山U21"", ""away_team"": ""青岛西海岸U21"", ""competition"": ""中U21"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-25T11:32:23+08:00"", ""last_confirmed_at"": ""2026-09-25T11:32:23+08:00"", ""run_id"": ""RUN_20260925_113223""}",中U21,MISSING_DATA,,,5d62bb75a6c54c072f2f,,,,,,,,,,,,,,,,,,,,,,,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",False,
3095115,2026-09-25,2026-09-25T15:00:00+08:00,2026-09-25T15:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_113223,2026-09-25T11:34:53.768266+08:00,2026-09-25T11:32:23+08:00,2026-09-25T11:32:23+08:00,0.042,3.418,3.46,False,False,a81758d44402d611184e,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T11:34:53.768266+08:00"", ""home_team"": ""青岛海牛U21"", ""away_team"": ""宁波俱乐部U21"", ""competition"": ""中U21"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-25T11:32:23+08:00"", ""last_confirmed_at"": ""2026-09-25T11:32:23+08:00"", ""run_id"": ""RUN_20260925_113223""}",中U21,MISSING_DATA,,,bf077f333ce79bd6b320,,,,,,,,,,,,,,,,,,,,,,,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",False,
3095116,2026-09-25,2026-09-25T15:00:00+08:00,2026-09-25T15:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_113223,2026-09-25T11:34:53.768266+08:00,2026-09-25T11:32:23+08:00,2026-09-25T11:32:23+08:00,0.042,3.418,3.46,False,False,a64c47d7c2e7e142ec98,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T11:34:53.768266+08:00"", ""home_team"": ""云南玉昆U21"", ""away_team"": ""辽宁铁人U21"", ""competition"": ""中U21"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-25T11:32:23+08:00"", ""last_confirmed_at"": ""2026-09-25T11:32:23+08:00"", ""run_id"": ""RUN_20260925_113223""}",中U21,MISSING_DATA,,,d48b0b1a70f86a6cee71,,,,,,,,,,,,,,,,,,,,,,,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",False,
3089933,2026-09-25,2026-09-25T15:00:00+08:00,2026-09-25T15:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260925_113223,2026-09-25T11:34:53.768266+08:00,2026-09-25T11:32:23+08:00,2026-09-25T11:32:23+08:00,0.042,3.418,3.46,False,False,b899ed27c68652ea0bd1,,prior-2026-09-25-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-25T11:34:53.768266+08:00"", ""home_team"": ""梁平运虹队"", ""away_team"": ""合川钓鱼城队"", ""competition"": ""渝超"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-25T11:32:23+08:00"", ""last_confirmed_at"": ""2026-09-25T11:32:23+08:00"", ""run_id"": ""RUN_20260925_113223""}",渝超,MISSING_DATA,,,9356f2ee44fe757b89cf,,,,,,,,,,,,,,,,,,,,,,,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",False,
