match_id,list_date,kickoff,kickoff_at,model_id,model_version,side_mapping_version,run_id,decision_at,quote_at,last_confirmed_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch,parent_decision_id,monitoring_bucket,prior_snapshot_id,market,competition,analysis_status,grade,rank,decision_id,normalized_intent,intent_source,candidate_side,candidate_team,candidate_water,candidate_handicap,reverse_team,reverse_side,reverse_water,selected_team,selected_side,selected_handicap_signed,selected_water_hk,probabilities,ev_mean,ev_p05,ev_p10,ev_p50,ev_p90,ev_p95,p_ev_positive,diagnostic_giving,diagnostic_receiving,direction_rule_version,reason_codes,real_money
3092292,2026-09-26,2026-09-26T10:30:00+08:00,2026-09-26T10:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,1.42,1.484,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""威灵顿凤凰后备队"", ""away_team"": ""奥克兰联"", ""competition"": ""新西兰联"", ""home_handicap_signed"": -1.0, ""away_handicap_signed"": 1.0, ""home_water_hk"": 1.04, ""away_water_hk"": 0.78, ""titan_home_handicap_signed"": -1.0, ""titan_away_handicap_signed"": 1.0, ""giving_team"": ""奥克兰联"", ""receiving_team"": ""威灵顿凤凰后备队"", ""giving_water"": 0.78, ""receiving_water"": 1.04, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",新西兰联,EVALUATED,C,,cf6188002893838a3cb0,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,威灵顿凤凰后备队,1.04,1.0,奥克兰联,giving,0.78,威灵顿凤凰后备队,receiving,1.0,1.04,"{""W"": 0.42105263157894735, ""HW"": 0.0, ""P"": 0.2236842105263158, ""HL"": 0.0, ""L"": 0.35526315789473684}",0.08263157894736844,-0.08280684318275183,-0.04683150205401426,0.08284170171733024,0.21600348172244765,0.2492435416860679,0.7918,"{""team"": ""奥克兰联"", ""water"": 0.78, ""EV_mean"": -0.1439473684210526, ""EV_p10"": -0.25701523919133795, ""P_EV_gt_0"": 0.0562, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""威灵顿凤凰后备队"", ""water"": 1.04, ""EV_mean"": 0.08263157894736844, ""EV_p10"": -0.053408225291111056, ""P_EV_gt_0"": 0.7814, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.00"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
3092293,2026-09-26,2026-09-26T11:30:00+08:00,2026-09-26T11:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,2.42,2.484,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""菲利米德海湾"", ""away_team"": ""伊斯特恩沙伯奥克兰"", ""competition"": ""新西兰联"", ""home_handicap_signed"": -0.75, ""away_handicap_signed"": 0.75, ""home_water_hk"": 1.01, ""away_water_hk"": 0.81, ""titan_home_handicap_signed"": -0.75, ""titan_away_handicap_signed"": 0.75, ""giving_team"": ""伊斯特恩沙伯奥克兰"", ""receiving_team"": ""菲利米德海湾"", ""giving_water"": 0.81, ""receiving_water"": 1.01, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",新西兰联,EVALUATED,C,,627abb6d33fd7b2a6391,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,菲利米德海湾,1.01,0.75,伊斯特恩沙伯奥克兰,giving,0.81,菲利米德海湾,receiving,0.75,1.01,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.016916666666666635,-0.11676185014399332,-0.0881671874906762,0.016655758091513984,0.12190711091803741,0.14910892584795718,0.5804,"{""team"": ""伊斯特恩沙伯奥克兰"", ""water"": 0.81, ""EV_mean"": -0.09404166666666663, ""EV_p10"": -0.18973566132954006, ""P_EV_gt_0"": 0.1082, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""菲利米德海湾"", ""water"": 1.01, ""EV_mean"": 0.016916666666666635, ""EV_p10"": -0.08614500436133543, ""P_EV_gt_0"": 0.5872, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
3001194,2026-09-26,2026-09-26T12:00:00+08:00,2026-09-26T12:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,2.92,2.984,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""金泽"", ""away_team"": ""鸟取飞翔"", ""competition"": ""日职丙"", ""home_handicap_signed"": 0.5, ""away_handicap_signed"": -0.5, ""home_water_hk"": 0.7, ""away_water_hk"": 1.06, ""titan_home_handicap_signed"": 0.5, ""titan_away_handicap_signed"": -0.5, ""giving_team"": ""金泽"", ""receiving_team"": ""鸟取飞翔"", ""giving_water"": 0.7, ""receiving_water"": 1.06, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",日职丙,EVALUATED,C,,bbe300c96af00e2606dc,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,鸟取飞翔,1.06,0.5,金泽,giving,0.7,鸟取飞翔,receiving,0.5,1.06,"{""W"": 0.5028571428571429, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.49714285714285716}",0.035885714285714354,-0.0919137669111586,-0.06357793147836033,0.03707336886863016,0.1350406440895957,0.16235621854722465,0.681,"{""team"": ""金泽"", ""water"": 0.7, ""EV_mean"": -0.15485714285714292, ""EV_p10"": -0.2389634554139703, ""P_EV_gt_0"": 0.0076, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""鸟取飞翔"", ""water"": 1.06, ""EV_mean"": 0.035885714285714354, ""EV_p10"": -0.06624687070122276, ""P_EV_gt_0"": 0.6698, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.50"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
2956834,2026-09-26,2026-09-26T12:00:00+08:00,2026-09-26T12:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,2.92,2.984,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""日本体育大学女足"", ""away_team"": ""横滨海鸥女足"", ""competition"": ""日职女甲"", ""home_handicap_signed"": -0.75, ""away_handicap_signed"": 0.75, ""home_water_hk"": 1.06, ""away_water_hk"": 0.7, ""titan_home_handicap_signed"": -0.75, ""titan_away_handicap_signed"": 0.75, ""giving_team"": ""横滨海鸥女足"", ""receiving_team"": ""日本体育大学女足"", ""giving_water"": 0.7, ""receiving_water"": 1.06, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",日职女甲,EVALUATED,C,,a79c1d33cd486f501866,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,日本体育大学女足,1.06,0.75,横滨海鸥女足,giving,0.7,日本体育大学女足,receiving,0.75,1.06,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.03899999999999998,-0.09749272699275136,-0.0685962834089412,0.03735424220766004,0.14781542665211228,0.18028875241366613,0.6724,"{""team"": ""横滨海鸥女足"", ""water"": 0.7, ""EV_mean"": -0.14125, ""EV_p10"": -0.23376653563895816, ""P_EV_gt_0"": 0.0164, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""日本体育大学女足"", ""water"": 1.06, ""EV_mean"": 0.03899999999999998, ""EV_p10"": -0.07205325306790833, ""P_EV_gt_0"": 0.6778, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
3071099,2026-09-26,2026-09-26T13:30:00+08:00,2026-09-26T13:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,4.42,4.484,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""平田町"", ""away_team"": ""VONDS市原"", ""competition"": ""日足联"", ""home_handicap_signed"": 0.25, ""away_handicap_signed"": -0.25, ""home_water_hk"": 0.7, ""away_water_hk"": 1.06, ""titan_home_handicap_signed"": 0.25, ""titan_away_handicap_signed"": -0.25, ""giving_team"": ""平田町"", ""receiving_team"": ""VONDS市原"", ""giving_water"": 0.7, ""receiving_water"": 1.06, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",日足联,EVALUATED,C,,36a5781107d84505c465,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,VONDS市原,1.06,0.25,平田町,giving,0.7,VONDS市原,receiving,0.25,1.06,"{""W"": 0.2743055555555556, ""HW"": 0.3020833333333333, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4236111111111111}",0.027256944444444486,-0.06404625782932188,-0.04307862573371796,0.027137308190022857,0.09283535740742122,0.11150570375696373,0.6918,"{""team"": ""平田町"", ""water"": 0.7, ""EV_mean"": -0.12881944444444446, ""EV_p10"": -0.18365261565314667, ""P_EV_gt_0"": 0.0008, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""VONDS市原"", ""water"": 1.06, ""EV_mean"": 0.027256944444444486, ""EV_p10"": -0.03922990152185685, ""P_EV_gt_0"": 0.7092, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
3000083,2026-09-26,2026-09-26T16:00:00+08:00,2026-09-26T16:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,6.92,6.984,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""秋田蓝色闪电"", ""away_team"": ""新泻天鹅"", ""competition"": ""日职乙"", ""home_handicap_signed"": 0.25, ""away_handicap_signed"": -0.25, ""home_water_hk"": 1.09, ""away_water_hk"": 0.79, ""titan_home_handicap_signed"": 0.25, ""titan_away_handicap_signed"": -0.25, ""giving_team"": ""秋田蓝色闪电"", ""receiving_team"": ""新泻天鹅"", ""giving_water"": 1.09, ""receiving_water"": 0.79, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",日职乙,EVALUATED,C,,dba611843541f467d46f,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,秋田蓝色闪电,1.09,0.25,新泻天鹅,receiving,0.79,秋田蓝色闪电,giving,-0.25,1.09,"{""W"": 0.4236111111111111, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.3020833333333333, ""L"": 0.2743055555555556}",0.036388888888888915,-0.054652208400648494,-0.03390616795797741,0.035438051847117624,0.10465367100097914,0.12459511461580042,0.7438,"{""team"": ""秋田蓝色闪电"", ""water"": 1.09, ""EV_mean"": 0.036388888888888915, ""EV_p10"": -0.031508488885207186, ""P_EV_gt_0"": 0.7468, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""新泻天鹅"", ""water"": 0.79, ""EV_mean"": -0.08758680555555548, ""EV_p10"": -0.14661049509462565, ""P_EV_gt_0"": 0.0286, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",False
3000085,2026-09-26,2026-09-26T16:00:00+08:00,2026-09-26T16:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,6.92,6.984,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""磐城FC"", ""away_team"": ""仙台维加泰"", ""competition"": ""日职乙"", ""home_handicap_signed"": -0.25, ""away_handicap_signed"": 0.25, ""home_water_hk"": 1.03, ""away_water_hk"": 0.85, ""titan_home_handicap_signed"": -0.25, ""titan_away_handicap_signed"": 0.25, ""giving_team"": ""仙台维加泰"", ""receiving_team"": ""磐城FC"", ""giving_water"": 0.85, ""receiving_water"": 1.03, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",日职乙,EVALUATED,C,,7b2808e0309b28e023d6,阻下/下盘保护,FLAT_LINE_GIVING_WATER_RISE,receiving,磐城FC,1.03,0.25,仙台维加泰,giving,0.85,磐城FC,receiving,0.25,1.03,"{""W"": 0.2743055555555556, ""HW"": 0.3020833333333333, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4236111111111111}",0.014496527777777823,-0.07174064988216594,-0.054058446860433707,0.013621335727598216,0.08112823667410402,0.09929275467903181,0.5998,"{""team"": ""仙台维加泰"", ""water"": 0.85, ""EV_mean"": -0.0652777777777778, ""EV_p10"": -0.12585864956285972, ""P_EV_gt_0"": 0.0822, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""磐城FC"", ""water"": 1.03, ""EV_mean"": 0.014496527777777823, ""EV_p10"": -0.05537366537187027, ""P_EV_gt_0"": 0.6074, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_RISE""]",False
3001192,2026-09-26,2026-09-26T16:00:00+08:00,2026-09-26T16:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,6.92,6.984,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""北九州向日葵"", ""away_team"": ""鹿儿岛联"", ""competition"": ""日职丙"", ""home_handicap_signed"": -0.5, ""away_handicap_signed"": 0.5, ""home_water_hk"": 1.06, ""away_water_hk"": 0.7, ""titan_home_handicap_signed"": -0.5, ""titan_away_handicap_signed"": 0.5, ""giving_team"": ""鹿儿岛联"", ""receiving_team"": ""北九州向日葵"", ""giving_water"": 0.7, ""receiving_water"": 1.06, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",日职丙,EVALUATED,C,,6266ca115f45d7429a19,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,北九州向日葵,1.06,0.5,鹿儿岛联,giving,0.7,北九州向日葵,receiving,0.5,1.06,"{""W"": 0.5028571428571429, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.49714285714285716}",0.035885714285714354,-0.09181341564192108,-0.06397202812748981,0.03487390155280229,0.13935186277877182,0.16811947679913464,0.677,"{""team"": ""鹿儿岛联"", ""water"": 0.7, ""EV_mean"": -0.15485714285714292, ""EV_p10"": -0.23842385600033594, ""P_EV_gt_0"": 0.0048, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""北九州向日葵"", ""water"": 1.06, ""EV_mean"": 0.035885714285714354, ""EV_p10"": -0.06457643388166073, ""P_EV_gt_0"": 0.6764, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.50"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
3094824,2026-09-26,2026-09-26T18:30:00+08:00,2026-09-26T18:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,9.42,9.484,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""日本U23"", ""away_team"": ""朝鲜U23"", ""competition"": ""亚运男足"", ""home_handicap_signed"": 1.75, ""away_handicap_signed"": -1.75, ""home_water_hk"": 0.95, ""away_water_hk"": 0.87, ""titan_home_handicap_signed"": 1.75, ""titan_away_handicap_signed"": -1.75, ""giving_team"": ""日本U23"", ""receiving_team"": ""朝鲜U23"", ""giving_water"": 0.95, ""receiving_water"": 0.87, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",亚运男足,EVALUATED,C,,4c820c2d8ca9cebd5573,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,日本U23,0.95,1.75,朝鲜U23,receiving,0.87,日本U23,giving,-1.75,0.95,"{""W"": 0.3142857142857143, ""HW"": 0.2857142857142857, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4}",0.03428571428571425,-0.21805247434038377,-0.15741443986778453,0.0388742962262737,0.2118043079123228,0.26418003073907337,0.598,"{""team"": ""日本U23"", ""water"": 0.95, ""EV_mean"": 0.03428571428571425, ""EV_p10"": -0.15062767654199044, ""P_EV_gt_0"": 0.6046, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""朝鲜U23"", ""water"": 0.87, ""EV_mean"": -0.1091428571428571, ""EV_p10"": -0.28486140224821804, ""P_EV_gt_0"": 0.2014, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.75"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",False
2921944,2026-09-26,2026-09-26T20:00:00+08:00,2026-09-26T20:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,10.92,10.984,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""EIF埃克纳斯"", ""away_team"": ""SJK学院"", ""competition"": ""芬甲"", ""home_handicap_signed"": 0.75, ""away_handicap_signed"": -0.75, ""home_water_hk"": 0.83, ""away_water_hk"": 1.05, ""titan_home_handicap_signed"": 0.75, ""titan_away_handicap_signed"": -0.75, ""giving_team"": ""EIF埃克纳斯"", ""receiving_team"": ""SJK学院"", ""giving_water"": 0.83, ""receiving_water"": 1.05, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",芬甲,EVALUATED,C,,1da8e92ac5cacffe4ac3,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,SJK学院,1.05,0.75,EIF埃克纳斯,giving,0.83,SJK学院,receiving,0.75,1.05,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.034583333333333355,-0.10146404584847224,-0.07289393105103292,0.034782942747859896,0.14215506268195538,0.1720838188213045,0.6652,"{""team"": ""EIF埃克纳斯"", ""water"": 0.83, ""EV_mean"": -0.08545833333333336, ""EV_p10"": -0.17771017906280967, ""P_EV_gt_0"": 0.1222, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""SJK学院"", ""water"": 1.05, ""EV_mean"": 0.034583333333333355, ""EV_p10"": -0.07436078695425796, ""P_EV_gt_0"": 0.6592, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
