match_id,list_date,kickoff,kickoff_at,model_id,model_version,side_mapping_version,run_id,decision_at,quote_at,last_confirmed_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch,parent_decision_id,monitoring_bucket,prior_snapshot_id,market,competition,analysis_status,grade,rank,decision_id,normalized_intent,intent_source,candidate_side,candidate_team,candidate_water,candidate_handicap,reverse_team,reverse_side,reverse_water,selected_team,selected_side,selected_handicap_signed,selected_water_hk,probabilities,ev_mean,ev_p05,ev_p10,ev_p50,ev_p90,ev_p95,p_ev_positive,diagnostic_giving,diagnostic_receiving,direction_rule_version,reason_codes,real_money
3092292,2026-09-26,2026-09-26T10:30:00+08:00,2026-09-26T10:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,1.42,1.484,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""威灵顿凤凰后备队"", ""away_team"": ""奥克兰联"", ""competition"": ""新西兰联"", ""home_handicap_signed"": -1.0, ""away_handicap_signed"": 1.0, ""home_water_hk"": 1.04, ""away_water_hk"": 0.78, ""titan_home_handicap_signed"": -1.0, ""titan_away_handicap_signed"": 1.0, ""giving_team"": ""奥克兰联"", ""receiving_team"": ""威灵顿凤凰后备队"", ""giving_water"": 0.78, ""receiving_water"": 1.04, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",新西兰联,EVALUATED,C,,cf6188002893838a3cb0,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,威灵顿凤凰后备队,1.04,1.0,奥克兰联,giving,0.78,威灵顿凤凰后备队,receiving,1.0,1.04,"{""W"": 0.42105263157894735, ""HW"": 0.0, ""P"": 0.2236842105263158, ""HL"": 0.0, ""L"": 0.35526315789473684}",0.08263157894736844,-0.08280684318275183,-0.04683150205401426,0.08284170171733024,0.21600348172244765,0.2492435416860679,0.7918,"{""team"": ""奥克兰联"", ""water"": 0.78, ""EV_mean"": -0.1439473684210526, ""EV_p10"": -0.25701523919133795, ""P_EV_gt_0"": 0.0562, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""威灵顿凤凰后备队"", ""water"": 1.04, ""EV_mean"": 0.08263157894736844, ""EV_p10"": -0.053408225291111056, ""P_EV_gt_0"": 0.7814, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.00"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
2997421,2026-09-26,2026-09-26T11:00:00+08:00,2026-09-26T11:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,1.92,1.984,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""蒂华纳"", ""away_team"": ""阿特拉斯"", ""competition"": ""墨西联秋"", ""home_handicap_signed"": 0.25, ""away_handicap_signed"": -0.25, ""home_water_hk"": 0.82, ""away_water_hk"": 1.07, ""titan_home_handicap_signed"": 0.25, ""titan_away_handicap_signed"": -0.25, ""giving_team"": ""蒂华纳"", ""receiving_team"": ""阿特拉斯"", ""giving_water"": 0.82, ""receiving_water"": 1.07, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",墨西联秋,EVALUATED,N,,7f2b4f60881d9f01c79d,降温保护/诱下,MARKET_MOVE_SHALLOWER_WITH_GIVING_WATER_DROP,giving,蒂华纳,0.82,0.25,阿特拉斯,receiving,1.07,蒂华纳,giving,-0.25,0.82,"{""W"": 0.4236111111111111, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.3020833333333333, ""L"": 0.2743055555555556}",-0.07798611111111117,-0.15703122559126495,-0.13917323902416517,-0.07817422612245367,-0.01649142225700237,-0.0014255847192835291,0.0466,"{""team"": ""蒂华纳"", ""water"": 0.82, ""EV_mean"": -0.07798611111111117, ""EV_p10"": -0.1390484996440466, ""P_EV_gt_0"": 0.046, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""阿特拉斯"", ""water"": 1.07, ""EV_mean"": 0.03151041666666671, ""EV_p10"": -0.03764023805808925, ""P_EV_gt_0"": 0.7178, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_SHALLOWER_WITH_GIVING_WATER_DROP""]",False
3093048,2026-09-26,2026-09-26T11:00:00+08:00,2026-09-26T11:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,1.92,1.984,False,False,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""西海岸游骑兵女足"", ""away_team"": ""伊斯特恩沙伯女足"", ""competition"": ""新西女超"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",新西女超,MISSING_DATA,,,500f3be6c3f99e18e2bf,,,,,,,,,,,,,,,,,,,,,,,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",False
3092438,2026-09-26,2026-09-26T11:00:00+08:00,2026-09-26T11:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,1.92,1.984,False,False,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""萨尔瓦多"", ""away_team"": ""马提尼克"", ""competition"": ""中北美国联"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",中北美国联,NEUTRAL,,,1bb91d71acd526de62d3,平衡盘/等待临场确认,,neutral,,,,,,,,,,,,,,,,,,,,,,"[""NEUTRAL_INTENT"", ""MARKET_MOVE_BALANCED""]",False
3092293,2026-09-26,2026-09-26T11:30:00+08:00,2026-09-26T11:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,2.42,2.484,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""菲利米德海湾"", ""away_team"": ""伊斯特恩沙伯奥克兰"", ""competition"": ""新西兰联"", ""home_handicap_signed"": -0.75, ""away_handicap_signed"": 0.75, ""home_water_hk"": 1.01, ""away_water_hk"": 0.81, ""titan_home_handicap_signed"": -0.75, ""titan_away_handicap_signed"": 0.75, ""giving_team"": ""伊斯特恩沙伯奥克兰"", ""receiving_team"": ""菲利米德海湾"", ""giving_water"": 0.81, ""receiving_water"": 1.01, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",新西兰联,EVALUATED,C,,627abb6d33fd7b2a6391,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,菲利米德海湾,1.01,0.75,伊斯特恩沙伯奥克兰,giving,0.81,菲利米德海湾,receiving,0.75,1.01,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.016916666666666635,-0.11676185014399332,-0.0881671874906762,0.016655758091513984,0.12190711091803741,0.14910892584795718,0.5804,"{""team"": ""伊斯特恩沙伯奥克兰"", ""water"": 0.81, ""EV_mean"": -0.09404166666666663, ""EV_p10"": -0.18973566132954006, ""P_EV_gt_0"": 0.1082, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""菲利米德海湾"", ""water"": 1.01, ""EV_mean"": 0.016916666666666635, ""EV_p10"": -0.08614500436133543, ""P_EV_gt_0"": 0.5872, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
3001194,2026-09-26,2026-09-26T12:00:00+08:00,2026-09-26T12:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,2.92,2.984,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""金泽"", ""away_team"": ""鸟取飞翔"", ""competition"": ""日职丙"", ""home_handicap_signed"": 0.5, ""away_handicap_signed"": -0.5, ""home_water_hk"": 0.7, ""away_water_hk"": 1.06, ""titan_home_handicap_signed"": 0.5, ""titan_away_handicap_signed"": -0.5, ""giving_team"": ""金泽"", ""receiving_team"": ""鸟取飞翔"", ""giving_water"": 0.7, ""receiving_water"": 1.06, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",日职丙,EVALUATED,C,,bbe300c96af00e2606dc,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,鸟取飞翔,1.06,0.5,金泽,giving,0.7,鸟取飞翔,receiving,0.5,1.06,"{""W"": 0.5028571428571429, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.49714285714285716}",0.035885714285714354,-0.0919137669111586,-0.06357793147836033,0.03707336886863016,0.1350406440895957,0.16235621854722465,0.681,"{""team"": ""金泽"", ""water"": 0.7, ""EV_mean"": -0.15485714285714292, ""EV_p10"": -0.2389634554139703, ""P_EV_gt_0"": 0.0076, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""鸟取飞翔"", ""water"": 1.06, ""EV_mean"": 0.035885714285714354, ""EV_p10"": -0.06624687070122276, ""P_EV_gt_0"": 0.6698, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.50"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
2956834,2026-09-26,2026-09-26T12:00:00+08:00,2026-09-26T12:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,2.92,2.984,False,True,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""日本体育大学女足"", ""away_team"": ""横滨海鸥女足"", ""competition"": ""日职女甲"", ""home_handicap_signed"": -0.75, ""away_handicap_signed"": 0.75, ""home_water_hk"": 1.06, ""away_water_hk"": 0.7, ""titan_home_handicap_signed"": -0.75, ""titan_away_handicap_signed"": 0.75, ""giving_team"": ""横滨海鸥女足"", ""receiving_team"": ""日本体育大学女足"", ""giving_water"": 0.7, ""receiving_water"": 1.06, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",日职女甲,EVALUATED,C,,a79c1d33cd486f501866,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,日本体育大学女足,1.06,0.75,横滨海鸥女足,giving,0.7,日本体育大学女足,receiving,0.75,1.06,"{""W"": 0.44166666666666665, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.25833333333333336, ""L"": 0.3}",0.03899999999999998,-0.09749272699275136,-0.0685962834089412,0.03735424220766004,0.14781542665211228,0.18028875241366613,0.6724,"{""team"": ""横滨海鸥女足"", ""water"": 0.7, ""EV_mean"": -0.14125, ""EV_p10"": -0.23376653563895816, ""P_EV_gt_0"": 0.0164, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""日本体育大学女足"", ""water"": 1.06, ""EV_mean"": 0.03899999999999998, ""EV_p10"": -0.07205325306790833, ""P_EV_gt_0"": 0.6778, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
2990274,2026-09-26,2026-09-26T12:00:00+08:00,2026-09-26T12:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,2.92,2.984,False,False,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""山梨藤樱女足"", ""away_team"": ""吉备国际大学女足"", ""competition"": ""日职女乙"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",日职女乙,MISSING_DATA,,,562ffb631a31faaa16da,,,,,,,,,,,,,,,,,,,,,,,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",False
2990275,2026-09-26,2026-09-26T12:00:00+08:00,2026-09-26T12:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,2.92,2.984,False,False,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""迪奥莎出云女足"", ""away_team"": ""OSA瑞亚湘南FC女足"", ""competition"": ""日职女乙"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",日职女乙,NEUTRAL,,,1ac664691c11a10bffdf,平衡盘/等待临场确认,,neutral,,,,,,,,,,,,,,,,,,,,,,"[""NEUTRAL_INTENT"", ""MARKET_MOVE_BALANCED""]",False
2966506,2026-09-26,2026-09-26T12:00:00+08:00,2026-09-26T12:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260926_090056,2026-09-26T09:04:47.691101+08:00,2026-09-26T09:00:56+08:00,2026-09-26T09:00:56+08:00,0.064,2.92,2.984,False,False,,,prior-2026-09-26-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-26T09:04:47.691101+08:00"", ""home_team"": ""SKA哈巴罗夫斯克B队"", ""away_team"": ""奥耶尔"", ""competition"": ""俄乙B中"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-26T09:00:56+08:00"", ""last_confirmed_at"": ""2026-09-26T09:00:56+08:00"", ""run_id"": ""RUN_20260926_090056""}",俄乙B中,MISSING_DATA,,,6930d5924780b503d8a8,,,,,,,,,,,,,,,,,,,,,,,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",False
