match_id,list_date,kickoff,competition,match,home_team,away_team,raw_home_handicap,giving_team,receiving_team,giving_water,receiving_water,intent_canonical,normalized_intent,candidate_side,candidate_team,candidate_water,reverse_team,mapping_rule_version,side_identity_status,team_water_parity,source_path,EV_mean,EV_P10,P_EV_gt_0,grade,status
3039862,2026-09-09,2026-09-09 23:00:00,捷甲,亚布洛内茨 vs 俄斯特拉发,亚布洛内茨,俄斯特拉发,0.5,亚布洛内茨,俄斯特拉发,0.85,1.03,阻上/诱下,阻上/诱下,giving,亚布洛内茨,0.85,俄斯特拉发,V4_DIRECTION_FIXED_R1,SIDE_IDENTITY_VALID,True,D:\codex\outputs\football_odds_trader\raw\titan007\20260909\20260909_224814_titan007_odds_snapshot.csv,0.0,0.0,0.0,N,COMPUTED
3036409,2026-09-10,2026-09-11 02:15:00,希腊超,帕纳辛纳科斯 vs 基菲萨,帕纳辛纳科斯,基菲萨,1.75,帕纳辛纳科斯,基菲萨,1.0,0.88,真实示弱/阻下,真实示弱/阻下,receiving,基菲萨,0.88,帕纳辛纳科斯,V4_DIRECTION_FIXED_R1,SIDE_IDENTITY_VALID,True,D:\codex\outputs\football_odds_trader\raw\titan007\20260910\20260910_182222_titan007_odds_snapshot.csv,0.0,-0.0,1.0,N,COMPUTED
3073570,2026-09-09,2026-09-09 20:15:00,马足总,汶莱DPMM vs 丁加奴,汶莱DPMM,丁加奴,-0.75,丁加奴,汶莱DPMM,0.8,0.9,平衡盘/等待临场确认,平衡盘/等待临场确认,neutral,,,,V4_DIRECTION_FIXED_R1,SIDE_IDENTITY_ERROR:candidate_team,False,D:\codex\outputs\football_odds_trader\raw\titan007\20260909\20260909_174640_titan007_odds_snapshot.csv,,,,,NEUTRAL
3010017,2026-09-07,2026-09-07 07:30:00,秘鲁甲秋,梅尔加 vs AD塔尔玛,梅尔加,AD塔尔玛,1.5,梅尔加,AD塔尔玛,0.98,0.9,阻上/诱下,阻上/诱下,giving,梅尔加,0.98,AD塔尔玛,V4_DIRECTION_FIXED_R1,SIDE_IDENTITY_VALID,True,D:\codex\outputs\football_odds_trader\raw\titan007\20260907\20260907_072747_titan007_odds_snapshot.csv,0.0,0.0,0.0,N,COMPUTED
3041900,2026-09-07,2026-09-07 07:30:00,萨尔超春,路斯天使 vs 国际FA,路斯天使,国际FA,0.25,路斯天使,国际FA,0.81,1.03,平衡盘/等待临场确认,平衡盘/等待临场确认,neutral,,,,V4_DIRECTION_FIXED_R1,SIDE_IDENTITY_ERROR:candidate_team,False,D:\codex\outputs\football_odds_trader\raw\titan007\20260907\20260907_072747_titan007_odds_snapshot.csv,,,,,NEUTRAL
3059127,2026-09-07,2026-09-07 08:00:00,玻利甲,国民波托斯 vs 布鲁明,国民波托斯,布鲁明,1.25,国民波托斯,布鲁明,0.75,0.95,阻上/诱下,阻上/诱下,giving,国民波托斯,0.75,布鲁明,V4_DIRECTION_FIXED_R1,SIDE_IDENTITY_VALID,True,D:\codex\outputs\football_odds_trader\raw\titan007\20260907\20260907_072747_titan007_odds_snapshot.csv,0.0,0.0,0.0,N,COMPUTED
2962617,2026-09-07,2026-09-07 08:30:00,阿甲,竞技俱乐部 vs 图库曼竞技,竞技俱乐部,图库曼竞技,0.5,竞技俱乐部,图库曼竞技,0.94,0.95,平衡盘/等待临场确认,平衡盘/等待临场确认,neutral,,,,V4_DIRECTION_FIXED_R1,SIDE_IDENTITY_ERROR:candidate_team,False,D:\codex\outputs\football_odds_trader\raw\titan007\20260907\20260907_072747_titan007_odds_snapshot.csv,,,,,NEUTRAL
3042555,2026-09-07,2026-09-07 09:00:00,哥斯甲春,森卡洛斯 vs 圣何塞体育,森卡洛斯,圣何塞体育,-0.25,圣何塞体育,森卡洛斯,1.0,0.7,降温保护/诱下,降温保护/诱下,giving,圣何塞体育,1.0,森卡洛斯,V4_DIRECTION_FIXED_R1,SIDE_IDENTITY_VALID,True,D:\codex\outputs\football_odds_trader\raw\titan007\20260907\20260907_072747_titan007_odds_snapshot.csv,0.0,0.0,0.0,N,COMPUTED
2957038,2026-09-07,2026-09-07 09:00:00,美女职,西雅图统治女足 vs 圣地亚哥波浪女足,西雅图统治女足,圣地亚哥波浪女足,-0.25,圣地亚哥波浪女足,西雅图统治女足,0.83,0.87,平衡盘/等待临场确认,平衡盘/等待临场确认,neutral,,,,V4_DIRECTION_FIXED_R1,SIDE_IDENTITY_ERROR:candidate_team,False,D:\codex\outputs\football_odds_trader\raw\titan007\20260907\20260907_072747_titan007_odds_snapshot.csv,,,,,NEUTRAL
3085620,2026-09-07,2026-09-07 09:15:00,中北美杯,托卢卡 vs 蒙特雷,托卢卡,蒙特雷,0.25,托卢卡,蒙特雷,0.86,1.03,降温保护/诱下,降温保护/诱下,giving,托卢卡,0.86,蒙特雷,V4_DIRECTION_FIXED_R1,SIDE_IDENTITY_VALID,True,D:\codex\outputs\football_odds_trader\raw\titan007\20260907\20260907_072747_titan007_odds_snapshot.csv,0.0,0.0,0.0,N,COMPUTED
