group_by,group,n,effective_n,predicted_effective_win_rate,actual_effective_win_rate,brier,five_state_brier,ece,slope,intercept,status
overall,ALL,12,11.5,0.540758633221688,0.4782608695652174,0.25556363897716183,0.5972456424974645,0.062497763656470647,,,INSUFFICIENT_FORWARD
date,2026-09-19,12,11.5,0.540758633221688,0.4782608695652174,0.25556363897716183,0.5972456424974645,0.062497763656470647,,,INSUFFICIENT_FORWARD
handicap,1.25,0,0,,,,,,,,INSUFFICIENT_FORWARD
handicap,1.5,1,1.0,0.5134333663722617,0.0,0.2636138217043531,0.5272276434087062,0.5134333663722617,,,INSUFFICIENT_FORWARD
handicap,0.5,3,3.0,0.5230682145318323,0.6666666666666666,0.2357929678349321,0.4715859356698642,0.14359845213483435,,,INSUFFICIENT_FORWARD
handicap,0.25,6,5.5,0.5655684648021775,0.45454545454545453,0.26704477063389986,0.6635420977251317,0.11102301025672295,,,INSUFFICIENT_FORWARD
handicap,0.75,0,0,,,,,,,,INSUFFICIENT_FORWARD
handicap,1.0,1,1.0,0.5121889582528676,0.0,0.26233752895615775,0.7006580363990209,0.5121889582528676,,,INSUFFICIENT_FORWARD
handicap,2.5,0,0,,,,,,,,INSUFFICIENT_FORWARD
handicap,2.0,1,1.0,0.5132707574168109,1.0,0.2369053555856049,0.5430516368014617,0.48672924258318906,,,INSUFFICIENT_FORWARD
v41_side,receiving,7,6.5,0.5575226636659673,0.5384615384615384,0.2624079375495468,0.646329174736036,0.01906112520442882,,,INSUFFICIENT_FORWARD
v41_side,giving,5,5.0,0.5189653936441252,0.4,0.24666605083306142,0.5285286973634639,0.11896539364412517,,,INSUFFICIENT_FORWARD
region,欧洲非五大系列,0,0,,,,,,,,INSUFFICIENT_FORWARD
region,其他系列,12,11.5,0.540758633221688,0.4782608695652174,0.25556363897716183,0.5972456424974645,0.062497763656470647,,,INSUFFICIENT_FORWARD
region,欧洲五大系列,0,0,,,,,,,,INSUFFICIENT_FORWARD
intent,阻上/诱下,0,0,,,,,,,,INSUFFICIENT_FORWARD
intent,真实示弱/阻下,3,2.5,0.5333724985805605,0.6,0.22737890723356977,0.646759023657458,0.06662750141943952,,,INSUFFICIENT_FORWARD
intent,诱上/阻下,0,0,,,,,,,,INSUFFICIENT_FORWARD
intent,阻下/下盘保护,2,2.0,0.5133520618945363,0.5,0.250259588644979,0.535139640105084,0.013352061894536305,,,INSUFFICIENT_FORWARD
intent,UNKNOWN,0,0,,,,,,,,INSUFFICIENT_FORWARD
intent,降温保护/诱下,0,0,,,,,,,,INSUFFICIENT_FORWARD
intent,NEUTRAL,6,6.0,0.5504070309652108,0.3333333333333333,0.2788349456731081,0.6270633168562283,0.21707369763187753,,,INSUFFICIENT_FORWARD
intent,MIXED,0,0,,,,,,,,INSUFFICIENT_FORWARD
intent,真实示强/阻上,1,1.0,0.5561467260176735,1.0,0.19700572882483022,0.3940114576496604,0.44385327398232655,,,INSUFFICIENT_FORWARD
time_bucket,T-30,12,11.5,0.540758633221688,0.4782608695652174,0.25556363897716183,0.5972456424974645,0.062497763656470647,,,INSUFFICIENT_FORWARD
